"","X","tag.individual.identifier","individual.local.identifier","location.lat","location.long","timestamp","data_owner"
"1",2110,719990,"BC #12 Margaret",35.216202,-113.016662,"2020-12-17 1:00:06","mollohan_baldwin"
"2",2111,719990,"BC #12 Margaret",35.215034,-113.004672,"2020-12-17 14:00:00","mollohan_baldwin"
"3",2112,719990,"BC #12 Margaret",35.221113,-113.006799,"2020-12-18 2:00:02","mollohan_baldwin"
"4",2113,719990,"BC #12 Margaret",35.214257,-113.007974,"2020-12-19 3:00:09","mollohan_baldwin"
"5",2114,719990,"BC #12 Margaret",35.211106,-112.992296,"2020-12-19 16:00:04","mollohan_baldwin"
"6",2115,719990,"BC #12 Margaret",35.217069,-113.002981,"2020-12-21 5:00:06","mollohan_baldwin"
"7",2116,719990,"BC #12 Margaret",35.226221,-113.007509,"2020-12-21 18:00:03","mollohan_baldwin"
"8",2117,719990,"BC #12 Margaret",35.219194,-113.004288,"2020-12-22 11:00:37","mollohan_baldwin"
"9",2118,719990,"BC #12 Margaret",35.220036,-113.003238,"2020-12-22 19:00:10","mollohan_baldwin"
"10",2119,719990,"BC #12 Margaret",35.21701,-113.004675,"2020-12-23 7:00:06","mollohan_baldwin"
"11",2120,719990,"BC #12 Margaret",35.209017,-113.004361,"2020-12-23 20:00:11","mollohan_baldwin"
"12",2121,719990,"BC #12 Margaret",35.212618,-113.001607,"2020-12-24 8:00:09","mollohan_baldwin"
"13",2122,719990,"BC #12 Margaret",35.210173,-112.991833,"2020-12-25 9:00:09","mollohan_baldwin"
"14",2123,719990,"BC #12 Margaret",35.22174,-113.014153,"2020-12-25 22:00:07","mollohan_baldwin"
"15",2124,719990,"BC #12 Margaret",35.216312,-113.010444,"2020-12-26 10:00:09","mollohan_baldwin"
"16",2125,719990,"BC #12 Margaret",35.217167,-113.004456,"2020-12-27 11:00:07","mollohan_baldwin"
"17",2126,719990,"BC #12 Margaret",35.208897,-113.003292,"2020-12-28 0:00:06","mollohan_baldwin"
"18",2127,719990,"BC #12 Margaret",35.219771,-113.01556,"2020-12-28 12:00:17","mollohan_baldwin"
"19",2128,719990,"BC #12 Margaret",35.215337,-113.005109,"2020-12-29 1:00:10","mollohan_baldwin"
"20",2129,719990,"BC #12 Margaret",35.224732,-113.015871,"2020-12-29 13:00:24","mollohan_baldwin"
"21",2130,719990,"BC #12 Margaret",35.223828,-113.011401,"2020-12-29 15:01:01","mollohan_baldwin"
"22",2131,719990,"BC #12 Margaret",35.215335,-113.004782,"2020-12-30 14:00:24","mollohan_baldwin"
"23",2132,719990,"BC #12 Margaret",35.217481,-113.018955,"2020-12-31 3:00:10","mollohan_baldwin"
"24",2133,719990,"BC #12 Margaret",35.211228,-113.013374,"2020-12-31 15:00:15","mollohan_baldwin"
"25",2134,719990,"BC #12 Margaret",35.219319,-113.010402,"2021-01-01 4:00:13","mollohan_baldwin"
"26",2135,719990,"BC #12 Margaret",35.216069,-113.014493,"2021-01-01 16:00:23","mollohan_baldwin"
