"","individual.identifier","timestamp","location.lat","location.long"
"1","BC #31 Danielle",2022-01-24 05:00:05,32.258012,-111.047943
"2","BC #31 Danielle",2022-01-25 07:00:05,32.25222,-111.049808
"3","BC #31 Danielle",2022-01-25 20:00:08,32.253486,-111.053735
"4","BC #31 Danielle",2022-01-26 09:00:06,32.25655,-111.046556
"5","BC #31 Danielle",2022-01-26 22:00:18,32.259978,-111.046355
"6","BC #31 Danielle",2022-01-27 11:00:05,32.254468,-111.051955
"7","BC #31 Danielle",2022-01-27 19:00:51,32.255886,-111.042643
"8","BC #31 Danielle",2022-01-28 13:00:08,32.254241,-111.040654
"9","BC #31 Danielle",2022-01-29 02:00:08,32.256174,-111.048764
"10","BC #31 Danielle",2022-01-29 15:00:09,32.25674,-111.035012
"11","BC #31 Danielle",2022-01-30 04:00:07,32.254472,-111.051142
"12","BC #31 Danielle",2022-01-30 17:00:08,32.257722,-111.041956
"13","BC #31 Danielle",2022-01-31 06:00:08,32.255829,-111.055906
"14","BC #31 Danielle",2022-01-31 19:00:08,32.250808,-111.046604
"15","BC #31 Danielle",2022-02-01 08:00:06,32.259704,-111.046549
"16","BC #31 Danielle",2022-02-01 21:00:07,32.258657,-111.042295
"17","BC #31 Danielle",2022-02-02 10:00:05,32.258288,-111.048369
"18","BC #31 Danielle",2022-02-02 23:00:19,32.258961,-111.046953
"19","BC #31 Danielle",2022-02-03 12:00:09,32.256226,-111.055572
"20","BC #31 Danielle",2022-02-03 23:00:39,32.254813,-111.045347
"21","BC #31 Danielle",2022-02-04 01:00:07,32.253302,-111.045645
"22","BC #31 Danielle",2022-02-04 14:00:08,32.257352,-111.048489
"23","BC #31 Danielle",2022-02-05 16:00:08,32.255192,-111.03511
"24","BC #31 Danielle",2022-02-06 05:00:06,32.255571,-111.03915
"25","BC #31 Danielle",2022-02-06 18:00:11,32.25752,-111.055251
"26","BC #31 Danielle",2022-02-07 07:00:21,32.256313,-111.04979
"27","BC #31 Danielle",2022-02-07 20:00:10,32.25525,-111.047405
"28","BC #31 Danielle",2022-02-08 09:00:12,32.25344,-111.037573
