"","individual.identifier","timestamp","location.lat","location.long"
"1","BC #48 Tippy",2022-11-21 09:00:12,32.277514,-111.05127
"2","BC #48 Tippy",2022-11-22 11:00:17,32.290961,-111.061327
"3","BC #48 Tippy",2022-11-23 00:00:15,32.272148,-111.057643
"4","BC #48 Tippy",2022-11-23 13:00:19,32.276382,-111.055152
"5","BC #48 Tippy",2022-11-24 02:00:25,32.272077,-111.058037
"6","BC #48 Tippy",2022-11-24 15:00:14,32.287861,-111.047643
"7","BC #48 Tippy",2022-11-24 19:00:38,32.277966,-111.054391
"8","BC #48 Tippy",2022-11-25 04:00:24,32.270251,-111.052703
"9","BC #48 Tippy",2022-11-25 17:00:15,32.274729,-111.057054
"10","BC #48 Tippy",2022-11-26 06:00:27,32.282222,-111.056046
"11","BC #48 Tippy",2022-11-26 19:00:12,32.282424,-111.056047
"12","BC #48 Tippy",2022-11-27 08:00:12,32.281921,-111.056895
"13","BC #48 Tippy",2022-11-28 10:00:13,32.284925,-111.05498
"14","BC #48 Tippy",2022-11-28 23:00:12,32.281964,-111.056184
"15","BC #48 Tippy",2022-11-29 12:00:19,32.284983,-111.055816
"16","BC #48 Tippy",2022-11-30 01:00:15,32.289594,-111.049966
"17","BC #48 Tippy",2022-11-30 14:00:08,32.287021,-111.047855
"18","BC #48 Tippy",2022-12-01 03:00:26,32.287969,-111.053578
"19","BC #48 Tippy",2022-12-01 16:00:15,32.296569,-111.051857
"20","BC #48 Tippy",2022-12-01 23:00:51,32.296205,-111.050443
"21","BC #48 Tippy",2022-12-02 18:00:06,32.285941,-111.054674
"22","BC #48 Tippy",2022-12-03 07:00:18,32.274387,-111.057502
"23","BC #48 Tippy",2022-12-03 20:00:13,32.279602,-111.047774
"24","BC #48 Tippy",2022-12-04 09:00:20,32.270863,-111.061653
"25","BC #48 Tippy",2022-12-04 22:00:17,32.276087,-111.056032
"26","BC #48 Tippy",2022-12-05 11:00:27,32.282208,-111.055995
"27","BC #48 Tippy",2022-12-06 00:00:08,32.272961,-111.050768
"28","BC #48 Tippy",2022-12-07 15:00:09,32.288818,-111.051911
"29","BC #48 Tippy",2022-12-08 04:00:24,32.290263,-111.051054
"30","BC #48 Tippy",2022-12-08 17:00:09,32.290024,-111.051086
"31","BC #48 Tippy",2022-12-10 08:00:15,32.276046,-111.048406
"32","BC #48 Tippy",2022-12-10 21:00:15,32.272747,-111.052642
"33","BC #48 Tippy",2022-12-11 10:00:17,32.275892,-111.052512
"34","BC #48 Tippy",2022-12-11 23:00:27,32.273683,-111.051577
"35","BC #48 Tippy",2022-12-12 12:00:15,32.284091,-111.047015
"36","BC #48 Tippy",2022-12-14 03:00:14,32.273553,-111.05241
"37","BC #48 Tippy",2022-12-15 18:00:12,32.283481,-111.05627
"38","BC #48 Tippy",2022-12-16 07:02:43,32.2817,-111.047965
"39","BC #48 Tippy",2022-12-16 20:00:13,32.283634,-111.04854
"40","BC #48 Tippy",2022-12-17 09:00:16,32.274278,-111.060623
"41","BC #48 Tippy",2022-12-17 22:00:08,32.269795,-111.057896
"42","BC #48 Tippy",2022-12-19 13:00:16,32.269521,-111.055248
"43","BC #48 Tippy",2022-12-20 15:00:12,32.283737,-111.05618
"44","BC #48 Tippy",2022-12-21 17:00:13,32.285405,-111.054487
"45","BC #48 Tippy",2022-12-22 19:00:11,32.283343,-111.056329
"46","BC #48 Tippy",2022-12-23 08:00:27,32.272197,-111.055045
"47","BC #48 Tippy",2022-12-23 11:00:42,32.27228,-111.054874
"48","BC #48 Tippy",2022-12-23 21:00:25,32.272483,-111.05466
"49","BC #48 Tippy",2022-12-24 23:00:12,32.267212,-111.058535
"50","BC #48 Tippy",2022-12-25 12:00:13,32.289801,-111.047812
"51","BC #48 Tippy",2022-12-27 03:00:16,32.274051,-111.056475
"52","BC #48 Tippy",2022-12-27 16:00:15,32.280933,-111.053307
"53","BC #48 Tippy",2022-12-28 05:00:20,32.273949,-111.056815
"54","BC #48 Tippy",2022-12-29 07:00:14,32.279581,-111.06244
"55","BC #48 Tippy",2022-12-29 20:00:11,32.281683,-111.057112
"56","BC #48 Tippy",2022-12-30 09:00:27,32.288281,-111.050541
"57","BC #48 Tippy",2022-12-30 15:02:46,32.286764,-111.048962
"58","BC #48 Tippy",2022-12-30 22:00:07,32.28337,-111.049069
"59","BC #48 Tippy",2022-12-31 11:00:07,32.286693,-111.051627
"60","BC #48 Tippy",2023-01-01 13:00:17,32.289026,-111.050293
"61","BC #48 Tippy",2023-01-02 13:00:08,32.285583,-111.054912
"62","BC #48 Tippy",2023-01-02 19:00:18,32.291611,-111.049076
"63","BC #48 Tippy",2023-01-03 01:00:15,32.28105,-111.052254
"64","BC #48 Tippy",2023-01-03 07:00:27,32.277321,-111.056244
"65","BC #48 Tippy",2023-01-03 13:00:11,32.284236,-111.055758
"66","BC #48 Tippy",2023-01-03 19:00:12,32.277431,-111.056062
"67","BC #48 Tippy",2023-01-04 07:00:12,32.27788,-111.055804
"68","BC #48 Tippy",2023-01-04 13:00:14,32.288079,-111.053601
"69","BC #48 Tippy",2023-01-04 19:00:09,32.284117,-111.058562
"70","BC #48 Tippy",2023-01-05 01:00:13,32.275941,-111.055418
"71","BC #48 Tippy",2023-01-05 07:00:09,32.275898,-111.055602
"72","BC #48 Tippy",2023-01-05 13:00:24,32.280494,-111.054925
"73","BC #48 Tippy",2023-01-05 19:00:12,32.280247,-111.053807
"74","BC #48 Tippy",2023-01-06 07:00:21,32.2752,-111.056053
"75","BC #48 Tippy",2023-01-06 13:00:10,32.286361,-111.054759
"76","BC #48 Tippy",2023-01-06 19:01:24,32.287622,-111.051967
"77","BC #48 Tippy",2023-01-07 07:00:11,32.28803,-111.053604
"78","BC #48 Tippy",2023-01-07 13:00:15,32.287983,-111.050553
"79","BC #48 Tippy",2023-01-07 19:00:09,32.282031,-111.054897
"80","BC #48 Tippy",2023-01-08 07:00:19,32.273243,-111.057522
"81","BC #48 Tippy",2023-01-08 13:00:13,32.289854,-111.04754
"82","BC #48 Tippy",2023-01-08 19:00:22,32.287656,-111.051116
"83","BC #48 Tippy",2023-01-09 01:00:19,32.287848,-111.053719
"84","BC #48 Tippy",2023-01-09 07:00:13,32.290334,-111.055014
"85","BC #48 Tippy",2023-01-09 13:00:14,32.291892,-111.056397
"86","BC #48 Tippy",2023-01-09 19:00:12,32.290058,-111.056322
"87","BC #48 Tippy",2023-01-10 13:00:22,32.275119,-111.056055
"88","BC #48 Tippy",2023-01-10 19:00:19,32.272088,-111.058783
"89","BC #48 Tippy",2023-01-11 07:00:25,32.272313,-111.058946
"90","BC #48 Tippy",2023-01-11 13:00:09,32.278424,-111.057689
"91","BC #48 Tippy",2023-01-11 19:00:27,32.272085,-111.057263
"92","BC #48 Tippy",2023-01-12 01:00:26,32.272262,-111.049757
"93","BC #48 Tippy",2023-01-12 07:00:14,32.272076,-111.049831
"94","BC #48 Tippy",2023-01-12 13:00:15,32.287911,-111.055536
"95","BC #48 Tippy",2023-01-12 19:00:17,32.272115,-111.049937
"96","BC #48 Tippy",2023-01-13 01:00:28,32.272372,-111.054917
"97","BC #48 Tippy",2023-01-13 07:00:21,32.272362,-111.054955
"98","BC #48 Tippy",2023-01-13 13:00:14,32.288063,-111.053146
"99","BC #48 Tippy",2023-01-13 19:00:21,32.287945,-111.053549
"100","BC #48 Tippy",2023-01-13 23:02:26,32.272291,-111.054896
"101","BC #48 Tippy",2023-01-14 01:00:14,32.272263,-111.054897
"102","BC #48 Tippy",2023-01-14 07:00:08,32.273479,-111.052265
"103","BC #48 Tippy",2023-01-14 13:00:07,32.28997,-111.055626
"104","BC #48 Tippy",2023-01-14 19:00:08,32.290977,-111.049111
"105","BC #48 Tippy",2023-01-15 01:00:14,32.276447,-111.049953
"106","BC #48 Tippy",2023-01-15 13:00:15,32.289634,-111.049914
"107","BC #48 Tippy",2023-01-15 19:00:12,32.280666,-111.045877
"108","BC #48 Tippy",2023-01-16 13:00:08,32.288021,-111.060022
"109","BC #48 Tippy",2023-01-16 19:00:09,32.28745,-111.052014
"110","BC #48 Tippy",2023-01-17 01:00:27,32.288149,-111.050597
"111","BC #48 Tippy",2023-01-17 07:00:15,32.288486,-111.053196
"112","BC #48 Tippy",2023-01-17 13:00:07,32.284696,-111.055712
"113","BC #48 Tippy",2023-01-17 19:00:18,32.281091,-111.051145
"114","BC #48 Tippy",2023-01-18 01:00:09,32.275904,-111.055384
"115","BC #48 Tippy",2023-01-18 07:00:27,32.277198,-111.05435
"116","BC #48 Tippy",2023-01-18 13:00:09,32.289182,-111.051524
"117","BC #48 Tippy",2023-01-18 19:00:09,32.28843,-111.052798
"118","BC #48 Tippy",2023-01-19 01:00:15,32.27225,-111.054867
"119","BC #48 Tippy",2023-01-19 07:00:11,32.271243,-111.054989
"120","BC #48 Tippy",2023-01-19 13:00:26,32.29036,-111.05489
"121","BC #48 Tippy",2023-01-19 19:00:10,32.289926,-111.048805
"122","BC #48 Tippy",2023-01-20 01:00:12,32.288016,-111.053605
"123","BC #48 Tippy",2023-01-20 07:00:09,32.288072,-111.053493
"124","BC #48 Tippy",2023-01-20 13:00:13,32.284068,-111.055049
"125","BC #48 Tippy",2023-01-20 19:00:14,32.278279,-111.054696
"126","BC #48 Tippy",2023-01-21 01:00:18,32.272284,-111.054896
"127","BC #48 Tippy",2023-01-21 03:04:23,32.27229,-111.054938
"128","BC #48 Tippy",2023-01-21 07:00:20,32.272052,-111.054843
"129","BC #48 Tippy",2023-01-21 13:00:08,32.292153,-111.050763
"130","BC #48 Tippy",2023-01-22 01:00:26,32.272394,-111.055007
"131","BC #48 Tippy",2023-01-22 07:00:23,32.272814,-111.053249
"132","BC #48 Tippy",2023-01-22 13:00:08,32.283822,-111.056296
"133","BC #48 Tippy",2023-01-22 19:00:09,32.28188,-111.057711
"134","BC #48 Tippy",2023-01-24 01:00:11,32.271383,-111.054321
"135","BC #48 Tippy",2023-01-24 07:00:12,32.271333,-111.054309
"136","BC #48 Tippy",2023-01-24 13:00:18,32.287927,-111.050429
"137","BC #48 Tippy",2023-01-24 19:00:17,32.28801,-111.053599
"138","BC #48 Tippy",2023-01-25 01:00:15,32.290065,-111.054041
"139","BC #48 Tippy",2023-01-25 07:00:28,32.2901,-111.05411
"140","BC #48 Tippy",2023-01-25 13:00:09,32.290594,-111.058855
"141","BC #48 Tippy",2023-01-26 01:00:15,32.290091,-111.054061
"142","BC #48 Tippy",2023-01-26 13:00:14,32.290183,-111.047764
"143","BC #48 Tippy",2023-01-27 01:00:19,32.287713,-111.051495
"144","BC #48 Tippy",2023-01-27 07:00:21,32.287654,-111.05187
"145","BC #48 Tippy",2023-01-27 13:00:11,32.29047,-111.068443
"146","BC #48 Tippy",2023-01-27 19:00:12,32.283402,-111.048128
"147","BC #48 Tippy",2023-01-28 01:00:21,32.274784,-111.052622
"148","BC #48 Tippy",2023-01-28 07:03:44,32.274726,-111.052471
"149","BC #48 Tippy",2023-01-28 13:00:11,32.281717,-111.056892
"150","BC #48 Tippy",2023-01-28 19:00:26,32.286963,-111.05394
"151","BC #48 Tippy",2023-01-29 01:00:12,32.288018,-111.053624
"152","BC #48 Tippy",2023-01-29 07:00:20,32.287885,-111.053741
"153","BC #48 Tippy",2023-01-30 07:00:10,32.289735,-111.054025
"154","BC #48 Tippy",2023-01-30 13:00:27,32.28744,-111.053828
"155","BC #48 Tippy",2023-01-31 07:00:13,32.288863,-111.053394
"156","BC #48 Tippy",2023-01-31 13:00:16,32.288015,-111.053603
"157","BC #48 Tippy",2023-01-31 19:00:12,32.287197,-111.053793
"158","BC #48 Tippy",2023-02-01 01:00:17,32.290164,-111.053996
"159","BC #48 Tippy",2023-02-01 13:00:12,32.283347,-111.053844
"160","BC #48 Tippy",2023-02-01 19:00:26,32.288051,-111.051041
"161","BC #48 Tippy",2023-02-02 07:00:10,32.290084,-111.054206
"162","BC #48 Tippy",2023-02-02 19:00:09,32.28624,-111.050889
"163","BC #48 Tippy",2023-02-03 01:00:19,32.290123,-111.054014
"164","BC #48 Tippy",2023-02-03 07:00:26,32.287496,-111.053845
"165","BC #48 Tippy",2023-02-03 19:00:10,32.287806,-111.048955
"166","BC #48 Tippy",2023-02-04 01:00:26,32.282774,-111.042701
"167","BC #48 Tippy",2023-02-04 07:00:20,32.286362,-111.048509
"168","BC #48 Tippy",2023-02-04 11:00:52,32.288137,-111.051334
"169","BC #48 Tippy",2023-02-04 13:00:20,32.287922,-111.051333
"170","BC #48 Tippy",2023-02-04 19:00:11,32.290186,-111.052576
"171","BC #48 Tippy",2023-02-05 07:00:25,32.290182,-111.054012
"172","BC #48 Tippy",2023-02-05 13:00:17,32.287933,-111.051078
"173","BC #48 Tippy",2023-02-05 19:00:08,32.290556,-111.053138
"174","BC #48 Tippy",2023-02-06 07:00:10,32.28975,-111.055535
"175","BC #48 Tippy",2023-02-06 13:00:16,32.289186,-111.0592
"176","BC #48 Tippy",2023-02-06 19:00:08,32.287981,-111.051011
"177","BC #48 Tippy",2023-02-07 01:00:27,32.272114,-111.055056
"178","BC #48 Tippy",2023-02-07 07:00:20,32.272657,-111.054645
"179","BC #48 Tippy",2023-02-07 13:00:20,32.287345,-111.048645
"180","BC #48 Tippy",2023-02-07 19:00:09,32.290353,-111.054986
"181","BC #48 Tippy",2023-02-08 01:00:22,32.272212,-111.055037
"182","BC #48 Tippy",2023-02-08 07:00:17,32.272595,-111.053751
"183","BC #48 Tippy",2023-02-08 13:00:10,32.289092,-111.04913
"184","BC #48 Tippy",2023-02-09 01:00:09,32.290085,-111.053986
"185","BC #48 Tippy",2023-02-09 07:00:22,32.289691,-111.054351
"186","BC #48 Tippy",2023-02-09 13:00:25,32.299776,-111.047957
"187","BC #48 Tippy",2023-02-09 19:00:11,32.294661,-111.051698
"188","BC #48 Tippy",2023-02-10 01:00:27,32.290153,-111.054043
"189","BC #48 Tippy",2023-02-10 07:00:19,32.290258,-111.053983
"190","BC #48 Tippy",2023-02-10 13:00:08,32.290123,-111.048607
"191","BC #48 Tippy",2023-02-10 19:00:15,32.284852,-111.055342
"192","BC #48 Tippy",2023-02-11 01:00:27,32.290185,-111.054131
"193","BC #48 Tippy",2023-02-11 13:00:14,32.287053,-111.045949
"194","BC #48 Tippy",2023-02-11 15:01:04,32.287107,-111.045154
"195","BC #48 Tippy",2023-02-12 01:00:10,32.290185,-111.054007
"196","BC #48 Tippy",2023-02-12 07:00:26,32.290094,-111.053972
"197","BC #48 Tippy",2023-02-12 13:00:13,32.287299,-111.045924
"198","BC #48 Tippy",2023-02-12 19:00:16,32.286976,-111.045124
"199","BC #48 Tippy",2023-02-13 01:00:27,32.282873,-111.04271
"200","BC #48 Tippy",2023-02-13 07:00:14,32.282829,-111.042554
"201","BC #48 Tippy",2023-02-13 13:00:15,32.283349,-111.057585
"202","BC #48 Tippy",2023-02-13 19:00:11,32.288606,-111.057494
"203","BC #48 Tippy",2023-02-14 01:00:15,32.290095,-111.054063
"204","BC #48 Tippy",2023-02-14 07:00:21,32.288728,-111.052009
"205","BC #48 Tippy",2023-02-14 13:00:10,32.285343,-111.056167
"206","BC #48 Tippy",2023-02-15 13:00:09,32.295267,-111.058301
"207","BC #48 Tippy",2023-02-15 19:00:10,32.29644,-111.060246
"208","BC #48 Tippy",2023-02-16 07:00:26,32.290133,-111.055221
"209","BC #48 Tippy",2023-02-16 13:00:14,32.286057,-111.055647
"210","BC #48 Tippy",2023-02-16 19:00:10,32.288528,-111.050111
"211","BC #48 Tippy",2023-02-17 01:00:10,32.290135,-111.054019
"212","BC #48 Tippy",2023-02-17 07:00:13,32.290228,-111.053942
"213","BC #48 Tippy",2023-02-17 13:00:08,32.289404,-111.059309
"214","BC #48 Tippy",2023-02-17 19:00:11,32.292112,-111.05064
"215","BC #48 Tippy",2023-02-18 01:00:19,32.290101,-111.054056
"216","BC #48 Tippy",2023-02-18 07:00:23,32.289827,-111.053774
"217","BC #48 Tippy",2023-02-18 19:02:28,32.290905,-111.049585
"218","BC #48 Tippy",2023-02-19 07:00:11,32.290147,-111.054019
"219","BC #48 Tippy",2023-02-19 13:00:19,32.299651,-111.071187
"220","BC #48 Tippy",2023-02-19 19:00:10,32.292646,-111.056115
"221","BC #48 Tippy",2023-02-20 13:00:08,32.283252,-111.060269
"222","BC #48 Tippy",2023-02-20 19:00:08,32.285667,-111.054614
"223","BC #48 Tippy",2023-02-21 01:00:20,32.287443,-111.05188
"224","BC #48 Tippy",2023-02-21 13:00:07,32.292701,-111.054773
"225","BC #48 Tippy",2023-02-21 19:00:10,32.290438,-111.053303
"226","BC #48 Tippy",2023-02-22 07:00:17,32.288156,-111.050472
"227","BC #48 Tippy",2023-02-22 13:00:22,32.288857,-111.050371
"228","BC #48 Tippy",2023-02-22 19:00:11,32.291625,-111.050243
"229","BC #48 Tippy",2023-02-23 01:00:09,32.290076,-111.052439
"230","BC #48 Tippy",2023-02-23 07:00:10,32.290032,-111.052515
"231","BC #48 Tippy",2023-02-23 13:00:08,32.293083,-111.05764
"232","BC #48 Tippy",2023-02-23 19:00:09,32.292194,-111.051305
"233","BC #48 Tippy",2023-02-24 13:00:09,32.293476,-111.057853
"234","BC #48 Tippy",2023-02-24 19:00:09,32.283778,-111.057243
"235","BC #48 Tippy",2023-02-25 07:00:09,32.288071,-111.053494
"236","BC #48 Tippy",2023-02-25 13:00:08,32.294315,-111.049169
"237","BC #48 Tippy",2023-02-25 23:01:49,32.290036,-111.054048
"238","BC #48 Tippy",2023-02-26 01:00:22,32.290088,-111.053971
"239","BC #48 Tippy",2023-02-26 07:00:08,32.290152,-111.054019
"240","BC #48 Tippy",2023-02-26 13:00:08,32.283151,-111.049171
"241","BC #48 Tippy",2023-02-26 19:00:11,32.28892,-111.059232
"242","BC #48 Tippy",2023-02-27 01:00:26,32.287837,-111.053639
"243","BC #48 Tippy",2023-02-27 13:00:19,32.28325,-111.058382
"244","BC #48 Tippy",2023-02-27 19:00:21,32.286873,-111.061142
"245","BC #48 Tippy",2023-02-28 13:00:08,32.292305,-111.057554
"246","BC #48 Tippy",2023-02-28 19:00:11,32.283955,-111.061419
"247","BC #48 Tippy",2023-03-01 13:00:26,32.27266,-111.052994
"248","BC #48 Tippy",2023-03-01 19:00:11,32.281351,-111.054045
"249","BC #48 Tippy",2023-03-02 07:00:12,32.287511,-111.053914
"250","BC #48 Tippy",2023-03-02 13:00:27,32.286752,-111.061335
"251","BC #48 Tippy",2023-03-02 19:00:25,32.287949,-111.061097
"252","BC #48 Tippy",2023-03-03 01:00:26,32.289897,-111.053997
"253","BC #48 Tippy",2023-03-03 07:00:10,32.289867,-111.053929
"254","BC #48 Tippy",2023-03-03 13:00:19,32.289264,-111.06089
"255","BC #48 Tippy",2023-03-03 19:00:08,32.288436,-111.047352
"256","BC #48 Tippy",2023-03-04 07:00:14,32.272699,-111.053897
"257","BC #48 Tippy",2023-03-04 13:00:13,32.286238,-111.06055
"258","BC #48 Tippy",2023-03-05 03:00:42,32.28994,-111.054026
"259","BC #48 Tippy",2023-03-05 07:00:08,32.289936,-111.054237
"260","BC #48 Tippy",2023-03-05 13:00:19,32.292068,-111.059503
"261","BC #48 Tippy",2023-03-05 19:00:07,32.280562,-111.062992
"262","BC #48 Tippy",2023-03-06 01:00:26,32.284887,-111.055132
"263","BC #48 Tippy",2023-03-06 13:00:09,32.28299,-111.06325
"264","BC #48 Tippy",2023-03-06 19:00:09,32.292389,-111.05884
"265","BC #48 Tippy",2023-03-07 01:00:23,32.289927,-111.054032
"266","BC #48 Tippy",2023-03-07 07:00:09,32.290034,-111.054233
"267","BC #48 Tippy",2023-03-07 13:00:12,32.288101,-111.060325
"268","BC #48 Tippy",2023-03-07 19:00:09,32.291824,-111.058589
"269","BC #48 Tippy",2023-03-08 01:00:27,32.288004,-111.05382
"270","BC #48 Tippy",2023-03-08 19:00:16,32.292561,-111.060782
"271","BC #48 Tippy",2023-03-09 07:00:14,32.290055,-111.054038
"272","BC #48 Tippy",2023-03-09 13:00:16,32.288019,-111.050848
