"","individual.identifier","timestamp","location.lat","location.long"
"1","BC #40 Braeden",2022-03-19 09:00:23,32.23313,-111.069606
"2","BC #40 Braeden",2022-03-19 22:00:08,32.239746,-111.066965
"3","BC #40 Braeden",2022-03-20 11:00:09,32.229723,-111.048107
"4","BC #40 Braeden",2022-03-21 07:00:07,32.237768,-111.057859
"5","BC #40 Braeden",2022-03-21 13:00:11,32.225033,-111.061454
"6","BC #40 Braeden",2022-03-21 19:00:10,32.226096,-111.063366
"7","BC #40 Braeden",2022-03-22 07:00:15,32.239314,-111.088225
"8","BC #40 Braeden",2022-03-22 19:00:13,32.243338,-111.076271
"9","BC #40 Braeden",2022-03-23 01:00:13,32.245589,-111.067865
"10","BC #40 Braeden",2022-03-23 07:00:09,32.244817,-111.065367
"11","BC #40 Braeden",2022-03-23 13:00:18,32.229482,-111.049833
"12","BC #40 Braeden",2022-03-23 19:00:21,32.232762,-111.056941
"13","BC #40 Braeden",2022-03-24 01:00:18,32.233059,-111.070217
"14","BC #40 Braeden",2022-03-24 07:00:10,32.230541,-111.076109
"15","BC #40 Braeden",2022-03-24 13:00:10,32.227123,-111.072166
"16","BC #40 Braeden",2022-03-24 19:00:09,32.228614,-111.060477
"17","BC #40 Braeden",2022-03-25 13:00:07,32.244612,-111.055934
"18","BC #40 Braeden",2022-03-25 19:00:11,32.243917,-111.096162
"19","BC #40 Braeden",2022-03-26 01:00:21,32.240379,-111.098643
"20","BC #40 Braeden",2022-03-26 07:00:15,32.240033,-111.100244
"21","BC #40 Braeden",2022-03-26 13:00:14,32.232452,-111.102469
"22","BC #40 Braeden",2022-03-26 19:00:08,32.236023,-111.059597
"23","BC #40 Braeden",2022-03-27 01:00:13,32.246214,-111.057172
"24","BC #40 Braeden",2022-03-27 07:00:10,32.249637,-111.055124
"25","BC #40 Braeden",2022-03-27 13:00:10,32.251153,-111.059941
"26","BC #40 Braeden",2022-03-27 19:00:20,32.239892,-111.067124
"27","BC #40 Braeden",2022-03-28 01:00:13,32.239854,-111.066932
"28","BC #40 Braeden",2022-03-28 13:00:14,32.221006,-111.06142
"29","BC #40 Braeden",2022-03-28 19:00:09,32.232477,-111.052376
"30","BC #40 Braeden",2022-03-29 07:00:08,32.243114,-111.07841
"31","BC #40 Braeden",2022-03-29 13:00:11,32.241926,-111.085654
"32","BC #40 Braeden",2022-03-30 01:00:11,32.237373,-111.099953
"33","BC #40 Braeden",2022-03-30 13:00:07,32.236342,-111.061182
"34","BC #40 Braeden",2022-03-30 19:00:08,32.231078,-111.046856
"35","BC #40 Braeden",2022-03-31 07:00:09,32.238261,-111.067521
"36","BC #40 Braeden",2022-03-31 19:00:09,32.244208,-111.101408
"37","BC #40 Braeden",2022-04-01 07:00:17,32.242018,-111.100697
"38","BC #40 Braeden",2022-04-01 19:00:08,32.226847,-111.055357
"39","BC #40 Braeden",2022-04-02 05:00:13,32.23156,-111.057455
"40","BC #40 Braeden",2022-04-02 07:00:46,32.2316,-111.057523
"41","BC #40 Braeden",2022-04-02 09:00:15,32.230399,-111.058139
"42","BC #40 Braeden",2022-04-02 11:00:10,32.225625,-111.059534
"43","BC #40 Braeden",2022-04-02 13:00:23,32.221999,-111.06312
"44","BC #40 Braeden",2022-04-02 15:00:14,32.229451,-111.073523
"45","BC #40 Braeden",2022-04-02 17:00:10,32.239881,-111.064431
"46","BC #40 Braeden",2022-04-02 19:00:11,32.246286,-111.063894
"47","BC #40 Braeden",2022-04-03 03:00:25,32.245674,-111.067962
"48","BC #40 Braeden",2022-04-03 07:00:22,32.244086,-111.072485
"49","BC #40 Braeden",2022-04-03 09:00:25,32.243955,-111.074051
"50","BC #40 Braeden",2022-04-03 11:00:20,32.243355,-111.08398
"51","BC #40 Braeden",2022-04-03 13:00:14,32.240715,-111.09866
"52","BC #40 Braeden",2022-04-03 15:00:08,32.240646,-111.107241
"53","BC #40 Braeden",2022-04-03 21:00:15,32.236148,-111.107872
"54","BC #40 Braeden",2022-04-03 23:00:26,32.239617,-111.106838
"55","BC #40 Braeden",2022-04-04 01:00:22,32.239756,-111.106887
"56","BC #40 Braeden",2022-04-04 05:00:10,32.240417,-111.10456
"57","BC #40 Braeden",2022-04-04 07:00:11,32.239382,-111.098362
"58","BC #40 Braeden",2022-04-04 09:00:09,32.23878,-111.097478
"59","BC #40 Braeden",2022-04-04 11:00:19,32.234247,-111.090229
"60","BC #40 Braeden",2022-04-04 13:00:24,32.234601,-111.0683
"61","BC #40 Braeden",2022-04-04 17:00:16,32.236956,-111.057131
"62","BC #40 Braeden",2022-04-04 19:00:26,32.238785,-111.049085
"63","BC #40 Braeden",2022-04-04 21:00:14,32.24148,-111.04469
"64","BC #40 Braeden",2022-04-04 23:00:20,32.246155,-111.057028
"65","BC #40 Braeden",2022-04-05 05:00:25,32.246191,-111.056914
"66","BC #40 Braeden",2022-04-05 09:00:12,32.242785,-111.058941
"67","BC #40 Braeden",2022-04-05 11:00:12,32.231859,-111.052179
"68","BC #40 Braeden",2022-04-05 15:00:14,32.238624,-111.04697
"69","BC #40 Braeden",2022-04-05 17:00:19,32.247779,-111.061568
"70","BC #40 Braeden",2022-04-05 19:00:25,32.250632,-111.0615
"71","BC #40 Braeden",2022-04-06 01:00:17,32.246245,-111.057065
"72","BC #40 Braeden",2022-04-06 07:00:12,32.244771,-111.057969
"73","BC #40 Braeden",2022-04-06 13:00:14,32.245978,-111.07894
"74","BC #40 Braeden",2022-04-06 15:00:20,32.238968,-111.096465
"75","BC #40 Braeden",2022-04-06 17:00:15,32.244681,-111.097357
"76","BC #40 Braeden",2022-04-06 19:00:13,32.242494,-111.101387
"77","BC #40 Braeden",2022-04-06 21:00:24,32.242176,-111.100461
"78","BC #40 Braeden",2022-04-06 23:00:46,32.237227,-111.100063
"79","BC #40 Braeden",2022-04-07 01:00:09,32.237294,-111.10016
"80","BC #40 Braeden",2022-04-07 07:00:25,32.237296,-111.100098
"81","BC #40 Braeden",2022-04-07 09:00:09,32.236537,-111.101261
"82","BC #40 Braeden",2022-04-07 13:00:10,32.230741,-111.068921
"83","BC #40 Braeden",2022-04-07 17:00:19,32.234665,-111.047508
"84","BC #40 Braeden",2022-04-07 19:00:15,32.237146,-111.053566
"85","BC #40 Braeden",2022-04-08 01:00:13,32.235027,-111.060064
"86","BC #40 Braeden",2022-04-08 07:00:24,32.234939,-111.059806
"87","BC #40 Braeden",2022-04-08 09:00:22,32.231085,-111.061981
"88","BC #40 Braeden",2022-04-08 11:00:13,32.223883,-111.062126
"89","BC #40 Braeden",2022-04-09 11:00:49,32.244878,-111.098712
"90","BC #40 Braeden",2022-04-10 01:00:11,32.247488,-111.059627
"91","BC #40 Braeden",2022-04-10 14:00:09,32.230209,-111.050906
"92","BC #40 Braeden",2022-04-11 16:00:16,32.251305,-111.057068
"93","BC #40 Braeden",2022-04-12 05:00:13,32.239902,-111.065458
"94","BC #40 Braeden",2022-04-12 18:00:11,32.241538,-111.112582
"95","BC #40 Braeden",2022-04-13 07:00:26,32.24209,-111.100367
"96","BC #40 Braeden",2022-04-13 20:00:10,32.233257,-111.046477
"97","BC #40 Braeden",2022-04-15 11:00:10,32.238875,-111.063132
"98","BC #40 Braeden",2022-04-16 00:00:22,32.242104,-111.100663
"99","BC #40 Braeden",2022-04-16 13:00:08,32.23868,-111.098292
