"","individual.identifier","timestamp","location.lat","location.long"
"1","BC #14 Bunny",2021-02-10 15:00:38,32.269844,-111.114151
"2","BC #14 Bunny",2021-02-11 01:00:08,32.269804,-111.115075
"3","BC #14 Bunny",2021-02-11 07:00:08,32.269822,-111.115094
"4","BC #14 Bunny",2021-02-11 13:00:12,32.269676,-111.114272
"5","BC #14 Bunny",2021-02-12 02:00:07,32.270969,-111.115457
"6","BC #14 Bunny",2021-02-12 08:00:07,32.275452,-111.110314
"7","BC #14 Bunny",2021-02-12 14:00:07,32.276855,-111.108461
"8","BC #14 Bunny",2021-02-12 21:00:13,32.279071,-111.105388
"9","BC #14 Bunny",2021-02-13 03:00:08,32.276097,-111.100577
"10","BC #14 Bunny",2021-02-13 09:00:07,32.270128,-111.104405
"11","BC #14 Bunny",2021-02-13 15:00:08,32.272982,-111.111196
"12","BC #14 Bunny",2021-02-13 22:00:06,32.272018,-111.112372
"13","BC #14 Bunny",2021-02-14 04:00:07,32.273911,-111.115104
"14","BC #14 Bunny",2021-02-14 10:00:06,32.270114,-111.107291
"15","BC #14 Bunny",2021-02-14 16:00:06,32.279631,-111.106849
"16","BC #14 Bunny",2021-02-14 23:00:11,32.27292,-111.111045
"17","BC #14 Bunny",2021-02-15 05:00:05,32.272166,-111.110066
"18","BC #14 Bunny",2021-02-15 11:00:07,32.273877,-111.10488
"19","BC #14 Bunny",2021-02-15 17:00:06,32.276168,-111.104552
"20","BC #14 Bunny",2021-02-16 00:00:06,32.273242,-111.111632
"21","BC #14 Bunny",2021-02-16 06:00:05,32.271545,-111.107732
"22","BC #14 Bunny",2021-02-16 12:00:10,32.28172,-111.094875
"23","BC #14 Bunny",2021-02-16 18:00:09,32.27767,-111.098403
"24","BC #14 Bunny",2021-02-17 01:00:14,32.274637,-111.115423
"25","BC #14 Bunny",2021-02-17 07:00:06,32.276533,-111.107728
"26","BC #14 Bunny",2021-02-17 13:00:05,32.278588,-111.09527
"27","BC #14 Bunny",2021-02-17 19:00:39,32.276689,-111.109752
"28","BC #14 Bunny",2021-02-18 02:00:23,32.27348,-111.110951
"29","BC #14 Bunny",2021-02-18 08:00:09,32.276879,-111.108995
"30","BC #14 Bunny",2021-02-18 14:00:07,32.272892,-111.113913
"31","BC #14 Bunny",2021-02-19 03:00:11,32.27483,-111.112528
"32","BC #14 Bunny",2021-02-19 15:00:24,32.275317,-111.111047
"33","BC #14 Bunny",2021-02-19 21:00:08,32.270211,-111.114558
"34","BC #14 Bunny",2021-02-20 04:00:10,32.270073,-111.114663
"35","BC #14 Bunny",2021-02-20 10:00:26,32.276295,-111.109773
"36","BC #14 Bunny",2021-02-20 16:00:14,32.275964,-111.109158
"37","BC #14 Bunny",2021-02-20 22:00:09,32.272597,-111.114497
"38","BC #14 Bunny",2021-02-21 05:00:07,32.272747,-111.113789
"39","BC #14 Bunny",2021-02-21 11:00:18,32.274162,-111.110595
"40","BC #14 Bunny",2021-02-21 17:00:11,32.272883,-111.108585
"41","BC #14 Bunny",2021-02-21 23:00:24,32.272963,-111.110996
"42","BC #14 Bunny",2021-02-22 06:00:07,32.273329,-111.110224
"43","BC #14 Bunny",2021-02-22 12:00:15,32.276183,-111.109708
"44","BC #14 Bunny",2021-02-22 18:00:08,32.278477,-111.103417
"45","BC #14 Bunny",2021-02-23 00:00:19,32.269653,-111.112517
"46","BC #14 Bunny",2021-02-23 13:00:07,32.276944,-111.108877
"47","BC #14 Bunny",2021-02-23 19:00:07,32.27156,-111.111175
"48","BC #14 Bunny",2021-02-24 08:00:07,32.270059,-111.109149
"49","BC #14 Bunny",2021-02-24 14:00:08,32.276232,-111.105859
"50","BC #14 Bunny",2021-02-24 20:00:07,32.278501,-111.104394
"51","BC #14 Bunny",2021-02-24 23:00:37,32.273428,-111.110954
"52","BC #14 Bunny",2021-02-25 02:00:10,32.273456,-111.110976
"53","BC #14 Bunny",2021-02-25 09:00:19,32.270602,-111.102308
"54","BC #14 Bunny",2021-02-25 21:00:07,32.270605,-111.114446
"55","BC #14 Bunny",2021-02-26 10:00:07,32.270876,-111.110342
"56","BC #14 Bunny",2021-02-26 22:00:08,32.272722,-111.118166
"57","BC #14 Bunny",2021-02-27 23:00:21,32.275996,-111.110035
"58","BC #14 Bunny",2021-02-28 12:00:20,32.275328,-111.111
