"","individual.identifier","timestamp","location.lat","location.long"
"1","BC #51 Carrie",2023-01-24 07:00:17,32.253934,-111.029594
"2","BC #51 Carrie",2023-01-25 09:00:19,32.244901,-111.017881
"3","BC #51 Carrie",2023-01-25 22:00:17,32.240783,-111.016324
"4","BC #51 Carrie",2023-01-26 11:00:19,32.243418,-111.020934
"5","BC #51 Carrie",2023-01-27 00:00:16,32.240726,-111.01849
"6","BC #51 Carrie",2023-01-27 13:00:14,32.246459,-111.024192
"7","BC #51 Carrie",2023-01-28 02:00:21,32.257973,-111.02967
"8","BC #51 Carrie",2023-01-28 07:01:35,32.257249,-111.034028
"9","BC #51 Carrie",2023-01-28 11:00:11,32.257983,-111.02974
"10","BC #51 Carrie",2023-01-28 13:00:13,32.257631,-111.030396
"11","BC #51 Carrie",2023-01-28 15:00:09,32.257901,-111.029924
"12","BC #51 Carrie",2023-01-28 17:00:13,32.253831,-111.0296
"13","BC #51 Carrie",2023-01-28 21:00:12,32.253864,-111.029603
"14","BC #51 Carrie",2023-01-28 23:00:15,32.254046,-111.029705
"15","BC #51 Carrie",2023-01-29 01:00:11,32.254203,-111.031102
"16","BC #51 Carrie",2023-01-29 03:00:09,32.249096,-111.029927
"17","BC #51 Carrie",2023-01-29 05:00:09,32.248031,-111.022131
"18","BC #51 Carrie",2023-01-29 07:00:15,32.246996,-111.018662
"19","BC #51 Carrie",2023-01-29 09:00:25,32.247687,-111.02447
"20","BC #51 Carrie",2023-01-29 11:00:08,32.247384,-111.024285
"21","BC #51 Carrie",2023-01-29 13:00:10,32.243987,-111.021008
"22","BC #51 Carrie",2023-01-29 15:00:08,32.243318,-111.022213
"23","BC #51 Carrie",2023-01-29 21:00:12,32.241186,-111.018347
"24","BC #51 Carrie",2023-01-30 01:00:17,32.241387,-111.011143
"25","BC #51 Carrie",2023-01-30 03:00:14,32.24255,-111.012642
"26","BC #51 Carrie",2023-01-30 05:00:10,32.242559,-111.012607
"27","BC #51 Carrie",2023-01-30 07:00:07,32.241505,-111.016677
"28","BC #51 Carrie",2023-01-30 13:00:26,32.24082,-111.016255
"29","BC #51 Carrie",2023-01-30 17:00:08,32.241048,-111.016965
"30","BC #51 Carrie",2023-01-30 19:00:09,32.250615,-111.028744
"31","BC #51 Carrie",2023-01-30 21:00:08,32.255113,-111.029656
"32","BC #51 Carrie",2023-01-31 01:00:17,32.241419,-111.016864
"33","BC #51 Carrie",2023-01-31 05:00:09,32.243574,-111.016275
"34","BC #51 Carrie",2023-01-31 09:00:09,32.243682,-111.018196
"35","BC #51 Carrie",2023-01-31 11:00:19,32.243563,-111.018172
"36","BC #51 Carrie",2023-01-31 13:00:09,32.243606,-111.018209
"37","BC #51 Carrie",2023-01-31 15:00:26,32.243578,-111.018234
"38","BC #51 Carrie",2023-01-31 21:00:14,32.243983,-111.017952
"39","BC #51 Carrie",2023-01-31 23:00:11,32.247492,-111.016251
"40","BC #51 Carrie",2023-02-01 01:00:14,32.24784,-111.018385
"41","BC #51 Carrie",2023-02-01 03:00:17,32.248634,-111.017751
"42","BC #51 Carrie",2023-02-01 05:00:24,32.252162,-111.02368
"43","BC #51 Carrie",2023-02-01 07:00:14,32.25161,-111.030127
"44","BC #51 Carrie",2023-02-01 09:00:14,32.253498,-111.027276
"45","BC #51 Carrie",2023-02-01 11:00:10,32.254523,-111.026935
"46","BC #51 Carrie",2023-02-01 13:00:21,32.254136,-111.029651
"47","BC #51 Carrie",2023-02-01 15:00:21,32.254051,-111.029645
