"","individual.identifier","timestamp","location.lat","location.long"
"1","BC #46 Cassidy",2022-11-16 12:00:13,32.289737,-111.035725
"2","BC #46 Cassidy",2022-11-17 01:00:09,32.278229,-111.021685
"3","BC #46 Cassidy",2022-11-17 14:00:08,32.27658,-111.024695
"4","BC #46 Cassidy",2022-11-17 15:00:57,32.273245,-111.02994
"5","BC #46 Cassidy",2022-11-18 03:00:19,32.282886,-111.029107
"6","BC #46 Cassidy",2022-11-19 18:00:07,32.283271,-111.031691
"7","BC #46 Cassidy",2022-11-20 20:00:15,32.278541,-111.024058
"8","BC #46 Cassidy",2022-11-21 09:00:08,32.283269,-111.031604
"9","BC #46 Cassidy",2022-11-21 22:00:09,32.278299,-111.021004
"10","BC #46 Cassidy",2022-11-22 09:00:12,32.279661,-111.022227
"11","BC #46 Cassidy",2022-11-22 11:00:11,32.283224,-111.031636
"12","BC #46 Cassidy",2022-11-22 13:00:25,32.279354,-111.02404
"13","BC #46 Cassidy",2022-11-22 15:00:10,32.279367,-111.021694
"14","BC #46 Cassidy",2022-11-22 17:00:12,32.279293,-111.021682
"15","BC #46 Cassidy",2022-11-22 21:00:07,32.288511,-111.027423
"16","BC #46 Cassidy",2022-11-22 23:00:06,32.290579,-111.034132
"17","BC #46 Cassidy",2022-11-23 03:00:07,32.299661,-111.04421
"18","BC #46 Cassidy",2022-11-23 05:00:15,32.297114,-111.039763
"19","BC #46 Cassidy",2022-11-23 07:00:17,32.290852,-111.036451
"20","BC #46 Cassidy",2022-11-23 09:00:10,32.288405,-111.032125
"21","BC #46 Cassidy",2022-11-23 11:00:11,32.282551,-111.030641
"22","BC #46 Cassidy",2022-11-23 13:00:25,32.288432,-111.03213
"23","BC #46 Cassidy",2022-11-23 15:00:11,32.288433,-111.032073
"24","BC #46 Cassidy",2022-11-23 17:00:13,32.287844,-111.031689
"25","BC #46 Cassidy",2022-11-23 19:00:08,32.288425,-111.032003
"26","BC #46 Cassidy",2022-11-23 23:00:23,32.281873,-111.025439
"27","BC #46 Cassidy",2022-11-24 01:00:21,32.279371,-111.024561
"28","BC #46 Cassidy",2022-11-24 07:00:14,32.279312,-111.024454
"29","BC #46 Cassidy",2022-11-24 11:00:12,32.279461,-111.02452
"30","BC #46 Cassidy",2022-11-24 13:00:24,32.283326,-111.031567
"31","BC #46 Cassidy",2022-11-24 15:00:03,32.27854,-111.036151
"32","BC #46 Cassidy",2022-11-24 17:00:10,32.268796,-111.035652
"33","BC #46 Cassidy",2022-11-24 19:00:51,32.278706,-111.030648
"34","BC #46 Cassidy",2022-11-24 21:00:11,32.279566,-111.027763
"35","BC #46 Cassidy",2022-11-24 23:00:15,32.279427,-111.026659
