"","individual.identifier","timestamp","location.lat","location.long"
"1","BC #13 Cathrine (12/17/20 - 1/12/21)",2020-12-18 02:00:09,32.270044,-111.081584
"2","BC #13 Cathrine (12/17/20 - 1/12/21)",2020-12-18 08:00:08,32.265324,-111.072987
"3","BC #13 Cathrine (12/17/20 - 1/12/21)",2020-12-18 15:00:17,32.265063,-111.065607
"4","BC #13 Cathrine (12/17/20 - 1/12/21)",2020-12-18 21:00:18,32.269317,-111.070149
"5","BC #13 Cathrine (12/17/20 - 1/12/21)",2020-12-19 03:00:17,32.268935,-111.069667
"6","BC #13 Cathrine (12/17/20 - 1/12/21)",2020-12-19 16:00:13,32.262241,-111.065565
"7","BC #13 Cathrine (12/17/20 - 1/12/21)",2020-12-20 04:00:23,32.268628,-111.069782
"8","BC #13 Cathrine (12/17/20 - 1/12/21)",2020-12-21 05:00:17,32.268508,-111.067304
"9","BC #13 Cathrine (12/17/20 - 1/12/21)",2020-12-21 18:00:07,32.26043,-111.070221
"10","BC #13 Cathrine (12/17/20 - 1/12/21)",2020-12-22 06:00:11,32.265186,-111.072088
"11","BC #13 Cathrine (12/17/20 - 1/12/21)",2020-12-22 11:01:28,32.260661,-111.076975
"12","BC #13 Cathrine (12/17/20 - 1/12/21)",2020-12-22 19:00:09,32.256429,-111.086565
"13","BC #13 Cathrine (12/17/20 - 1/12/21)",2020-12-23 07:00:09,32.260606,-111.080495
"14","BC #13 Cathrine (12/17/20 - 1/12/21)",2020-12-23 20:00:08,32.261539,-111.070593
"15","BC #13 Cathrine (12/17/20 - 1/12/21)",2020-12-24 21:00:12,32.257408,-111.0784
"16","BC #13 Cathrine (12/17/20 - 1/12/21)",2020-12-25 09:00:11,32.262658,-111.068216
"17","BC #13 Cathrine (12/17/20 - 1/12/21)",2020-12-25 22:00:10,32.267184,-111.068095
"18","BC #13 Cathrine (12/17/20 - 1/12/21)",2020-12-26 10:00:25,32.268724,-111.067389
"19","BC #13 Cathrine (12/17/20 - 1/12/21)",2020-12-26 23:00:11,32.257404,-111.078567
"20","BC #13 Cathrine (12/17/20 - 1/12/21)",2020-12-28 00:00:07,32.262231,-111.079163
"21","BC #13 Cathrine (12/17/20 - 1/12/21)",2020-12-28 12:00:22,32.261632,-111.071103
"22","BC #13 Cathrine (12/17/20 - 1/12/21)",2020-12-29 01:00:07,32.253623,-111.075738
"23","BC #13 Cathrine (12/17/20 - 1/12/21)",2020-12-29 13:00:10,32.25287,-111.062462
"24","BC #13 Cathrine (12/17/20 - 1/12/21)",2020-12-29 15:00:50,32.251691,-111.067695
"25","BC #13 Cathrine (12/17/20 - 1/12/21)",2020-12-30 02:00:07,32.259842,-111.077867
"26","BC #13 Cathrine (12/17/20 - 1/12/21)",2020-12-31 03:00:06,32.253077,-111.07274
"27","BC #13 Cathrine (12/17/20 - 1/12/21)",2021-01-01 04:00:07,32.25496,-111.071894
"28","BC #13 Cathrine (12/17/20 - 1/12/21)",2021-01-01 16:00:08,32.265562,-111.05934
"29","BC #13 Cathrine (12/17/20 - 1/12/21)",2021-01-02 17:00:19,32.252064,-111.06545
"30","BC #13 Cathrine (12/17/20 - 1/12/21)",2021-01-03 06:00:13,32.261943,-111.074817
"31","BC #13 Cathrine (12/17/20 - 1/12/21)",2021-01-03 18:00:07,32.264575,-111.057875
"32","BC #13 Cathrine (12/17/20 - 1/12/21)",2021-01-04 07:00:08,32.265015,-111.086249
"33","BC #13 Cathrine (12/17/20 - 1/12/21)",2021-01-04 19:00:05,32.260516,-111.086898
"34","BC #13 Cathrine (12/17/20 - 1/12/21)",2021-01-05 08:00:15,32.254788,-111.066786
"35","BC #13 Cathrine (12/17/20 - 1/12/21)",2021-01-05 20:00:04,32.262527,-111.068716
"36","BC #13 Cathrine (12/17/20 - 1/12/21)",2021-01-06 09:00:08,32.265445,-111.076898
"37","BC #13 Cathrine (12/17/20 - 1/12/21)",2021-01-06 21:00:09,32.25475,-111.073385
"38","BC #13 Cathrine (12/17/20 - 1/12/21)",2021-01-07 10:00:07,32.268774,-111.059792
"39","BC #13 Cathrine (12/17/20 - 1/12/21)",2021-01-07 22:00:07,32.258198,-111.085777
"40","BC #13 Cathrine (12/17/20 - 1/12/21)",2021-01-08 11:00:08,32.26182,-111.076887
"41","BC #13 Cathrine (12/17/20 - 1/12/21)",2021-01-09 12:00:16,32.269984,-111.065609
"42","BC #13 Cathrine (12/17/20 - 1/12/21)",2021-01-10 13:00:10,32.267111,-111.071214
"43","BC #13 Cathrine (12/17/20 - 1/12/21)",2021-01-11 01:00:24,32.256266,-111.063688
"44","BC #13 Cathrine (12/17/20 - 1/12/21)",2021-01-11 14:00:21,32.262714,-111.074794
"45","BC #13 Cathrine (12/17/20 - 1/12/21)",2021-01-12 02:00:06,32.263782,-111.072581
"46","BC #13 Cathrine (12/17/20 - 1/12/21)",2021-01-12 15:00:25,32.263764,-111.072542
"47","BC #13 Cathrine (12/17/20 - 1/12/21)",2021-01-12 23:00:39,32.266819,-111.072319
"48","BC #13 Cathrine (12/17/20 - 1/12/21)",2021-01-13 03:00:08,32.266846,-111.07232
"49","BC #13 Cathrine (12/17/20 - 1/12/21)",2021-01-13 16:00:08,32.266858,-111.072302
