"","individual.identifier","timestamp","location.lat","location.long"
"1","BC #56 Charlie",2023-12-06 07:00:16,32.316251,-111.062841
"2","BC #56 Charlie",2023-12-06 20:00:13,32.341351,-111.07766
"3","BC #56 Charlie",2023-12-07 09:00:11,32.346091,-111.091588
"4","BC #56 Charlie",2023-12-07 22:00:26,32.358241,-111.100587
"5","BC #56 Charlie",2023-12-08 11:00:22,32.373537,-111.108674
"6","BC #56 Charlie",2023-12-09 00:00:19,32.341958,-111.082279
"7","BC #56 Charlie",2023-12-09 15:00:37,32.342146,-111.092919
"8","BC #56 Charlie",2023-12-09 17:00:09,32.350235,-111.096494
"9","BC #56 Charlie",2023-12-09 21:00:10,32.351154,-111.094456
"10","BC #56 Charlie",2023-12-09 23:00:09,32.351345,-111.09441
"11","BC #56 Charlie",2023-12-10 01:00:13,32.351242,-111.094235
"12","BC #56 Charlie",2023-12-10 03:00:15,32.3511,-111.094294
"13","BC #56 Charlie",2023-12-10 05:00:18,32.351619,-111.095265
"14","BC #56 Charlie",2023-12-10 07:00:17,32.350103,-111.093238
"15","BC #56 Charlie",2023-12-10 09:00:20,32.354609,-111.095851
"16","BC #56 Charlie",2023-12-10 11:00:19,32.361734,-111.10082
"17","BC #56 Charlie",2023-12-10 13:00:14,32.36573,-111.10621
"18","BC #56 Charlie",2023-12-10 17:00:21,32.366327,-111.110907
"19","BC #56 Charlie",2023-12-10 19:00:26,32.366286,-111.110702
"20","BC #56 Charlie",2023-12-10 21:00:11,32.37472,-111.11207
"21","BC #56 Charlie",2023-12-10 23:00:12,32.370665,-111.107749
"22","BC #56 Charlie",2023-12-11 01:00:25,32.370542,-111.107805
"23","BC #56 Charlie",2023-12-11 05:00:14,32.370272,-111.107282
"24","BC #56 Charlie",2023-12-11 07:00:09,32.374934,-111.111224
"25","BC #56 Charlie",2023-12-11 13:00:12,32.368666,-111.110669
"26","BC #56 Charlie",2023-12-11 17:00:14,32.368627,-111.110662
"27","BC #56 Charlie",2023-12-11 23:00:10,32.369539,-111.109362
"28","BC #56 Charlie",2023-12-12 01:00:24,32.371386,-111.107984
"29","BC #56 Charlie",2023-12-12 07:00:13,32.371384,-111.108013
"30","BC #56 Charlie",2023-12-12 09:00:25,32.36855,-111.110614
"31","BC #56 Charlie",2023-12-12 11:00:13,32.365861,-111.109193
"32","BC #56 Charlie",2023-12-12 15:00:15,32.33134,-111.079729
"33","BC #56 Charlie",2023-12-12 17:00:09,32.331367,-111.079686
"34","BC #56 Charlie",2023-12-12 19:00:17,32.329796,-111.08025
"35","BC #56 Charlie",2023-12-12 21:00:09,32.327647,-111.072805
"36","BC #56 Charlie",2023-12-13 01:00:13,32.327638,-111.072776
"37","BC #56 Charlie",2023-12-13 03:00:24,32.327691,-111.072696
"38","BC #56 Charlie",2023-12-13 05:00:11,32.327565,-111.072655
"39","BC #56 Charlie",2023-12-13 07:00:10,32.328235,-111.072369
"40","BC #56 Charlie",2023-12-13 09:00:12,32.336317,-111.079045
"41","BC #56 Charlie",2023-12-13 11:00:14,32.344929,-111.080638
"42","BC #56 Charlie",2023-12-13 13:00:12,32.35647,-111.101818
"43","BC #56 Charlie",2023-12-13 15:00:15,32.374455,-111.11277
