"","individual.identifier","timestamp","location.lat","location.long"
"1","BC #43 Cynthia",2022-11-12 04:00:11,32.254954,-111.053037
"2","BC #43 Cynthia",2022-11-12 17:00:12,32.246091,-111.056806
"3","BC #43 Cynthia",2022-11-13 06:00:18,32.247176,-111.053233
"4","BC #43 Cynthia",2022-11-13 19:00:10,32.255935,-111.055735
"5","BC #43 Cynthia",2022-11-14 08:00:21,32.257131,-111.062324
"6","BC #43 Cynthia",2022-11-15 10:00:10,32.254655,-111.042379
"7","BC #43 Cynthia",2022-11-15 23:00:14,32.253723,-111.034852
"8","BC #43 Cynthia",2022-11-16 12:00:09,32.267631,-111.035433
"9","BC #43 Cynthia",2022-11-17 01:00:12,32.252278,-111.062212
"10","BC #43 Cynthia",2022-11-17 14:00:12,32.25489,-111.047419
"11","BC #43 Cynthia",2022-11-17 15:00:50,32.25255,-111.045411
"12","BC #43 Cynthia",2022-11-18 03:00:09,32.246454,-111.058034
"13","BC #43 Cynthia",2022-11-18 16:00:08,32.254774,-111.064812
"14","BC #43 Cynthia",2022-11-19 05:00:16,32.249166,-111.05874
"15","BC #43 Cynthia",2022-11-19 18:00:09,32.264631,-111.035148
"16","BC #43 Cynthia",2022-11-20 20:00:09,32.257842,-111.055681
"17","BC #43 Cynthia",2022-11-21 09:00:12,32.256398,-111.050398
"18","BC #43 Cynthia",2022-11-21 22:00:10,32.25433,-111.059832
"19","BC #43 Cynthia",2022-11-22 11:00:09,32.249225,-111.047865
"20","BC #43 Cynthia",2022-11-23 00:00:13,32.250877,-111.063373
"21","BC #43 Cynthia",2022-11-23 13:00:21,32.258499,-111.05552
"22","BC #43 Cynthia",2022-11-24 02:00:12,32.246193,-111.056954
"23","BC #43 Cynthia",2022-11-24 15:00:17,32.252805,-111.051615
"24","BC #43 Cynthia",2022-11-24 19:00:38,32.257174,-111.054423
"25","BC #43 Cynthia",2022-11-25 04:00:12,32.252878,-111.065487
"26","BC #43 Cynthia",2022-11-25 17:00:09,32.271726,-111.058906
"27","BC #43 Cynthia",2022-11-26 06:00:12,32.254103,-111.05921
"28","BC #43 Cynthia",2022-11-26 19:00:08,32.246448,-111.062633
"29","BC #43 Cynthia",2022-11-27 08:00:09,32.254865,-111.046846
"30","BC #43 Cynthia",2022-11-27 21:00:21,32.246035,-111.056796
"31","BC #43 Cynthia",2022-11-28 10:00:09,32.250907,-111.044627
"32","BC #43 Cynthia",2022-11-28 23:00:15,32.264789,-111.036687
"33","BC #43 Cynthia",2022-11-29 12:00:12,32.270872,-111.040319
"34","BC #43 Cynthia",2022-11-30 14:00:09,32.260519,-111.058417
"35","BC #43 Cynthia",2022-12-01 03:00:27,32.247144,-111.06211
"36","BC #43 Cynthia",2022-12-01 16:00:09,32.262759,-111.039172
"37","BC #43 Cynthia",2022-12-01 23:00:37,32.249342,-111.049681
"38","BC #43 Cynthia",2022-12-02 05:00:09,32.245295,-111.054866
"39","BC #43 Cynthia",2022-12-02 18:00:09,32.25702,-111.050613
"40","BC #43 Cynthia",2022-12-03 07:00:16,32.259022,-111.059171
"41","BC #43 Cynthia",2022-12-03 20:00:08,32.25486,-111.040291
"42","BC #43 Cynthia",2022-12-04 09:00:09,32.249861,-111.047065
"43","BC #43 Cynthia",2022-12-04 22:00:19,32.259228,-111.055603
"44","BC #43 Cynthia",2022-12-05 11:00:11,32.270359,-111.03785
"45","BC #43 Cynthia",2022-12-06 00:00:15,32.259471,-111.055666
"46","BC #43 Cynthia",2022-12-06 13:00:08,32.249196,-111.056497
"47","BC #43 Cynthia",2022-12-07 02:00:16,32.251503,-111.063519
"48","BC #43 Cynthia",2022-12-07 15:00:08,32.25427,-111.05048
"49","BC #43 Cynthia",2022-12-08 04:00:10,32.243389,-111.058596
"50","BC #43 Cynthia",2022-12-08 17:00:09,32.259192,-111.052974
"51","BC #43 Cynthia",2022-12-09 03:01:00,32.252174,-111.062846
"52","BC #43 Cynthia",2022-12-09 06:00:20,32.252448,-111.0627
"53","BC #43 Cynthia",2022-12-09 19:00:11,32.260235,-111.05061
"54","BC #43 Cynthia",2022-12-10 08:00:11,32.257099,-111.06185
