"","individual.identifier","timestamp","location.lat","location.long"
"1","BC #3 Hal (11/19/20 - 9/16/21)",2020-11-20 05:00:11,32.240869,-111.055303
"2","BC #3 Hal (11/19/20 - 9/16/21)",2020-11-20 12:00:05,32.236517,-111.054044
"3","BC #3 Hal (11/19/20 - 9/16/21)",2020-11-20 18:00:07,32.230514,-111.046828
"4","BC #3 Hal (11/19/20 - 9/16/21)",2020-11-21 00:00:04,32.230376,-111.056809
"5","BC #3 Hal (11/19/20 - 9/16/21)",2020-11-21 06:00:14,32.237151,-111.057037
"6","BC #3 Hal (11/19/20 - 9/16/21)",2020-11-21 13:00:08,32.254824,-111.045307
"7","BC #3 Hal (11/19/20 - 9/16/21)",2020-11-21 19:00:08,32.252229,-111.036924
"8","BC #3 Hal (11/19/20 - 9/16/21)",2020-11-22 07:00:06,32.248569,-111.04461
"9","BC #3 Hal (11/19/20 - 9/16/21)",2020-11-22 14:00:06,32.252857,-111.037292
"10","BC #3 Hal (11/19/20 - 9/16/21)",2020-11-22 20:00:07,32.243002,-111.042765
"11","BC #3 Hal (11/19/20 - 9/16/21)",2020-11-23 02:00:05,32.237157,-111.04883
"12","BC #3 Hal (11/19/20 - 9/16/21)",2020-11-23 08:00:04,32.239716,-111.055045
"13","BC #3 Hal (11/19/20 - 9/16/21)",2020-11-23 15:00:05,32.229765,-111.043576
"14","BC #3 Hal (11/19/20 - 9/16/21)",2020-11-23 19:00:36,32.232251,-111.050153
"15","BC #3 Hal (11/19/20 - 9/16/21)",2020-11-23 21:00:12,32.232594,-111.057888
"16","BC #3 Hal (11/19/20 - 9/16/21)",2020-11-24 03:00:21,32.23162,-111.056898
"17","BC #3 Hal (11/19/20 - 9/16/21)",2020-11-24 09:00:08,32.238068,-111.056717
"18","BC #3 Hal (11/19/20 - 9/16/21)",2020-11-24 16:00:13,32.247725,-111.037857
"19","BC #3 Hal (11/19/20 - 9/16/21)",2020-11-24 22:00:12,32.237141,-111.047989
"20","BC #3 Hal (11/19/20 - 9/16/21)",2020-11-25 04:00:25,32.237133,-111.047989
"21","BC #3 Hal (11/19/20 - 9/16/21)",2020-11-25 10:00:08,32.231485,-111.053782
"22","BC #3 Hal (11/19/20 - 9/16/21)",2020-11-25 17:00:20,32.263185,-111.068235
"23","BC #3 Hal (11/19/20 - 9/16/21)",2020-11-25 23:00:09,32.266905,-111.086094
"24","BC #3 Hal (11/19/20 - 9/16/21)",2020-11-26 05:00:07,32.26575,-111.084543
"25","BC #3 Hal (11/19/20 - 9/16/21)",2020-11-26 11:00:07,32.266823,-111.082562
"26","BC #3 Hal (11/19/20 - 9/16/21)",2020-11-26 18:00:06,32.269939,-111.092779
"27","BC #3 Hal (11/19/20 - 9/16/21)",2020-11-27 00:00:07,32.271875,-111.104943
"28","BC #3 Hal (11/19/20 - 9/16/21)",2020-11-27 12:00:07,32.268613,-111.091033
"29","BC #3 Hal (11/19/20 - 9/16/21)",2020-11-27 19:00:12,32.280972,-111.080214
"30","BC #3 Hal (11/19/20 - 9/16/21)",2020-11-28 01:00:11,32.266312,-111.074694
"31","BC #3 Hal (11/19/20 - 9/16/21)",2020-11-28 07:00:06,32.264789,-111.074648
"32","BC #3 Hal (11/19/20 - 9/16/21)",2020-11-28 13:00:06,32.266643,-111.077942
"33","BC #3 Hal (11/19/20 - 9/16/21)",2020-11-28 20:00:06,32.264839,-111.082185
"34","BC #3 Hal (11/19/20 - 9/16/21)",2020-11-29 02:00:09,32.259846,-111.084424
"35","BC #3 Hal (11/19/20 - 9/16/21)",2020-11-29 08:00:07,32.26811,-111.081218
"36","BC #3 Hal (11/19/20 - 9/16/21)",2020-11-29 14:00:25,32.271952,-111.071905
"37","BC #3 Hal (11/19/20 - 9/16/21)",2020-11-29 21:00:10,32.249108,-111.045587
"38","BC #3 Hal (11/19/20 - 9/16/21)",2020-11-30 03:00:06,32.241341,-111.053033
"39","BC #3 Hal (11/19/20 - 9/16/21)",2020-11-30 09:00:05,32.232781,-111.05485
"40","BC #3 Hal (11/19/20 - 9/16/21)",2020-11-30 15:00:05,32.230902,-111.04316
"41","BC #3 Hal (11/19/20 - 9/16/21)",2020-11-30 22:00:12,32.22989,-111.057994
"42","BC #3 Hal (11/19/20 - 9/16/21)",2020-11-30 23:04:08,32.227347,-111.052964
"43","BC #3 Hal (11/19/20 - 9/16/21)",2020-12-01 10:00:07,32.230069,-111.042561
