"","individual.identifier","timestamp","location.lat","location.long"
"1","BC #16 Jack",2021-02-13 09:00:14,32.229247,-111.04253
"2","BC #16 Jack",2021-02-13 22:00:16,32.220097,-111.045222
"3","BC #16 Jack",2021-02-14 10:00:14,32.219731,-111.045062
"4","BC #16 Jack",2021-02-14 23:00:16,32.219669,-111.045071
"5","BC #16 Jack",2021-02-15 05:00:12,32.214339,-111.043195
"6","BC #16 Jack",2021-02-15 11:00:13,32.206359,-111.03829
"7","BC #16 Jack",2021-02-15 17:00:12,32.215665,-111.055246
"8","BC #16 Jack",2021-02-16 00:00:13,32.205782,-111.063478
"9","BC #16 Jack",2021-02-16 12:00:14,32.214576,-111.050402
"10","BC #16 Jack",2021-02-16 18:00:15,32.214491,-111.051059
"11","BC #16 Jack",2021-02-17 07:00:09,32.207621,-111.050273
"12","BC #16 Jack",2021-02-17 13:00:12,32.21089,-111.05075
"13","BC #16 Jack",2021-02-17 19:01:01,32.211619,-111.045915
"14","BC #16 Jack",2021-02-18 02:00:25,32.206584,-111.051815
"15","BC #16 Jack",2021-02-18 08:00:12,32.212201,-111.048416
"16","BC #16 Jack",2021-02-18 14:00:10,32.215465,-111.061119
"17","BC #16 Jack",2021-02-18 20:00:10,32.211148,-111.070065
"18","BC #16 Jack",2021-02-19 03:00:12,32.206464,-111.051696
"19","BC #16 Jack",2021-02-19 15:00:13,32.213311,-111.053007
"20","BC #16 Jack",2021-02-19 21:00:13,32.21457,-111.050463
"21","BC #16 Jack",2021-02-20 04:00:09,32.209759,-111.051487
"22","BC #16 Jack",2021-02-20 16:00:12,32.213358,-111.070415
"23","BC #16 Jack",2021-02-20 22:00:12,32.206473,-111.051942
"24","BC #16 Jack",2021-02-21 05:00:13,32.20659,-111.051683
"25","BC #16 Jack",2021-02-21 17:00:16,32.212817,-111.049542
"26","BC #16 Jack",2021-02-21 23:00:25,32.208227,-111.052013
"27","BC #16 Jack",2021-02-22 06:00:16,32.207311,-111.050876
"28","BC #16 Jack",2021-02-22 12:00:15,32.209213,-111.050157
"29","BC #16 Jack",2021-02-22 18:00:09,32.204802,-111.048829
"30","BC #16 Jack",2021-02-23 00:00:08,32.206764,-111.051674
"31","BC #16 Jack",2021-02-23 13:00:12,32.214906,-111.074404
"32","BC #16 Jack",2021-02-23 19:00:09,32.207051,-111.05036
"33","BC #16 Jack",2021-02-24 08:00:16,32.210512,-111.048722
"34","BC #16 Jack",2021-02-24 14:00:11,32.214581,-111.051065
"35","BC #16 Jack",2021-02-24 20:00:11,32.213382,-111.049474
"36","BC #16 Jack",2021-02-24 23:00:48,32.20677,-111.051741
"37","BC #16 Jack",2021-02-25 02:00:16,32.206293,-111.051872
"38","BC #16 Jack",2021-02-25 09:00:16,32.211211,-111.052693
"39","BC #16 Jack",2021-02-25 21:00:10,32.21122,-111.050835
"40","BC #16 Jack",2021-02-26 10:00:09,32.211242,-111.067759
"41","BC #16 Jack",2021-02-26 22:00:10,32.210855,-111.069838
"42","BC #16 Jack",2021-02-27 23:00:24,32.213729,-111.053891
"43","BC #16 Jack",2021-02-28 12:00:10,32.216705,-111.062383
"44","BC #16 Jack",2021-03-01 00:00:10,32.220868,-111.085951
"45","BC #16 Jack",2021-03-01 13:00:14,32.211084,-111.064674
"46","BC #16 Jack",2021-03-02 01:00:14,32.214252,-111.07113
"47","BC #16 Jack",2021-03-02 14:00:07,32.210223,-111.062361
"48","BC #16 Jack",2021-03-03 15:00:10,32.212504,-111.077509
"49","BC #16 Jack",2021-03-04 03:00:43,32.211608,-111.072008
"50","BC #16 Jack",2021-03-04 16:00:13,32.206541,-111.051855
"51","BC #16 Jack",2021-03-05 04:00:10,32.215191,-111.05623
"52","BC #16 Jack",2021-03-05 17:00:08,32.216168,-111.076541
"53","BC #16 Jack",2021-03-06 05:00:09,32.221283,-111.086623
"54","BC #16 Jack",2021-03-06 18:00:09,32.209205,-111.062124
"55","BC #16 Jack",2021-03-07 06:00:10,32.207811,-111.065816
"56","BC #16 Jack",2021-03-07 19:00:09,32.215302,-111.068557
"57","BC #16 Jack",2021-03-08 07:00:11,32.219084,-111.077336
"58","BC #16 Jack",2021-03-08 20:00:07,32.213967,-111.072579
"59","BC #16 Jack",2021-03-09 08:00:23,32.213137,-111.070952
"60","BC #16 Jack",2021-03-10 22:00:17,32.220162,-111.078342
"61","BC #16 Jack",2021-03-11 07:00:38,32.221575,-111.082318
"62","BC #16 Jack",2021-03-11 10:00:16,32.223624,-111.085592
"63","BC #16 Jack",2021-03-11 23:00:10,32.215795,-111.084696
"64","BC #16 Jack",2021-03-12 11:00:17,32.216082,-111.069071
"65","BC #16 Jack",2021-03-13 12:00:08,32.216202,-111.069601
"66","BC #16 Jack",2021-03-14 01:00:24,32.21155,-111.075706
"67","BC #16 Jack",2021-03-14 13:00:11,32.213758,-111.07092
"68","BC #16 Jack",2021-03-15 14:00:07,32.206171,-111.061345
"69","BC #16 Jack",2021-03-16 03:00:16,32.223173,-111.083684
"70","BC #16 Jack",2021-03-16 15:00:13,32.209548,-111.062022
"71","BC #16 Jack",2021-03-17 04:00:10,32.218218,-111.074608
"72","BC #16 Jack",2021-03-17 16:00:08,32.210784,-111.07228
"73","BC #16 Jack",2021-03-18 11:00:38,32.215331,-111.071525
"74","BC #16 Jack",2021-03-18 17:00:09,32.208218,-111.063274
"75","BC #16 Jack",2021-03-19 06:00:12,32.21151,-111.067348
