"","individual.identifier","timestamp","location.lat","location.long"
"1","BC #30 Lisa",2022-01-18 19:00:13,32.259332,-111.083328
"2","BC #30 Lisa",2022-01-19 08:00:08,32.256615,-111.08181
"3","BC #30 Lisa",2022-01-19 21:00:24,32.253135,-111.066036
"4","BC #30 Lisa",2022-01-20 10:00:08,32.267008,-111.062733
"5","BC #30 Lisa",2022-01-20 15:00:39,32.273557,-111.069734
"6","BC #30 Lisa",2022-01-21 12:00:12,32.268595,-111.063489
"7","BC #30 Lisa",2022-01-22 14:00:08,32.256367,-111.062144
"8","BC #30 Lisa",2022-01-23 03:00:25,32.253256,-111.080008
"9","BC #30 Lisa",2022-01-23 16:00:12,32.273546,-111.073454
"10","BC #30 Lisa",2022-01-24 05:00:09,32.25533,-111.08474
"11","BC #30 Lisa",2022-01-24 18:00:11,32.261794,-111.059064
"12","BC #30 Lisa",2022-01-25 07:00:08,32.254709,-111.07168
"13","BC #30 Lisa",2022-01-26 09:00:06,32.264644,-111.07016
"14","BC #30 Lisa",2022-01-26 22:00:11,32.253715,-111.079972
"15","BC #30 Lisa",2022-01-27 11:00:06,32.269572,-111.07133
"16","BC #30 Lisa",2022-01-27 19:00:41,32.263815,-111.062513
"17","BC #30 Lisa",2022-01-28 00:00:25,32.252091,-111.075536
"18","BC #30 Lisa",2022-01-28 13:00:11,32.271196,-111.061749
"19","BC #30 Lisa",2022-01-29 02:00:08,32.259791,-111.084505
"20","BC #30 Lisa",2022-01-29 15:00:12,32.266261,-111.064475
"21","BC #30 Lisa",2022-01-30 04:00:07,32.253449,-111.065751
"22","BC #30 Lisa",2022-01-30 17:00:16,32.263127,-111.084811
"23","BC #30 Lisa",2022-01-31 06:00:09,32.255313,-111.076078
"24","BC #30 Lisa",2022-01-31 19:00:08,32.252852,-111.067608
"25","BC #30 Lisa",2022-02-01 08:00:08,32.254274,-111.075214
"26","BC #30 Lisa",2022-02-01 21:00:08,32.255425,-111.079324
"27","BC #30 Lisa",2022-02-04 01:00:17,32.259691,-111.083893
"28","BC #30 Lisa",2022-02-04 14:00:08,32.260156,-111.062363
"29","BC #30 Lisa",2022-02-05 03:00:22,32.251704,-111.076462
"30","BC #30 Lisa",2022-02-05 16:00:06,32.257562,-111.059373
"31","BC #30 Lisa",2022-02-06 05:00:22,32.271077,-111.072361
"32","BC #30 Lisa",2022-02-06 18:00:06,32.263443,-111.060332
