"","individual.identifier","timestamp","location.lat","location.long"
"1","BC #44 Luna",2022-11-13 11:00:16,32.30117,-111.062007
"2","BC #44 Luna",2022-11-14 00:00:10,32.295742,-111.068194
"3","BC #44 Luna",2022-11-14 13:00:20,32.295899,-111.067936
"4","BC #44 Luna",2022-11-15 02:00:15,32.294988,-111.081599
"5","BC #44 Luna",2022-11-15 15:00:07,32.295068,-111.07182
"6","BC #44 Luna",2022-11-16 04:00:21,32.297859,-111.070585
"7","BC #44 Luna",2022-11-16 17:00:10,32.30069,-111.071566
"8","BC #44 Luna",2022-11-17 06:00:12,32.298596,-111.077507
"9","BC #44 Luna",2022-11-17 15:02:33,32.30025,-111.076911
"10","BC #44 Luna",2022-11-17 19:00:22,32.300063,-111.076841
"11","BC #44 Luna",2022-11-17 21:00:12,32.299229,-111.076355
"12","BC #44 Luna",2022-11-17 23:00:12,32.299118,-111.076664
"13","BC #44 Luna",2022-11-18 01:00:12,32.299114,-111.076691
"14","BC #44 Luna",2022-11-18 03:00:24,32.299206,-111.076615
"15","BC #44 Luna",2022-11-18 05:00:14,32.298632,-111.076968
"16","BC #44 Luna",2022-11-18 07:00:10,32.294963,-111.081744
"17","BC #44 Luna",2022-11-18 09:00:09,32.299822,-111.076606
"18","BC #44 Luna",2022-11-18 11:00:19,32.297135,-111.082523
"19","BC #44 Luna",2022-11-18 13:00:12,32.298985,-111.07786
"20","BC #44 Luna",2022-11-18 15:00:09,32.297605,-111.073864
"21","BC #44 Luna",2022-11-18 17:00:24,32.295821,-111.07219
"22","BC #44 Luna",2022-11-18 23:00:18,32.296244,-111.072044
"23","BC #44 Luna",2022-11-19 01:00:11,32.296317,-111.071955
"24","BC #44 Luna",2022-11-19 03:00:23,32.296153,-111.072157
"25","BC #44 Luna",2022-11-19 07:00:12,32.298736,-111.071302
"26","BC #44 Luna",2022-11-19 09:00:13,32.295822,-111.072014
"27","BC #44 Luna",2022-11-19 11:00:09,32.294983,-111.072328
"28","BC #44 Luna",2022-11-19 13:00:10,32.295836,-111.07638
"29","BC #44 Luna",2022-11-19 15:00:09,32.296995,-111.077378
"30","BC #44 Luna",2022-11-19 17:00:10,32.294912,-111.071738
"31","BC #44 Luna",2022-11-19 19:00:21,32.296122,-111.072018
"32","BC #44 Luna",2022-11-19 21:00:25,32.296204,-111.072095
"33","BC #44 Luna",2022-11-19 23:00:14,32.296244,-111.072039
"34","BC #44 Luna",2022-11-21 14:00:08,32.294918,-111.063059
"35","BC #44 Luna",2022-11-22 03:00:16,32.295315,-111.078672
"36","BC #44 Luna",2022-11-22 16:00:08,32.297913,-111.07296
"37","BC #44 Luna",2022-11-23 05:00:20,32.301892,-111.065319
"38","BC #44 Luna",2022-11-23 18:00:07,32.305689,-111.062858
"39","BC #44 Luna",2022-11-24 07:00:22,32.298684,-111.071282
"40","BC #44 Luna",2022-11-24 19:00:48,32.300604,-111.0716
"41","BC #44 Luna",2022-11-24 20:00:18,32.29995,-111.071159
"42","BC #44 Luna",2022-11-25 09:00:12,32.292104,-111.063053
"43","BC #44 Luna",2022-11-25 11:00:20,32.291636,-111.068982
"44","BC #44 Luna",2022-11-25 13:00:13,32.292267,-111.075372
"45","BC #44 Luna",2022-11-25 15:00:13,32.292595,-111.067537
"46","BC #44 Luna",2022-11-25 17:00:09,32.29262,-111.067335
"47","BC #44 Luna",2022-11-25 19:00:09,32.292597,-111.067565
"48","BC #44 Luna",2022-11-25 21:00:25,32.29169,-111.071626
"49","BC #44 Luna",2022-11-25 23:00:14,32.292531,-111.067918
"50","BC #44 Luna",2022-11-26 01:00:19,32.292524,-111.067094
"51","BC #44 Luna",2022-11-26 03:00:13,32.292617,-111.06711
"52","BC #44 Luna",2022-11-26 05:00:11,32.292594,-111.06788
"53","BC #44 Luna",2022-11-26 07:00:15,32.2903,-111.071607
"54","BC #44 Luna",2022-11-26 09:00:18,32.292945,-111.07791
"55","BC #44 Luna",2022-11-26 11:00:14,32.297711,-111.080078
"56","BC #44 Luna",2022-11-26 13:00:10,32.296628,-111.07229
"57","BC #44 Luna",2022-11-26 15:00:09,32.292557,-111.067597
"58","BC #44 Luna",2022-11-26 17:00:10,32.296529,-111.077717
"59","BC #44 Luna",2022-11-26 19:00:10,32.294653,-111.069936
"60","BC #44 Luna",2022-11-26 21:00:09,32.292452,-111.067937
"61","BC #44 Luna",2022-11-26 23:00:10,32.292656,-111.067518
"62","BC #44 Luna",2022-11-27 01:00:12,32.292291,-111.066651
"63","BC #44 Luna",2022-11-27 03:00:15,32.292716,-111.06754
"64","BC #44 Luna",2022-11-27 05:00:25,32.2926,-111.067416
"65","BC #44 Luna",2022-11-27 07:00:14,32.29039,-111.071669
"66","BC #44 Luna",2022-11-27 09:00:11,32.290914,-111.071097
"67","BC #44 Luna",2022-11-27 11:00:17,32.292623,-111.06762
"68","BC #44 Luna",2022-11-28 02:00:13,32.292582,-111.067945
"69","BC #44 Luna",2022-11-28 15:00:15,32.292309,-111.066608
"70","BC #44 Luna",2022-11-29 17:00:18,32.298408,-111.071315
"71","BC #44 Luna",2022-11-30 06:00:25,32.295942,-111.067984
"72","BC #44 Luna",2022-11-30 19:00:11,32.292263,-111.066484
"73","BC #44 Luna",2022-12-01 08:00:11,32.292846,-111.067278
"74","BC #44 Luna",2022-12-01 21:00:21,32.298045,-111.076367
"75","BC #44 Luna",2022-12-01 23:01:00,32.297289,-111.076761
"76","BC #44 Luna",2022-12-02 10:00:11,32.296538,-111.072311
"77","BC #44 Luna",2022-12-02 23:00:19,32.29232,-111.066488
"78","BC #44 Luna",2022-12-03 01:00:10,32.292345,-111.066641
"79","BC #44 Luna",2022-12-03 05:00:13,32.294085,-111.067367
"80","BC #44 Luna",2022-12-03 07:00:14,32.300313,-111.071196
"81","BC #44 Luna",2022-12-03 09:00:11,32.301373,-111.074629
"82","BC #44 Luna",2022-12-03 11:00:09,32.295575,-111.077848
"83","BC #44 Luna",2022-12-03 13:00:10,32.298871,-111.074454
"84","BC #44 Luna",2022-12-03 15:00:11,32.300264,-111.070844
"85","BC #44 Luna",2022-12-03 17:00:11,32.300811,-111.071397
"86","BC #44 Luna",2022-12-03 19:00:12,32.301807,-111.064446
"87","BC #44 Luna",2022-12-03 21:00:13,32.301853,-111.064507
"88","BC #44 Luna",2022-12-03 23:00:11,32.301765,-111.064535
"89","BC #44 Luna",2022-12-04 01:00:26,32.301848,-111.064495
"90","BC #44 Luna",2022-12-04 05:00:16,32.304912,-111.064479
"91","BC #44 Luna",2022-12-04 07:00:12,32.299286,-111.068759
"92","BC #44 Luna",2022-12-04 09:00:18,32.301986,-111.06464
"93","BC #44 Luna",2022-12-04 15:00:08,32.302563,-111.060246
"94","BC #44 Luna",2022-12-04 17:00:07,32.300438,-111.05934
"95","BC #44 Luna",2022-12-04 19:00:07,32.302124,-111.066552
"96","BC #44 Luna",2022-12-04 21:00:09,32.305162,-111.064824
"97","BC #44 Luna",2022-12-05 01:00:22,32.302062,-111.064648
"98","BC #44 Luna",2022-12-05 03:00:25,32.301888,-111.064498
"99","BC #44 Luna",2022-12-05 16:00:08,32.302206,-111.065215
"100","BC #44 Luna",2022-12-06 05:00:18,32.300334,-111.07139
"101","BC #44 Luna",2022-12-06 18:00:09,32.300088,-111.072827
"102","BC #44 Luna",2022-12-07 07:00:25,32.295719,-111.068103
"103","BC #44 Luna",2022-12-07 20:00:10,32.292304,-111.066618
"104","BC #44 Luna",2022-12-08 09:00:12,32.298624,-111.077549
"105","BC #44 Luna",2022-12-08 22:00:12,32.299215,-111.076199
"106","BC #44 Luna",2022-12-09 03:01:45,32.300025,-111.076825
"107","BC #44 Luna",2022-12-09 11:00:13,32.303792,-111.073824
"108","BC #44 Luna",2022-12-10 00:00:24,32.298221,-111.071292
"109","BC #44 Luna",2022-12-10 13:00:08,32.303594,-111.060325
"110","BC #44 Luna",2022-12-10 15:00:11,32.298622,-111.061057
"111","BC #44 Luna",2022-12-10 17:00:18,32.299498,-111.071115
"112","BC #44 Luna",2022-12-10 19:00:13,32.303969,-111.066305
"113","BC #44 Luna",2022-12-10 21:00:14,32.30277,-111.063841
"114","BC #44 Luna",2022-12-10 23:00:17,32.302047,-111.064371
"115","BC #44 Luna",2022-12-11 01:00:12,32.301952,-111.064283
"116","BC #44 Luna",2022-12-11 05:00:11,32.300105,-111.068784
"117","BC #44 Luna",2022-12-11 07:00:16,32.298567,-111.072044
"118","BC #44 Luna",2022-12-11 09:00:10,32.296799,-111.075049
"119","BC #44 Luna",2022-12-11 11:00:19,32.297436,-111.072702
