"","individual.identifier","timestamp","location.lat","location.long"
"1","BC #12 Margaret",2020-12-17 01:00:06,32.216202,-111.016662
"2","BC #12 Margaret",2020-12-17 14:00:00,32.215034,-111.004672
"3","BC #12 Margaret",2020-12-18 02:00:02,32.221113,-111.006799
"4","BC #12 Margaret",2020-12-19 03:00:09,32.214257,-111.007974
"5","BC #12 Margaret",2020-12-19 16:00:04,32.211106,-110.992296
"6","BC #12 Margaret",2020-12-21 05:00:06,32.217069,-111.002981
"7","BC #12 Margaret",2020-12-21 18:00:03,32.226221,-111.007509
"8","BC #12 Margaret",2020-12-22 11:00:37,32.219194,-111.004288
"9","BC #12 Margaret",2020-12-22 19:00:10,32.220036,-111.003238
"10","BC #12 Margaret",2020-12-23 07:00:06,32.21701,-111.004675
"11","BC #12 Margaret",2020-12-23 20:00:11,32.209017,-111.004361
"12","BC #12 Margaret",2020-12-24 08:00:09,32.212618,-111.001607
"13","BC #12 Margaret",2020-12-25 09:00:09,32.210173,-110.991833
"14","BC #12 Margaret",2020-12-25 22:00:07,32.22174,-111.014153
"15","BC #12 Margaret",2020-12-26 10:00:09,32.216312,-111.010444
"16","BC #12 Margaret",2020-12-27 11:00:07,32.217167,-111.004456
"17","BC #12 Margaret",2020-12-28 00:00:06,32.208897,-111.003292
"18","BC #12 Margaret",2020-12-28 12:00:17,32.219771,-111.01556
"19","BC #12 Margaret",2020-12-29 01:00:10,32.215337,-111.005109
"20","BC #12 Margaret",2020-12-29 13:00:24,32.224732,-111.015871
"21","BC #12 Margaret",2020-12-29 15:01:01,32.223828,-111.011401
"22","BC #12 Margaret",2020-12-30 14:00:24,32.215335,-111.004782
"23","BC #12 Margaret",2020-12-31 03:00:10,32.217481,-111.018955
"24","BC #12 Margaret",2020-12-31 15:00:15,32.211228,-111.013374
"25","BC #12 Margaret",2021-01-01 04:00:13,32.219319,-111.010402
"26","BC #12 Margaret",2021-01-01 16:00:23,32.216069,-111.014493
"27","BC #12 Margaret",2021-01-02 05:00:23,32.229218,-111.020787
"28","BC #12 Margaret",2021-01-02 17:00:07,32.220656,-111.005922
"29","BC #12 Margaret",2021-01-03 06:00:07,32.224352,-111.000734
"30","BC #12 Margaret",2021-01-03 18:00:10,32.219281,-111.004854
"31","BC #12 Margaret",2021-01-04 07:00:09,32.209778,-110.988452
"32","BC #12 Margaret",2021-01-04 19:00:07,32.216828,-111.014924
"33","BC #12 Margaret",2021-01-05 08:00:15,32.214758,-111.017812
"34","BC #12 Margaret",2021-01-05 19:01:00,32.220063,-111.001756
