"","individual.identifier","timestamp","location.lat","location.long"
"1","BC #52 Michele",2023-01-31 08:00:06,32.299017,-111.041002
"2","BC #52 Michele",2023-01-31 21:00:07,32.30466,-111.048203
"3","BC #52 Michele",2023-02-01 05:00:08,32.293677,-111.037568
"4","BC #52 Michele",2023-02-01 07:00:09,32.293634,-111.037653
"5","BC #52 Michele",2023-02-01 09:00:08,32.293773,-111.037429
"6","BC #52 Michele",2023-02-01 11:00:12,32.293761,-111.037479
"7","BC #52 Michele",2023-02-01 13:00:08,32.293768,-111.037402
"8","BC #52 Michele",2023-02-01 15:00:09,32.29376,-111.037418
"9","BC #52 Michele",2023-02-01 17:00:14,32.293783,-111.037432
"10","BC #52 Michele",2023-02-01 23:00:08,32.293765,-111.037483
"11","BC #52 Michele",2023-02-02 01:00:09,32.293825,-111.037433
"12","BC #52 Michele",2023-02-02 05:00:13,32.293795,-111.037484
"13","BC #52 Michele",2023-02-02 07:00:25,32.293795,-111.037441
"14","BC #52 Michele",2023-02-02 09:00:12,32.300006,-111.045226
"15","BC #52 Michele",2023-02-02 11:00:10,32.313962,-111.054566
"16","BC #52 Michele",2023-02-02 13:00:08,32.325359,-111.064398
"17","BC #52 Michele",2023-02-02 21:00:08,32.326153,-111.067941
"18","BC #52 Michele",2023-02-02 23:00:07,32.325169,-111.068341
"19","BC #52 Michele",2023-02-03 01:00:13,32.321004,-111.055574
"20","BC #52 Michele",2023-02-03 03:00:12,32.321035,-111.054313
"21","BC #52 Michele",2023-02-03 05:00:17,32.321227,-111.054568
"22","BC #52 Michele",2023-02-03 07:00:07,32.320123,-111.060497
"23","BC #52 Michele",2023-02-03 09:00:08,32.324719,-111.068919
"24","BC #52 Michele",2023-02-03 11:00:11,32.327181,-111.06687
"25","BC #52 Michele",2023-02-03 15:00:12,32.312949,-111.053371
"26","BC #52 Michele",2023-02-03 17:00:13,32.312852,-111.053213
"27","BC #52 Michele",2023-02-03 19:00:05,32.313194,-111.053538
"28","BC #52 Michele",2023-02-03 21:00:13,32.310731,-111.052631
"29","BC #52 Michele",2023-02-03 23:00:13,32.311466,-111.052736
"30","BC #52 Michele",2023-02-04 01:00:07,32.310482,-111.064363
"31","BC #52 Michele",2023-02-04 03:00:16,32.316647,-111.074024
"32","BC #52 Michele",2023-02-04 05:00:09,32.32505,-111.068152
"33","BC #52 Michele",2023-02-04 07:00:08,32.325087,-111.066061
"34","BC #52 Michele",2023-02-04 09:00:13,32.320668,-111.056377
"35","BC #52 Michele",2023-02-04 11:01:40,32.321278,-111.054166
