"","individual.identifier","timestamp","location.lat","location.long"
"1","BC #11 Minnie",2020-12-15 07:01:20,32.21399,-111.047536
"2","BC #11 Minnie",2020-12-15 12:00:08,32.207693,-111.050742
"3","BC #11 Minnie",2020-12-15 18:00:09,32.215541,-111.04866
"4","BC #11 Minnie",2020-12-16 00:00:10,32.215693,-111.048829
"5","BC #11 Minnie",2020-12-16 06:00:08,32.212483,-111.04769
"6","BC #11 Minnie",2020-12-16 13:00:17,32.207892,-111.040204
"7","BC #11 Minnie",2020-12-16 19:00:09,32.208405,-111.037949
"8","BC #11 Minnie",2020-12-17 01:00:06,32.20565,-111.036148
"9","BC #11 Minnie",2020-12-17 07:00:14,32.208216,-111.039762
"10","BC #11 Minnie",2020-12-17 14:00:13,32.20774,-111.040309
"11","BC #11 Minnie",2020-12-17 20:00:09,32.206833,-111.042716
"12","BC #11 Minnie",2020-12-18 02:00:19,32.206318,-111.048668
"13","BC #11 Minnie",2020-12-18 08:00:06,32.213339,-111.047448
"14","BC #11 Minnie",2020-12-18 15:00:13,32.214544,-111.049871
"15","BC #11 Minnie",2020-12-18 21:00:13,32.215541,-111.048713
"16","BC #11 Minnie",2020-12-19 09:00:08,32.209356,-111.049489
"17","BC #11 Minnie",2020-12-20 04:00:10,32.206452,-111.039072
"18","BC #11 Minnie",2020-12-20 10:00:10,32.212306,-111.043606
"19","BC #11 Minnie",2020-12-20 17:00:08,32.214651,-111.046052
"20","BC #11 Minnie",2020-12-21 05:00:10,32.212685,-111.044793
"21","BC #11 Minnie",2020-12-21 18:00:08,32.208716,-111.049014
"22","BC #11 Minnie",2020-12-22 06:00:09,32.208642,-111.04663
"23","BC #11 Minnie",2020-12-22 11:01:36,32.207767,-111.040315
"24","BC #11 Minnie",2020-12-22 19:00:11,32.215553,-111.048582
"25","BC #11 Minnie",2020-12-23 07:00:11,32.210176,-111.045764
"26","BC #11 Minnie",2020-12-23 20:00:08,32.210143,-111.048573
"27","BC #11 Minnie",2020-12-24 08:00:18,32.21436,-111.047163
"28","BC #11 Minnie",2020-12-24 21:00:16,32.205711,-111.036189
"29","BC #11 Minnie",2020-12-25 09:00:11,32.21105,-111.047401
"30","BC #11 Minnie",2020-12-25 22:00:10,32.216006,-111.048782
"31","BC #11 Minnie",2020-12-26 10:00:16,32.210007,-111.046416
"32","BC #11 Minnie",2020-12-27 11:00:11,32.207803,-111.050752
"33","BC #11 Minnie",2020-12-28 00:00:12,32.212538,-111.047133
"34","BC #11 Minnie",2020-12-28 12:00:11,32.205616,-111.036821
"35","BC #11 Minnie",2020-12-29 01:00:06,32.207669,-111.050217
"36","BC #11 Minnie",2020-12-29 15:00:51,32.21414,-111.049488
"37","BC #11 Minnie",2020-12-30 02:00:14,32.20799,-111.047057
"38","BC #11 Minnie",2020-12-30 14:00:26,32.209847,-111.042943
"39","BC #11 Minnie",2020-12-31 03:00:20,32.204775,-111.036914
"40","BC #11 Minnie",2020-12-31 15:00:14,32.215567,-111.048688
"41","BC #11 Minnie",2021-01-01 04:00:14,32.213684,-111.048429
"42","BC #11 Minnie",2021-01-01 16:00:12,32.206598,-111.039571
"43","BC #11 Minnie",2021-01-02 05:00:08,32.21026,-111.049595
"44","BC #11 Minnie",2021-01-02 17:00:11,32.215576,-111.048591
"45","BC #11 Minnie",2021-01-03 06:00:11,32.215586,-111.048697
"46","BC #11 Minnie",2021-01-03 18:00:09,32.212786,-111.047662
"47","BC #11 Minnie",2021-01-04 07:00:15,32.210838,-111.041785
"48","BC #11 Minnie",2021-01-04 19:00:10,32.211047,-111.047297
"49","BC #11 Minnie",2021-01-05 08:00:08,32.214034,-111.047194
"50","BC #11 Minnie",2021-01-05 19:01:30,32.21105,-111.047375
"51","BC #11 Minnie",2021-01-05 20:00:04,32.211058,-111.047295
"52","BC #11 Minnie",2021-01-06 09:00:07,32.210574,-111.041166
"53","BC #11 Minnie",2021-01-06 21:00:25,32.205786,-111.036063
"54","BC #11 Minnie",2021-01-07 10:00:13,32.209412,-111.049648
"55","BC #11 Minnie",2021-01-08 11:00:13,32.207433,-111.038121
"56","BC #11 Minnie",2021-01-08 23:00:24,32.210983,-111.047299
"57","BC #11 Minnie",2021-01-09 12:00:25,32.213015,-111.043296
"58","BC #11 Minnie",2021-01-10 13:00:16,32.21162,-111.048425
"59","BC #11 Minnie",2021-01-11 01:00:06,32.214994,-111.049767
"60","BC #11 Minnie",2021-01-11 14:00:14,32.207004,-111.042905
"61","BC #11 Minnie",2021-01-12 02:00:14,32.214027,-111.046018
"62","BC #11 Minnie",2021-01-12 15:00:11,32.21203,-111.046722
"63","BC #11 Minnie",2021-01-12 23:00:37,32.212188,-111.044886
"64","BC #11 Minnie",2021-01-13 03:00:08,32.211006,-111.047273
"65","BC #11 Minnie",2021-01-13 16:00:09,32.209712,-111.049679
"66","BC #11 Minnie",2021-01-14 04:00:22,32.214923,-111.049993
"67","BC #11 Minnie",2021-01-14 17:00:09,32.214341,-111.044787
"68","BC #11 Minnie",2021-01-15 05:00:08,32.214143,-111.052228
"69","BC #11 Minnie",2021-01-15 18:00:09,32.212753,-111.048464
"70","BC #11 Minnie",2021-01-16 19:00:10,32.214197,-111.046583
"71","BC #11 Minnie",2021-01-17 07:00:15,32.209362,-111.047083
"72","BC #11 Minnie",2021-01-18 08:00:09,32.212324,-111.048802
"73","BC #11 Minnie",2021-01-19 09:00:07,32.207932,-111.049791
"74","BC #11 Minnie",2021-01-19 22:00:16,32.205939,-111.036222
"75","BC #11 Minnie",2021-01-20 03:00:40,32.205761,-111.036152
"76","BC #11 Minnie",2021-01-20 10:00:08,32.20624,-111.038386
"77","BC #11 Minnie",2021-01-20 23:00:13,32.208378,-111.049516
"78","BC #11 Minnie",2021-01-22 00:00:24,32.206789,-111.048697
"79","BC #11 Minnie",2021-01-23 01:00:21,32.215527,-111.048642
"80","BC #11 Minnie",2021-01-23 13:00:16,32.214155,-111.046611
"81","BC #11 Minnie",2021-01-24 14:00:13,32.207251,-111.039241
"82","BC #11 Minnie",2021-01-25 03:00:10,32.209005,-111.049319
"83","BC #11 Minnie",2021-01-25 15:00:09,32.207721,-111.047122
"84","BC #11 Minnie",2021-01-26 16:00:23,32.211955,-111.0448
"85","BC #11 Minnie",2021-01-27 05:00:06,32.214841,-111.050185
"86","BC #11 Minnie",2021-01-27 07:00:37,32.212284,-111.047117
"87","BC #11 Minnie",2021-01-27 17:00:15,32.214458,-111.049971
"88","BC #11 Minnie",2021-01-28 06:00:08,32.210277,-111.047373
"89","BC #11 Minnie",2021-01-28 18:00:10,32.207524,-111.045436
"90","BC #11 Minnie",2021-01-29 07:00:09,32.20775,-111.047043
"91","BC #11 Minnie",2021-01-29 19:00:11,32.205743,-111.03798
"92","BC #11 Minnie",2021-01-30 08:00:08,32.212943,-111.048137
"93","BC #11 Minnie",2021-01-30 20:00:08,32.212265,-111.047719
"94","BC #11 Minnie",2021-01-31 09:00:07,32.207114,-111.042919
"95","BC #11 Minnie",2021-01-31 21:00:21,32.218133,-111.054653
"96","BC #11 Minnie",2021-02-01 10:00:09,32.209062,-111.047385
"97","BC #11 Minnie",2021-02-01 22:00:10,32.208848,-111.044135
"98","BC #11 Minnie",2021-02-02 11:00:11,32.212366,-111.047693
"99","BC #11 Minnie",2021-02-03 11:01:11,32.212123,-111.046774
"100","BC #11 Minnie",2021-02-03 12:00:11,32.214045,-111.047396
"101","BC #11 Minnie",2021-02-04 00:00:14,32.208551,-111.044172
"102","BC #11 Minnie",2021-02-04 13:00:14,32.21084,-111.044423
"103","BC #11 Minnie",2021-02-05 01:00:09,32.206815,-111.047675
"104","BC #11 Minnie",2021-02-05 14:00:08,32.209211,-111.047184
"105","BC #11 Minnie",2021-02-06 02:00:12,32.207469,-111.046646
"106","BC #11 Minnie",2021-02-06 15:00:08,32.214398,-111.049622
"107","BC #11 Minnie",2021-02-08 04:00:17,32.204804,-111.038077
"108","BC #11 Minnie",2021-02-08 17:00:09,32.208247,-111.044522
"109","BC #11 Minnie",2021-02-09 05:00:10,32.209929,-111.049605
"110","BC #11 Minnie",2021-02-09 18:00:18,32.210607,-111.046133
"111","BC #11 Minnie",2021-02-10 06:00:14,32.21293,-111.0503
"112","BC #11 Minnie",2021-02-10 15:00:37,32.208754,-111.047729
"113","BC #11 Minnie",2021-02-10 19:00:08,32.206041,-111.044795
"114","BC #11 Minnie",2021-02-11 07:00:24,32.205727,-111.037115
"115","BC #11 Minnie",2021-02-11 20:00:21,32.205007,-111.037177
"116","BC #11 Minnie",2021-02-12 08:00:11,32.204598,-111.037207
"117","BC #11 Minnie",2021-02-12 21:00:08,32.215568,-111.048698
"118","BC #11 Minnie",2021-02-13 09:00:18,32.206958,-111.046675
"119","BC #11 Minnie",2021-02-13 22:00:24,32.206692,-111.048677
"120","BC #11 Minnie",2021-02-14 10:00:12,32.209696,-111.04847
"121","BC #11 Minnie",2021-02-14 23:00:11,32.212387,-111.046245
"122","BC #11 Minnie",2021-02-16 00:00:15,32.205769,-111.036145
"123","BC #11 Minnie",2021-02-16 12:00:15,32.208121,-111.040443
"124","BC #11 Minnie",2021-02-17 01:00:14,32.206836,-111.047696
"125","BC #11 Minnie",2021-02-17 13:00:10,32.214203,-111.049942
"126","BC #11 Minnie",2021-02-17 19:02:18,32.208733,-111.044446
"127","BC #11 Minnie",2021-02-18 02:00:09,32.206932,-111.04745
"128","BC #11 Minnie",2021-02-18 14:00:10,32.205457,-111.037943
"129","BC #11 Minnie",2021-02-19 03:00:10,32.215431,-111.048521
"130","BC #11 Minnie",2021-02-19 15:00:08,32.20826,-111.045848
"131","BC #11 Minnie",2021-02-20 16:00:08,32.206067,-111.04478
"132","BC #11 Minnie",2021-02-21 05:00:11,32.205745,-111.03623
"133","BC #11 Minnie",2021-02-21 17:00:09,32.208366,-111.046904
"134","BC #11 Minnie",2021-02-22 06:00:13,32.217462,-111.053969
"135","BC #11 Minnie",2021-02-22 18:00:08,32.213824,-111.047926
