"","individual.identifier","timestamp","location.lat","location.long"
"1","BC #56 Nala",2023-12-08 06:00:09,32.327191,-111.073039
"2","BC #56 Nala",2023-12-08 21:00:07,32.363959,-111.10308
"3","BC #56 Nala",2023-12-08 23:00:11,32.359663,-111.101116
"4","BC #56 Nala",2023-12-09 01:00:15,32.359664,-111.101141
"5","BC #56 Nala",2023-12-09 03:00:16,32.359584,-111.101203
"6","BC #56 Nala",2023-12-09 05:00:12,32.358841,-111.101285
"7","BC #56 Nala",2023-12-09 07:00:09,32.35864,-111.10157
"8","BC #56 Nala",2023-12-09 09:00:10,32.355454,-111.097836
"9","BC #56 Nala",2023-12-09 11:00:10,32.356588,-111.099205
"10","BC #56 Nala",2023-12-09 13:00:22,32.354723,-111.096616
"11","BC #56 Nala",2023-12-09 15:00:37,32.357284,-111.096395
"12","BC #56 Nala",2023-12-09 17:00:11,32.360668,-111.102059
"13","BC #56 Nala",2023-12-09 19:00:10,32.360609,-111.102343
"14","BC #56 Nala",2023-12-09 21:00:23,32.366221,-111.109709
"15","BC #56 Nala",2023-12-09 23:00:09,32.373419,-111.112487
"16","BC #56 Nala",2023-12-10 01:00:20,32.377755,-111.114895
"17","BC #56 Nala",2023-12-10 03:00:18,32.378172,-111.114938
"18","BC #56 Nala",2023-12-10 05:00:08,32.377144,-111.113309
"19","BC #56 Nala",2023-12-10 07:00:09,32.379209,-111.113386
"20","BC #56 Nala",2023-12-10 11:00:26,32.378095,-111.115028
"21","BC #56 Nala",2023-12-10 19:00:14,32.374286,-111.113847
"22","BC #56 Nala",2023-12-10 21:00:14,32.377331,-111.114508
"23","BC #56 Nala",2023-12-10 23:00:07,32.375659,-111.114247
"24","BC #56 Nala",2023-12-11 01:00:25,32.370835,-111.111728
"25","BC #56 Nala",2023-12-11 03:00:09,32.369567,-111.11102
"26","BC #56 Nala",2023-12-11 05:00:10,32.370847,-111.111612
"27","BC #56 Nala",2023-12-11 07:00:12,32.373212,-111.113457
"28","BC #56 Nala",2023-12-11 09:00:09,32.375079,-111.114126
"29","BC #56 Nala",2023-12-11 11:00:09,32.371885,-111.114833
"30","BC #56 Nala",2023-12-11 13:00:08,32.371956,-111.114853
"31","BC #56 Nala",2023-12-11 15:00:08,32.371881,-111.114911
"32","BC #56 Nala",2023-12-11 21:00:09,32.371865,-111.114925
"33","BC #56 Nala",2023-12-11 23:00:09,32.373917,-111.113658
"34","BC #56 Nala",2023-12-12 01:00:11,32.372295,-111.114521
"35","BC #56 Nala",2023-12-12 05:00:11,32.377678,-111.114885
"36","BC #56 Nala",2023-12-12 07:00:09,32.378147,-111.115013
"37","BC #56 Nala",2023-12-12 09:00:11,32.374296,-111.113667
"38","BC #56 Nala",2023-12-12 11:00:14,32.37241,-111.112143
"39","BC #56 Nala",2023-12-12 13:00:08,32.373839,-111.111463
"40","BC #56 Nala",2023-12-12 15:00:13,32.373766,-111.111547
"41","BC #56 Nala",2023-12-12 17:00:09,32.373805,-111.111479
"42","BC #56 Nala",2023-12-12 21:00:17,32.370362,-111.107597
"43","BC #56 Nala",2023-12-12 23:00:09,32.370342,-111.107493
"44","BC #56 Nala",2023-12-13 03:00:09,32.371159,-111.107967
"45","BC #56 Nala",2023-12-13 05:00:09,32.365183,-111.109322
"46","BC #56 Nala",2023-12-13 07:00:10,32.362822,-111.107961
"47","BC #56 Nala",2023-12-13 09:00:08,32.363127,-111.104263
"48","BC #56 Nala",2023-12-13 11:00:13,32.363703,-111.10294
"49","BC #56 Nala",2023-12-13 13:00:11,32.366385,-111.105714
"50","BC #56 Nala",2023-12-13 15:00:09,32.363191,-111.103058
"51","BC #56 Nala",2023-12-13 17:00:10,32.363249,-111.103121
"52","BC #56 Nala",2023-12-13 19:00:11,32.358565,-111.102735
"53","BC #56 Nala",2023-12-13 21:00:16,32.356007,-111.101216
"54","BC #56 Nala",2023-12-13 23:00:09,32.35672,-111.102953
"55","BC #56 Nala",2023-12-14 03:00:13,32.357863,-111.103723
"56","BC #56 Nala",2023-12-14 05:00:08,32.360383,-111.107172
"57","BC #56 Nala",2023-12-14 07:00:08,32.352969,-111.099475
"58","BC #56 Nala",2023-12-14 09:00:10,32.35694,-111.103184
"59","BC #56 Nala",2023-12-14 11:00:08,32.352968,-111.099316
"60","BC #56 Nala",2023-12-14 13:00:24,32.357205,-111.099056
"61","BC #56 Nala",2023-12-14 15:00:11,32.361432,-111.101128
"62","BC #56 Nala",2023-12-14 17:00:10,32.360292,-111.106787
"63","BC #56 Nala",2023-12-14 19:00:25,32.360238,-111.10695
"64","BC #56 Nala",2023-12-14 21:00:06,32.367534,-111.111569
"65","BC #56 Nala",2023-12-14 23:00:07,32.366632,-111.111038
"66","BC #56 Nala",2023-12-15 01:00:11,32.365545,-111.109577
"67","BC #56 Nala",2023-12-15 03:00:07,32.36218,-111.108661
"68","BC #56 Nala",2023-12-15 05:00:07,32.356403,-111.103994
"69","BC #56 Nala",2023-12-15 07:00:08,32.356159,-111.10232
"70","BC #56 Nala",2023-12-15 09:00:08,32.362286,-111.107817
"71","BC #56 Nala",2023-12-15 13:00:08,32.365789,-111.106262
"72","BC #56 Nala",2023-12-15 19:00:06,32.366055,-111.106044
"73","BC #56 Nala",2023-12-15 21:00:13,32.373821,-111.10962
"74","BC #56 Nala",2023-12-15 23:00:08,32.369331,-111.112015
"75","BC #56 Nala",2023-12-16 01:00:16,32.368806,-111.111798
"76","BC #56 Nala",2023-12-16 03:00:11,32.368841,-111.11175
"77","BC #56 Nala",2023-12-16 05:00:11,32.368768,-111.111757
"78","BC #56 Nala",2023-12-16 07:00:09,32.378273,-111.115985
"79","BC #56 Nala",2023-12-16 09:00:08,32.375817,-111.112594
"80","BC #56 Nala",2023-12-16 11:00:07,32.366059,-111.105988
"81","BC #56 Nala",2023-12-16 13:00:16,32.36728,-111.10554
"82","BC #56 Nala",2023-12-16 15:00:08,32.356485,-111.100849
"83","BC #56 Nala",2023-12-16 17:00:07,32.360693,-111.101332
"84","BC #56 Nala",2023-12-16 19:00:50,32.367584,-111.105482
"85","BC #56 Nala",2023-12-16 21:00:17,32.365348,-111.109694
"86","BC #56 Nala",2023-12-16 23:00:11,32.364591,-111.109
"87","BC #56 Nala",2023-12-17 03:00:25,32.36458,-111.108903
"88","BC #56 Nala",2023-12-17 05:00:14,32.364572,-111.108895
"89","BC #56 Nala",2023-12-17 07:00:10,32.364643,-111.109037
"90","BC #56 Nala",2023-12-17 09:00:08,32.364724,-111.108892
"91","BC #56 Nala",2023-12-17 11:00:10,32.365337,-111.105587
"92","BC #56 Nala",2023-12-17 13:00:20,32.365256,-111.109275
"93","BC #56 Nala",2023-12-17 15:00:08,32.365214,-111.109275
"94","BC #56 Nala",2023-12-17 17:00:14,32.364798,-111.109012
"95","BC #56 Nala",2023-12-17 19:00:09,32.363252,-111.101639
"96","BC #56 Nala",2023-12-17 21:00:12,32.360077,-111.10292
"97","BC #56 Nala",2023-12-17 23:00:08,32.358415,-111.100384
"98","BC #56 Nala",2023-12-18 01:00:15,32.358443,-111.100293
"99","BC #56 Nala",2023-12-18 03:00:10,32.35843,-111.100236
"100","BC #56 Nala",2023-12-18 05:00:09,32.359581,-111.101059
"101","BC #56 Nala",2023-12-18 07:00:09,32.358045,-111.101689
"102","BC #56 Nala",2023-12-18 09:00:09,32.354913,-111.099092
"103","BC #56 Nala",2023-12-18 11:00:11,32.356832,-111.102964
"104","BC #56 Nala",2023-12-18 13:00:12,32.359617,-111.102284
"105","BC #56 Nala",2023-12-18 15:00:07,32.354887,-111.099083
"106","BC #56 Nala",2023-12-18 17:00:11,32.356606,-111.097661
"107","BC #56 Nala",2023-12-18 19:00:12,32.366453,-111.105751
"108","BC #56 Nala",2023-12-18 21:00:10,32.364338,-111.099133
"109","BC #56 Nala",2023-12-18 23:00:06,32.359698,-111.101163
"110","BC #56 Nala",2023-12-19 01:00:18,32.359672,-111.101076
"111","BC #56 Nala",2023-12-19 03:00:22,32.359727,-111.10113
"112","BC #56 Nala",2023-12-19 05:00:07,32.359757,-111.101251
"113","BC #56 Nala",2023-12-19 07:00:08,32.355583,-111.100298
"114","BC #56 Nala",2023-12-19 09:00:09,32.358713,-111.104647
"115","BC #56 Nala",2023-12-19 11:00:12,32.364925,-111.105976
"116","BC #56 Nala",2023-12-19 13:00:25,32.363057,-111.103014
"117","BC #56 Nala",2023-12-19 15:00:07,32.364412,-111.105058
"118","BC #56 Nala",2023-12-19 17:00:11,32.36451,-111.111021
"119","BC #56 Nala",2023-12-19 19:00:09,32.355694,-111.100066
"120","BC #56 Nala",2023-12-19 21:00:10,32.353975,-111.095418
"121","BC #56 Nala",2023-12-19 23:00:18,32.358627,-111.100277
"122","BC #56 Nala",2023-12-20 01:00:18,32.357984,-111.104114
"123","BC #56 Nala",2023-12-20 03:00:11,32.361127,-111.106888
"124","BC #56 Nala",2023-12-20 05:00:07,32.363369,-111.10765
"125","BC #56 Nala",2023-12-20 07:00:06,32.36317,-111.108331
"126","BC #56 Nala",2023-12-20 09:00:12,32.359149,-111.107159
"127","BC #56 Nala",2023-12-20 11:00:09,32.35925,-111.105461
"128","BC #56 Nala",2023-12-20 15:00:09,32.341934,-111.092182
"129","BC #56 Nala",2023-12-20 17:00:10,32.328085,-111.080738
"130","BC #56 Nala",2023-12-20 19:00:06,32.326302,-111.073342
"131","BC #56 Nala",2023-12-20 21:00:07,32.317448,-111.057699
"132","BC #56 Nala",2023-12-21 01:00:24,32.328082,-111.07293
"133","BC #56 Nala",2023-12-21 03:00:11,32.328114,-111.072908
"134","BC #56 Nala",2023-12-21 05:00:07,32.328262,-111.073405
"135","BC #56 Nala",2023-12-21 07:00:08,32.337284,-111.082103
"136","BC #56 Nala",2023-12-21 09:00:12,32.344539,-111.089356
"137","BC #56 Nala",2023-12-21 11:00:09,32.354914,-111.101042
"138","BC #56 Nala",2023-12-21 13:00:11,32.356098,-111.10226
"139","BC #56 Nala",2023-12-21 15:00:13,32.356259,-111.102504
"140","BC #56 Nala",2023-12-21 17:00:08,32.363077,-111.110429
"141","BC #56 Nala",2023-12-21 19:00:06,32.380861,-111.115778
"142","BC #56 Nala",2023-12-21 21:00:07,32.362584,-111.107751
"143","BC #56 Nala",2023-12-21 23:00:08,32.358979,-111.105364
"144","BC #56 Nala",2023-12-22 01:00:11,32.358203,-111.104508
"145","BC #56 Nala",2023-12-22 07:00:09,32.353285,-111.100181
"146","BC #56 Nala",2023-12-22 09:00:08,32.35943,-111.106139
"147","BC #56 Nala",2023-12-22 11:00:11,32.36023,-111.106912
"148","BC #56 Nala",2023-12-22 15:00:24,32.359579,-111.105862
"149","BC #56 Nala",2023-12-22 17:00:05,32.362989,-111.105432
"150","BC #56 Nala",2023-12-22 21:00:23,32.361669,-111.107112
"151","BC #56 Nala",2023-12-22 23:00:08,32.361747,-111.107084
"152","BC #56 Nala",2023-12-23 01:00:23,32.361645,-111.107038
"153","BC #56 Nala",2023-12-23 03:00:12,32.361626,-111.107127
"154","BC #56 Nala",2023-12-23 05:00:10,32.361559,-111.107191
"155","BC #56 Nala",2023-12-23 13:00:05,32.3754,-111.11403
"156","BC #56 Nala",2023-12-23 15:00:09,32.369164,-111.110994
"157","BC #56 Nala",2023-12-23 17:00:15,32.36865,-111.111691
"158","BC #56 Nala",2023-12-23 19:00:24,32.361622,-111.106989
"159","BC #56 Nala",2023-12-23 23:00:47,32.361748,-111.107306
"160","BC #56 Nala",2023-12-24 03:00:09,32.361583,-111.107089
"161","BC #56 Nala",2023-12-24 05:00:12,32.361267,-111.106857
"162","BC #56 Nala",2023-12-24 07:00:26,32.361687,-111.107253
"163","BC #56 Nala",2023-12-24 09:00:18,32.361251,-111.106863
