"","individual.identifier","timestamp","location.lat","location.long"
"1","BC #53 Rocky",2023-01-30 11:00:09,32.253734,-111.065516
"2","BC #53 Rocky",2023-01-31 00:00:13,32.271531,-111.087543
"3","BC #53 Rocky",2023-01-31 13:00:10,32.262562,-111.064851
"4","BC #53 Rocky",2023-02-01 02:00:10,32.257884,-111.090202
"5","BC #53 Rocky",2023-02-01 15:00:09,32.258235,-111.08557
"6","BC #53 Rocky",2023-02-01 17:00:15,32.269982,-111.086439
"7","BC #53 Rocky",2023-02-01 21:00:13,32.274462,-111.076981
"8","BC #53 Rocky",2023-02-01 23:00:08,32.275116,-111.077808
"9","BC #53 Rocky",2023-02-02 01:00:19,32.27415,-111.075159
"10","BC #53 Rocky",2023-02-02 05:00:11,32.274168,-111.074978
"11","BC #53 Rocky",2023-02-02 07:00:09,32.269631,-111.076879
"12","BC #53 Rocky",2023-02-02 09:00:09,32.263435,-111.072311
"13","BC #53 Rocky",2023-02-02 11:00:11,32.261112,-111.085002
"14","BC #53 Rocky",2023-02-02 13:00:08,32.257998,-111.091206
"15","BC #53 Rocky",2023-02-02 15:00:12,32.260599,-111.085594
"16","BC #53 Rocky",2023-02-02 17:00:16,32.257462,-111.084324
"17","BC #53 Rocky",2023-02-02 21:00:11,32.257053,-111.087446
"18","BC #53 Rocky",2023-02-02 23:00:12,32.257479,-111.087236
"19","BC #53 Rocky",2023-02-03 03:00:10,32.257284,-111.087434
"20","BC #53 Rocky",2023-02-03 09:00:07,32.273629,-111.076051
"21","BC #53 Rocky",2023-02-03 11:00:20,32.273651,-111.075941
"22","BC #53 Rocky",2023-02-03 13:00:12,32.261969,-111.063557
"23","BC #53 Rocky",2023-02-03 15:00:07,32.252847,-111.065809
"24","BC #53 Rocky",2023-02-03 17:00:14,32.260721,-111.08536
"25","BC #53 Rocky",2023-02-04 08:00:12,32.275513,-111.077023
"26","BC #53 Rocky",2023-02-04 11:01:25,32.27641,-111.054778
"27","BC #53 Rocky",2023-02-04 21:00:12,32.260065,-111.083958
"28","BC #53 Rocky",2023-02-05 10:00:08,32.276264,-111.077923
"29","BC #53 Rocky",2023-02-05 23:00:12,32.280278,-111.082056
"30","BC #53 Rocky",2023-02-06 12:00:08,32.274595,-111.076814
"31","BC #53 Rocky",2023-02-07 01:00:24,32.273943,-111.081636
"32","BC #53 Rocky",2023-02-08 03:00:18,32.27151,-111.080805
"33","BC #53 Rocky",2023-02-08 16:00:11,32.256454,-111.063167
"34","BC #53 Rocky",2023-02-09 05:00:07,32.261107,-111.081399
"35","BC #53 Rocky",2023-02-09 07:00:12,32.266636,-111.075603
"36","BC #53 Rocky",2023-02-09 09:00:07,32.262586,-111.065937
"37","BC #53 Rocky",2023-02-09 11:00:10,32.26152,-111.062056
"38","BC #53 Rocky",2023-02-09 13:00:17,32.2581,-111.080179
"39","BC #53 Rocky",2023-02-09 15:00:18,32.25956,-111.084
"40","BC #53 Rocky",2023-02-09 17:00:12,32.269045,-111.077087
"41","BC #53 Rocky",2023-02-09 19:00:09,32.260033,-111.08394
"42","BC #53 Rocky",2023-02-09 21:00:10,32.260071,-111.083924
"43","BC #53 Rocky",2023-02-09 23:00:25,32.259557,-111.083582
"44","BC #53 Rocky",2023-02-10 01:00:26,32.258577,-111.085238
"45","BC #53 Rocky",2023-02-10 03:00:25,32.256262,-111.085368
"46","BC #53 Rocky",2023-02-10 05:00:08,32.262151,-111.078421
"47","BC #53 Rocky",2023-02-10 07:00:09,32.265684,-111.071065
"48","BC #53 Rocky",2023-02-10 09:00:07,32.270451,-111.061858
"49","BC #53 Rocky",2023-02-10 11:00:17,32.272919,-111.06586
"50","BC #53 Rocky",2023-02-10 13:00:10,32.265678,-111.080843
"51","BC #53 Rocky",2023-02-10 17:00:10,32.26082,-111.077499
"52","BC #53 Rocky",2023-02-10 19:00:08,32.252802,-111.063754
"53","BC #53 Rocky",2023-02-10 21:00:10,32.252724,-111.066074
"54","BC #53 Rocky",2023-02-11 05:00:17,32.252987,-111.06607
"55","BC #53 Rocky",2023-02-11 09:00:19,32.261946,-111.066482
"56","BC #53 Rocky",2023-02-11 15:01:04,32.269179,-111.076493
"57","BC #53 Rocky",2023-02-11 22:00:10,32.260024,-111.0835
"58","BC #53 Rocky",2023-02-12 11:00:10,32.270406,-111.076528
"59","BC #53 Rocky",2023-02-13 00:00:23,32.25683,-111.089103
"60","BC #53 Rocky",2023-02-13 13:00:10,32.271102,-111.052236
"61","BC #53 Rocky",2023-02-14 02:00:14,32.259472,-111.083641
"62","BC #53 Rocky",2023-02-14 15:00:12,32.260694,-111.062616
"63","BC #53 Rocky",2023-02-15 04:00:13,32.265202,-111.083319
"64","BC #53 Rocky",2023-02-15 17:00:07,32.263833,-111.068491
"65","BC #53 Rocky",2023-02-16 06:00:11,32.262457,-111.074649
"66","BC #53 Rocky",2023-02-16 19:00:15,32.259555,-111.084447
"67","BC #53 Rocky",2023-02-16 21:00:16,32.255723,-111.077031
"68","BC #53 Rocky",2023-02-16 23:00:17,32.255651,-111.077234
"69","BC #53 Rocky",2023-02-17 01:00:17,32.255665,-111.077261
"70","BC #53 Rocky",2023-02-17 03:00:11,32.255608,-111.077234
"71","BC #53 Rocky",2023-02-17 05:00:19,32.252083,-111.070693
"72","BC #53 Rocky",2023-02-17 07:00:13,32.25641,-111.064161
"73","BC #53 Rocky",2023-02-17 09:00:07,32.26304,-111.061407
"74","BC #53 Rocky",2023-02-17 11:00:09,32.263267,-111.07229
"75","BC #53 Rocky",2023-02-17 13:00:12,32.261262,-111.08357
"76","BC #53 Rocky",2023-02-17 15:00:24,32.249803,-111.098705
"77","BC #53 Rocky",2023-02-17 19:00:10,32.259929,-111.084238
"78","BC #53 Rocky",2023-02-17 23:00:21,32.25997,-111.083995
"79","BC #53 Rocky",2023-02-18 01:00:21,32.260029,-111.083936
"80","BC #53 Rocky",2023-02-18 03:00:09,32.260049,-111.083965
"81","BC #53 Rocky",2023-02-18 05:00:18,32.255378,-111.084822
"82","BC #53 Rocky",2023-02-18 07:00:10,32.264121,-111.071852
"83","BC #53 Rocky",2023-02-18 09:00:07,32.263183,-111.066582
"84","BC #53 Rocky",2023-02-18 11:00:12,32.254062,-111.062785
"85","BC #53 Rocky",2023-02-18 13:00:10,32.25287,-111.065842
"86","BC #53 Rocky",2023-02-18 15:00:18,32.258319,-111.07787
"87","BC #53 Rocky",2023-02-18 17:00:08,32.260663,-111.083308
"88","BC #53 Rocky",2023-02-18 19:03:01,32.260038,-111.08396
"89","BC #53 Rocky",2023-02-18 21:00:10,32.260085,-111.083894
"90","BC #53 Rocky",2023-02-18 23:00:11,32.259959,-111.08393
"91","BC #53 Rocky",2023-02-19 12:00:11,32.261672,-111.084012
"92","BC #53 Rocky",2023-02-20 14:00:09,32.259299,-111.080121
"93","BC #53 Rocky",2023-02-21 16:00:13,32.258078,-111.077329
"94","BC #53 Rocky",2023-02-22 05:00:13,32.263781,-111.090885
"95","BC #53 Rocky",2023-02-22 18:00:13,32.277442,-111.051013
"96","BC #53 Rocky",2023-02-23 07:00:10,32.258325,-111.070122
"97","BC #53 Rocky",2023-02-23 20:00:15,32.273159,-111.065256
"98","BC #53 Rocky",2023-02-24 09:00:10,32.264039,-111.085951
"99","BC #53 Rocky",2023-02-24 11:00:14,32.275397,-111.082753
"100","BC #53 Rocky",2023-02-24 15:00:10,32.272267,-111.062265
"101","BC #53 Rocky",2023-02-24 19:00:10,32.26186,-111.056873
"102","BC #53 Rocky",2023-02-24 21:00:18,32.253357,-111.061248
"103","BC #53 Rocky",2023-02-24 23:00:14,32.24851,-111.073803
"104","BC #53 Rocky",2023-02-25 01:00:14,32.2524,-111.075519
"105","BC #53 Rocky",2023-02-25 05:00:10,32.251713,-111.076562
"106","BC #53 Rocky",2023-02-25 07:00:12,32.259354,-111.085938
"107","BC #53 Rocky",2023-02-25 09:00:08,32.272138,-111.076512
"108","BC #53 Rocky",2023-02-25 11:00:15,32.276392,-111.059168
"109","BC #53 Rocky",2023-02-25 13:00:10,32.275381,-111.063798
"110","BC #53 Rocky",2023-02-25 15:00:07,32.278098,-111.062432
