"","individual.identifier","timestamp","location.lat","location.long"
"1","BC #1 Shannan",2020-11-18 03:00:24,32.235694,-111.085109
"2","BC #1 Shannan",2020-11-18 10:00:06,32.243464,-111.068568
"3","BC #1 Shannan",2020-11-18 16:00:17,32.245506,-111.068101
"4","BC #1 Shannan",2020-11-18 22:00:09,32.24703,-111.073667
"5","BC #1 Shannan",2020-11-19 11:00:07,32.247141,-111.071166
"6","BC #1 Shannan",2020-11-19 17:00:06,32.246993,-111.065005
"7","BC #1 Shannan",2020-11-19 23:00:05,32.24866,-111.077016
"8","BC #1 Shannan",2020-11-20 05:00:07,32.248502,-111.077999
"9","BC #1 Shannan",2020-11-20 12:00:05,32.245816,-111.077786
"10","BC #1 Shannan",2020-11-20 18:00:10,32.242524,-111.065551
"11","BC #1 Shannan",2020-11-21 00:00:05,32.243102,-111.073065
"12","BC #1 Shannan",2020-11-21 13:00:04,32.242239,-111.081716
"13","BC #1 Shannan",2020-11-21 19:00:05,32.24355,-111.076521
"14","BC #1 Shannan",2020-11-22 01:00:05,32.236635,-111.085761
"15","BC #1 Shannan",2020-11-22 07:00:07,32.241314,-111.086065
"16","BC #1 Shannan",2020-11-22 14:00:06,32.235586,-111.079731
"17","BC #1 Shannan",2020-11-22 20:00:07,32.239355,-111.076715
"18","BC #1 Shannan",2020-11-23 02:00:06,32.239395,-111.088102
"19","BC #1 Shannan",2020-11-23 08:00:12,32.244823,-111.075377
"20","BC #1 Shannan",2020-11-23 15:00:21,32.244573,-111.063926
"21","BC #1 Shannan",2020-11-23 19:00:45,32.24151,-111.065335
"22","BC #1 Shannan",2020-11-23 21:00:23,32.241142,-111.079491
"23","BC #1 Shannan",2020-11-24 03:00:06,32.239777,-111.090841
"24","BC #1 Shannan",2020-11-24 09:00:08,32.239582,-111.100258
"25","BC #1 Shannan",2020-11-24 22:00:08,32.246503,-111.099847
"26","BC #1 Shannan",2020-11-25 04:00:08,32.246553,-111.099843
"27","BC #1 Shannan",2020-11-25 10:00:07,32.24453,-111.106256
"28","BC #1 Shannan",2020-11-25 17:00:17,32.24226,-111.109149
"29","BC #1 Shannan",2020-11-26 05:00:12,32.250839,-111.087289
"30","BC #1 Shannan",2020-11-26 11:00:08,32.245648,-111.077649
