"","individual.identifier","timestamp","location.lat","location.long"
"1","BC #15 Sweetwater",2021-02-12 08:00:11,32.268238,-111.080103
"2","BC #15 Sweetwater",2021-02-12 21:00:09,32.269394,-111.074177
"3","BC #15 Sweetwater",2021-02-13 09:00:07,32.273756,-111.070534
"4","BC #15 Sweetwater",2021-02-13 22:00:22,32.270176,-111.073441
"5","BC #15 Sweetwater",2021-02-14 10:00:06,32.274808,-111.078774
"6","BC #15 Sweetwater",2021-02-14 23:00:24,32.261686,-111.077088
"7","BC #15 Sweetwater",2021-02-15 05:00:09,32.264375,-111.078604
"8","BC #15 Sweetwater",2021-02-15 11:00:25,32.273525,-111.072963
"9","BC #15 Sweetwater",2021-02-15 17:00:10,32.281387,-111.065416
"10","BC #15 Sweetwater",2021-02-16 00:00:08,32.279391,-111.062557
"11","BC #15 Sweetwater",2021-02-16 06:00:05,32.273345,-111.063503
"12","BC #15 Sweetwater",2021-02-16 12:00:10,32.280147,-111.076604
"13","BC #15 Sweetwater",2021-02-16 18:00:05,32.279795,-111.062765
"14","BC #15 Sweetwater",2021-02-17 07:00:11,32.267271,-111.076608
"15","BC #15 Sweetwater",2021-02-17 13:00:07,32.264983,-111.0931
"16","BC #15 Sweetwater",2021-02-17 19:00:37,32.263911,-111.099957
"17","BC #15 Sweetwater",2021-02-18 02:00:10,32.268271,-111.104543
"18","BC #15 Sweetwater",2021-02-18 08:00:08,32.26852,-111.102598
"19","BC #15 Sweetwater",2021-02-18 14:00:08,32.264388,-111.100264
"20","BC #15 Sweetwater",2021-02-19 03:00:09,32.260569,-111.084187
"21","BC #15 Sweetwater",2021-02-19 15:00:09,32.268523,-111.087164
"22","BC #15 Sweetwater",2021-02-19 21:00:07,32.263781,-111.080406
"23","BC #15 Sweetwater",2021-02-20 04:00:09,32.261326,-111.074551
"24","BC #15 Sweetwater",2021-02-20 16:00:07,32.282951,-111.066256
"25","BC #15 Sweetwater",2021-02-20 22:00:11,32.27771,-111.059757
"26","BC #15 Sweetwater",2021-02-21 05:00:07,32.275287,-111.062608
"27","BC #15 Sweetwater",2021-02-21 17:00:06,32.263948,-111.07995
"28","BC #15 Sweetwater",2021-02-21 23:00:17,32.263908,-111.079995
"29","BC #15 Sweetwater",2021-02-22 06:00:07,32.263966,-111.080034
"30","BC #15 Sweetwater",2021-02-22 12:00:25,32.260296,-111.077808
"31","BC #15 Sweetwater",2021-02-23 07:00:08,32.256537,-111.074057
"32","BC #15 Sweetwater",2021-02-23 13:00:13,32.263609,-111.081589
"33","BC #15 Sweetwater",2021-02-23 19:00:07,32.263566,-111.078083
