"","X","individual.identifier","timestamp","location.lat","location.long"
"1",1,"Teddy","2023-12-05 00:00:14",32.2558,-111.048477
"2",2,"Teddy","2023-12-05 13:00:27",32.289689,-111.041246
"3",3,"Teddy","2023-12-06 02:00:25",32.284025,-111.026252
"4",4,"Teddy","2023-12-06 15:00:10",32.281317,-111.025475
"5",5,"Teddy","2023-12-07 04:00:13",32.279207,-111.023987
"6",6,"Teddy","2023-12-07 17:00:26",32.25771,-111.030353
"7",7,"Teddy","2023-12-08 06:00:08",32.282009,-111.025305
"8",8,"Teddy","2023-12-09 01:00:11",32.298071,-111.039688
"9",9,"Teddy","2023-12-09 05:00:11",32.297986,-111.039774
"10",10,"Teddy","2023-12-09 07:00:23",32.29789,-111.039629
"11",11,"Teddy","2023-12-09 11:00:25",32.299248,-111.040965
"12",12,"Teddy","2023-12-09 13:00:12",32.299539,-111.043309
"13",13,"Teddy","2023-12-09 15:03:53",32.302803,-111.047181
"14",14,"Teddy","2023-12-09 17:00:27",32.302721,-111.04714
"15",15,"Teddy","2023-12-09 19:00:25",32.302845,-111.047293
"16",16,"Teddy","2023-12-09 21:00:19",32.302762,-111.047308
"17",17,"Teddy","2023-12-09 23:00:09",32.299854,-111.041171
"18",18,"Teddy","2023-12-10 03:00:08",32.289244,-111.032297
"19",19,"Teddy","2023-12-10 07:00:07",32.278852,-111.024118
"20",20,"Teddy","2023-12-10 09:00:12",32.273067,-111.018943
"21",21,"Teddy","2023-12-10 13:00:14",32.258935,-111.033399
"22",22,"Teddy","2023-12-10 17:00:09",32.254791,-111.045375
"23",23,"Teddy","2023-12-10 19:00:15",32.254843,-111.045301
"24",24,"Teddy","2023-12-10 21:00:08",32.261361,-111.048575
"25",25,"Teddy","2023-12-10 23:00:06",32.279212,-111.026223
"26",26,"Teddy","2023-12-11 03:00:20",32.279247,-111.026176
"27",27,"Teddy","2023-12-11 05:00:10",32.279345,-111.026304
"28",28,"Teddy","2023-12-11 07:00:09",32.278424,-111.024153
"29",29,"Teddy","2023-12-11 09:00:15",32.278222,-111.022657
"30",30,"Teddy","2023-12-11 11:00:09",32.278902,-111.022705
"31",31,"Teddy","2023-12-11 13:00:26",32.279119,-111.022366
"32",32,"Teddy","2023-12-11 15:00:17",32.280041,-111.022691
"33",33,"Teddy","2023-12-11 17:00:17",32.280107,-111.022778
"34",34,"Teddy","2023-12-11 19:00:15",32.280058,-111.022726
"35",35,"Teddy","2023-12-11 21:00:25",32.279914,-111.022819
"36",36,"Teddy","2023-12-11 23:00:06",32.279465,-111.024021
"37",37,"Teddy","2023-12-12 03:00:08",32.279463,-111.024017
