"","X","individual.identifier","timestamp","location.lat","location.long"
"1",1,"Wyatt","2022-01-13 09:00:23",32.26762,-111.037007
"2",2,"Wyatt","2022-01-13 11:01:01",32.275112,-111.041077
"3",3,"Wyatt","2022-01-13 22:00:08",32.287693,-111.027012
"4",4,"Wyatt","2022-01-14 11:00:11",32.291457,-111.043755
"5",5,"Wyatt","2022-01-15 00:00:26",32.282219,-111.026154
"6",6,"Wyatt","2022-01-15 13:00:10",32.273004,-111.035854
"7",7,"Wyatt","2022-01-16 02:00:11",32.282818,-111.026207
"8",8,"Wyatt","2022-01-16 15:00:17",32.277852,-111.027006
"9",9,"Wyatt","2022-01-17 04:00:08",32.298913,-111.041466
"10",10,"Wyatt","2022-01-17 17:00:11",32.278258,-111.020655
"11",11,"Wyatt","2022-01-18 19:00:13",32.26748,-111.03705
"12",12,"Wyatt","2022-01-19 21:00:09",32.270432,-111.042936
"13",13,"Wyatt","2022-01-20 10:00:10",32.292708,-111.037251
"14",14,"Wyatt","2022-01-20 15:00:37",32.303436,-111.046903
"15",15,"Wyatt","2022-01-20 23:00:08",32.276859,-111.026252
"16",16,"Wyatt","2022-01-21 12:00:12",32.25231,-111.020837
"17",17,"Wyatt","2022-01-22 01:00:25",32.275971,-111.021539
"18",18,"Wyatt","2022-01-22 14:00:07",32.277014,-111.031322
"19",19,"Wyatt","2022-01-23 01:00:12",32.284301,-111.027327
"20",20,"Wyatt","2022-01-23 03:00:17",32.284308,-111.027389
"21",21,"Wyatt","2022-01-23 05:00:08",32.284359,-111.027486
"22",22,"Wyatt","2022-01-23 07:00:11",32.294113,-111.038119
"23",23,"Wyatt","2022-01-23 11:00:06",32.277785,-111.040229
"24",24,"Wyatt","2022-01-23 13:00:07",32.265728,-111.044794
"25",25,"Wyatt","2022-01-23 15:00:09",32.259705,-111.030426
"26",26,"Wyatt","2022-01-23 17:00:25",32.278596,-111.022512
"27",27,"Wyatt","2022-01-23 19:00:12",32.279671,-111.02394
"28",28,"Wyatt","2022-01-23 21:00:09",32.28624,-111.026183
"29",29,"Wyatt","2022-01-23 23:00:10",32.286235,-111.026175
"30",30,"Wyatt","2022-01-24 01:00:25",32.283971,-111.025813
"31",31,"Wyatt","2022-01-24 03:00:18",32.284096,-111.026601
"32",32,"Wyatt","2022-01-24 05:00:09",32.284059,-111.026677
"33",33,"Wyatt","2022-01-24 09:00:09",32.27808,-111.020238
"34",34,"Wyatt","2022-01-24 13:00:08",32.258254,-111.030242
"35",35,"Wyatt","2022-01-24 15:00:11",32.26597,-111.044553
"36",36,"Wyatt","2022-01-24 17:00:10",32.281544,-111.030789
"37",37,"Wyatt","2022-01-24 19:00:26",32.277641,-111.024776
"38",38,"Wyatt","2022-01-24 23:00:11",32.283067,-111.02926
"39",39,"Wyatt","2022-01-25 03:00:25",32.298797,-111.040424
"40",40,"Wyatt","2022-01-25 05:00:09",32.298861,-111.040292
"41",41,"Wyatt","2022-01-25 07:00:10",32.298898,-111.04033
"42",42,"Wyatt","2022-01-25 09:00:07",32.284853,-111.043186
"43",43,"Wyatt","2022-01-25 11:00:07",32.265887,-111.041578
"44",44,"Wyatt","2022-01-25 13:00:11",32.278271,-111.021528
"45",45,"Wyatt","2022-01-25 15:00:10",32.27887,-111.023317
"46",46,"Wyatt","2022-01-25 17:00:10",32.280621,-111.025932
"47",47,"Wyatt","2022-01-25 19:00:17",32.284333,-111.027367
"48",48,"Wyatt","2022-01-25 23:00:12",32.282104,-111.026114
"49",49,"Wyatt","2022-01-26 01:00:06",32.282214,-111.026108
"50",50,"Wyatt","2022-01-26 03:00:08",32.283516,-111.025622
"51",51,"Wyatt","2022-01-26 05:00:09",32.283552,-111.025674
"52",52,"Wyatt","2022-01-26 07:00:10",32.282269,-111.027126
"53",53,"Wyatt","2022-01-26 11:00:07",32.263629,-111.045825
"54",54,"Wyatt","2022-01-26 13:00:11",32.260094,-111.024242
"55",55,"Wyatt","2022-01-26 15:00:09",32.262656,-111.022961
"56",56,"Wyatt","2022-01-26 17:00:12",32.283045,-111.041427
"57",57,"Wyatt","2022-01-26 19:00:08",32.291966,-111.046587
"58",58,"Wyatt","2022-01-26 21:00:10",32.299857,-111.041124
"59",59,"Wyatt","2022-01-26 23:00:16",32.280762,-111.027349
"60",60,"Wyatt","2022-01-27 03:00:22",32.280948,-111.026891
"61",61,"Wyatt","2022-01-27 05:00:12",32.278767,-111.025565
"62",62,"Wyatt","2022-01-27 11:00:10",32.271863,-111.029292
"63",63,"Wyatt","2022-01-27 13:00:11",32.27158,-111.041507
"64",64,"Wyatt","2022-01-27 15:00:13",32.289857,-111.045756
"65",65,"Wyatt","2022-01-27 17:00:13",32.29192,-111.045778
"66",66,"Wyatt","2022-01-27 19:00:47",32.299059,-111.041173
"67",67,"Wyatt","2022-01-27 21:00:10",32.287392,-111.027046
"68",68,"Wyatt","2022-01-27 23:00:11",32.284304,-111.026969
"69",69,"Wyatt","2022-01-28 01:00:09",32.284317,-111.027393
"70",70,"Wyatt","2022-01-28 05:00:08",32.284225,-111.027516
"71",71,"Wyatt","2022-01-28 11:00:08",32.25032,-111.020958
"72",72,"Wyatt","2022-01-28 13:00:10",32.258826,-111.04079
"73",73,"Wyatt","2022-01-28 15:00:11",32.27777,-111.037691
"74",74,"Wyatt","2022-01-28 17:00:13",32.282523,-111.035709
"75",75,"Wyatt","2022-01-28 19:00:10",32.274415,-111.037653
"76",76,"Wyatt","2022-01-28 21:00:08",32.277585,-111.022096
"77",77,"Wyatt","2022-01-28 23:00:09",32.282203,-111.02611
"78",78,"Wyatt","2022-01-29 03:00:11",32.284133,-111.02662
"79",79,"Wyatt","2022-01-29 05:00:12",32.284121,-111.026637
"80",80,"Wyatt","2022-01-29 09:00:09",32.287781,-111.042469
"81",81,"Wyatt","2022-01-29 11:00:09",32.2715,-111.04219
"82",82,"Wyatt","2022-01-29 13:00:09",32.263642,-111.040705
"83",83,"Wyatt","2022-01-29 15:00:09",32.267264,-111.036968
"84",84,"Wyatt","2022-01-29 17:00:18",32.266171,-111.044572
"85",85,"Wyatt","2022-01-29 19:00:13",32.280918,-111.02962
"86",86,"Wyatt","2022-01-29 21:00:13",32.277201,-111.024397
"87",87,"Wyatt","2022-01-29 23:00:09",32.276925,-111.025814
"88",88,"Wyatt","2022-01-30 01:00:14",32.276853,-111.025705
"89",89,"Wyatt","2022-01-30 03:00:14",32.276463,-111.02026
"90",90,"Wyatt","2022-01-30 05:00:17",32.278017,-111.020648
"91",91,"Wyatt","2022-01-30 07:00:10",32.278043,-111.020693
"92",92,"Wyatt","2022-01-30 09:00:08",32.276966,-111.028311
"93",93,"Wyatt","2022-01-30 11:00:08",32.268079,-111.036368
"94",94,"Wyatt","2022-01-30 13:00:09",32.278732,-111.022519
"95",95,"Wyatt","2022-01-30 15:00:14",32.280783,-111.025723
"96",96,"Wyatt","2022-01-30 17:00:09",32.286391,-111.0378
"97",97,"Wyatt","2022-01-30 19:00:10",32.28101,-111.051377
"98",98,"Wyatt","2022-01-30 21:00:10",32.277144,-111.02937
"99",99,"Wyatt","2022-01-30 23:00:13",32.27851,-111.022582
"100",100,"Wyatt","2022-01-31 01:00:13",32.278839,-111.022284
"101",101,"Wyatt","2022-01-31 03:00:25",32.278674,-111.023773
"102",102,"Wyatt","2022-01-31 05:00:23",32.278106,-111.024822
"103",103,"Wyatt","2022-01-31 07:00:10",32.278763,-111.023929
"104",104,"Wyatt","2022-01-31 11:00:11",32.266522,-111.044518
"105",105,"Wyatt","2022-01-31 13:00:10",32.271769,-111.042418
"106",106,"Wyatt","2022-01-31 15:00:11",32.279657,-111.031521
"107",107,"Wyatt","2022-01-31 17:00:16",32.278242,-111.021512
"108",108,"Wyatt","2022-01-31 19:00:09",32.278533,-111.02756
"109",109,"Wyatt","2022-01-31 21:00:10",32.287934,-111.028178
"110",110,"Wyatt","2022-01-31 23:00:15",32.289194,-111.032142
"111",111,"Wyatt","2022-02-01 03:00:08",32.29976,-111.043398
"112",112,"Wyatt","2022-02-01 05:00:08",32.299684,-111.043419
"113",113,"Wyatt","2022-02-01 07:00:11",32.299612,-111.043518
"114",114,"Wyatt","2022-02-01 11:00:08",32.265832,-111.041038
"115",115,"Wyatt","2022-02-01 13:00:08",32.264961,-111.041345
"116",116,"Wyatt","2022-02-01 15:00:09",32.261519,-111.030456
"117",117,"Wyatt","2022-02-01 17:00:25",32.267397,-111.037085
"118",118,"Wyatt","2022-02-01 19:00:09",32.260522,-111.04349
"119",119,"Wyatt","2022-02-01 21:00:15",32.27838,-111.025282
"120",120,"Wyatt","2022-02-01 23:00:11",32.286855,-111.02555
"121",121,"Wyatt","2022-02-02 03:00:08",32.284423,-111.026426
"122",122,"Wyatt","2022-02-02 07:00:11",32.28284,-111.026582
"123",123,"Wyatt","2022-02-02 09:00:09",32.275776,-111.020227
"124",124,"Wyatt","2022-02-02 13:00:09",32.255599,-111.024391
"125",125,"Wyatt","2022-02-02 19:00:09",32.277521,-111.038328
"126",126,"Wyatt","2022-02-03 01:00:12",32.278742,-111.024873
"127",127,"Wyatt","2022-02-03 07:00:24",32.278644,-111.024874
"128",128,"Wyatt","2022-02-03 19:00:10",32.279209,-111.021844
"129",129,"Wyatt","2022-02-03 23:00:39",32.298823,-111.040369
"130",130,"Wyatt","2022-02-04 07:00:21",32.28567,-111.029865
"131",131,"Wyatt","2022-02-04 19:00:13",32.271481,-111.04249
"132",132,"Wyatt","2022-02-05 01:00:11",32.274668,-111.020524
"133",133,"Wyatt","2022-02-05 07:00:07",32.279447,-111.025253
"134",134,"Wyatt","2022-02-05 13:00:09",32.258705,-111.040451
"135",135,"Wyatt","2022-02-05 19:00:10",32.282698,-111.030752
"136",136,"Wyatt","2022-02-06 01:00:13",32.287658,-111.033133
"137",137,"Wyatt","2022-02-06 07:00:10",32.284957,-111.029873
"138",138,"Wyatt","2022-02-06 13:00:08",32.265742,-111.043743
"139",139,"Wyatt","2022-02-06 19:00:07",32.284485,-111.027474
"140",140,"Wyatt","2022-02-07 01:00:22",32.279117,-111.024559
"141",141,"Wyatt","2022-02-07 07:00:08",32.279045,-111.02449
"142",142,"Wyatt","2022-02-07 13:00:11",32.257697,-111.043346
"143",143,"Wyatt","2022-02-07 19:00:11",32.28765,-111.033894
"144",144,"Wyatt","2022-02-08 01:00:09",32.299764,-111.043513
"145",145,"Wyatt","2022-02-08 07:00:09",32.287431,-111.027243
"146",146,"Wyatt","2022-02-08 13:00:10",32.282464,-111.032004
"147",147,"Wyatt","2022-02-08 19:00:13",32.276647,-111.039523
"148",148,"Wyatt","2022-02-09 01:00:26",32.282106,-111.024442
"149",149,"Wyatt","2022-02-09 07:00:09",32.288002,-111.031413
"150",150,"Wyatt","2022-02-09 13:00:08",32.28536,-111.029848
"151",151,"Wyatt","2022-02-09 19:00:09",32.285341,-111.029961
"152",152,"Wyatt","2022-02-10 01:00:09",32.285345,-111.029947
"153",153,"Wyatt","2022-02-10 13:00:10",32.253166,-111.048205
"154",154,"Wyatt","2022-02-10 19:00:07",32.272706,-111.01785
"155",155,"Wyatt","2022-02-11 01:00:13",32.28403,-111.031708
"156",156,"Wyatt","2022-02-11 03:02:09",32.284017,-111.031732
"157",157,"Wyatt","2022-02-11 07:00:08",32.283995,-111.031732
"158",158,"Wyatt","2022-02-11 13:00:12",32.290395,-111.042889
"159",159,"Wyatt","2022-02-11 19:00:12",32.257647,-111.041031
"160",160,"Wyatt","2022-02-12 01:00:14",32.297712,-111.041522
"161",161,"Wyatt","2022-02-12 13:00:11",32.277016,-111.041314
"162",162,"Wyatt","2022-02-12 19:00:09",32.253508,-111.047578
"163",163,"Wyatt","2022-02-13 01:00:10",32.269324,-111.035259
"164",164,"Wyatt","2022-02-13 13:00:10",32.254982,-111.044823
"165",165,"Wyatt","2022-02-13 19:00:09",32.2579,-111.05645
"166",166,"Wyatt","2022-02-14 07:00:19",32.298123,-111.039731
"167",167,"Wyatt","2022-02-14 13:00:09",32.258187,-111.047548
