road,name,coordinates,saved?,what goes under,start coords,end coords,original to dataset?
I 010,Cortaro Rd TI OP EB,"32.3589000000001, -111.0901",yes,road,"32.358708016980984, -111.08970920798969","32.3589436307653, -111.08994523459867",yes
I 010,Sunset Rd TI OP EB,"32.3092, -111.0421",yes,road,can't tell,can't tell,yes
10E I10 FRONTAGE        RD  S,Rillito Creek EB FR Bridge,"32.3155, -111.0469",yes,riverbed,"32.31495449372816, -111.04589227738683","32.31573558026473, -111.04640820197014",yes
I 010,St Marys Road TI OP,"32.2297, -110.9825",yes,road,"32.22919979175178, -110.98233052304995","32.2297, -110.9825",yes
S 077,Miracle Mile TI UP,"32.2601000000001, -111.003",yes,road,"32.2601000000001, -111.003","32.260301473498686, -111.0022400474355",yes
I 010,Grant Road TI OP,"32.2506000000001, -110.9933",yes,road,"32.25015236546105, -110.99285969529177","32.250533458370825, -110.99312255178491",yes
10W TWIN PEAKS          RD,Twin Peaks TI UP,"32.3788000000001, -111.1099",yes,road,"32.37862058777573, -111.11015303260137","32.37965540809706, -111.10846415012213",yes
10W PRINCE              RD,Prince Rd Utility UP,"32.2716, -111.012",yes,road,"32.271434815386485, -111.01228084174353","32.27216229119161, -111.00945660786807",yes
S 086,RCB,"32.1741416670001, -111.061277778",yes,culvert,"32.1741836785425, -111.06109079424526","32.17409284380277, -111.06147902085317",yes
S 086,RCB,"32.1779000000001, -111.0014",yes,riverbed,"32.17787695247351, -111.00129399478425","32.177886878675686, -111.0014807338101",yes
I 010,Prince Rd TI RCB #1,"32.2904, -111.0262",yes,culvert,"32.29025562269993, -111.02607165081481","32.290540778146976, -111.02633750614801",yes
I 010,I10/Twin Peaks TI RCB,"32.3833333330001, -111.111111111",yes,can't tell,can't tell,can't tell,yes
I 010,Prince Rd TI RCB #2,"32.2815000000001, -111.0187",yes,culvert,"32.280829748210756, -111.01815084353271","32.281662760718135, -111.01883931988215",yes
I 010254G,Prince Rd TI RCB #4,"32.2701000000001, -111.0119",yes,culvert,"32.26991016751127, -111.0118162979931","32.270172115779665, -111.01182292472204",yes
10S MISSION             RD,Kennedy Park RCB,"32.1799, -111.0033",yes,culvert,"32.17986690660451, -111.00326458628203","32.179989068443824, -111.00326981579468",yes
10S MISSION             RD,Hideout Wash RCB,"32.186861111, -111.001777778",yes,culvert,"32.18678150516837, -111.00185770382153","32.18693493941982, -111.00172909920161",yes
10W SWEETWATER          DR,Roger Wash SPA,"32.279858333, -111.046383333",yes,riverbed,"32.27991373181946, -111.04685112764496","32.27981906348728, -111.04601574294061",yes
10W ANKLAM              RD,Small Wash RCB,"32.2250000000001, -111.0306",yes,culvert,"32.224940175821395, -111.03045219938143","32.22495452098003, -111.03068620920604",yes
10W SPEEDWAY            BLVD,Medium Wash RCB,"32.236066667, -111.060294444",yes,riverbed,"32.23605908274225, -111.06014017516594","32.23606595250862, -111.06048263844146",yes
10W EL CAMINO DEL CERRO,Santa Cruz River Br,"32.2942, -111.0386",yes,riverbed,"32.2942391095242, -111.03868314868411","32.29423617386152, -111.03740327542874",yes
10W SILVERLAKE          RD,Santa Cruz West RCB,"32.1995000000001, -110.994833333",yes,riverbed,"32.19949128498213, -110.99462593451676","32.19951369124472, -110.99503147755038",yes
10S LA CHOLLA           BLVD,RCB,"32.2034, -111.0118",yes,culvert,"32.203273472726046, -111.01176613711607","32.20341494198254, -111.01177056597237",yes
10S SAN JACINTO         DR,RCB,"32.2031388890001, -111.00325",yes,culvert,"32.203017862209855, -111.00312182550951","32.20321643390323, -111.00338272247556",yes
10S SAN ANTONIO         DR,RCB,"32.199972222, -110.998972222",yes,culvert,"32.19987314779342, -110.99898198376748","32.20002812424813, -110.9989828356065",yes
10N CORTARO             RD,Santa Cruz River Br EB,"32.3512000000001, -111.096786111",yes,riverbed,"32.35122154768866, -111.09690520313885","32.353180490443904, -111.09536732138096",yes
10W LESTER              ST,Silvercroft Wash RCB,"32.2439000000001, -111.0033",yes,riverbed,"32.24386807773691, -111.00319431957874","32.2439423734365, -111.00342834232389",yes
10W SAINT MARYS         RD,Santa Cruz River Br,"32.2296000000001, -110.985",yes,riverbed,"32.2296000000001, -110.985","32.22952626736309, -110.9843010379648",yes
10W SPEEDWAY            BLVD,Santa Cruz River Br,"32.2356, -110.9861",yes,riverbed,"32.2356169798405, -110.986147993496","32.23565786463955, -110.98545468693399",yes
