longitude,latitude
-111.016662,32.216202
-111.004672,32.215034
-111.006799,32.221113
-111.007974,32.214257
-110.992296,32.211106
-111.002981,32.217069
-111.007509,32.226221
-111.004288,32.219194
-111.003238,32.220036
-111.004675,32.21701
-111.004361,32.209017
-111.001607,32.212618
-110.991833,32.210173
-111.014153,32.22174
-111.010444,32.216312
-111.004456,32.217167
-111.003292,32.208897
-111.01556,32.219771
-111.005109,32.215337
-111.015871,32.224732
-111.011401,32.223828
-111.004782,32.215335
-111.018955,32.217481
-111.013374,32.211228
-111.010402,32.219319
-111.014493,32.216069
-111.020787,32.229218
-111.005922,32.220656
-111.000734,32.224352
-111.004854,32.219281
-110.988452,32.209778
-111.014924,32.216828
-111.017812,32.214758
-111.001756,32.220063
-111.001635,32.220081
-111.001285,32.221843
-111.004417,32.219612
-111.017943,32.215624
-110.999655,32.216865
-111.000886,32.209575
-110.990405,32.202783
-110.98877,32.214089
-110.994503,32.210383
-111.013206,32.213857
-111.001168,32.215472
-111.001752,32.220071
-111.003643,32.218653
-111.013611,32.230126
-111.014852,32.226676
-111.004252,32.219218
-111.021987,32.209174
-111.010965,32.214013
-110.995421,32.217431
-111.011178,32.212656
-110.99872,32.212448
-111.018278,32.209867
-111.013187,32.223723
-111.005412,32.21667
-111.005144,32.223455
-111.005946,32.218173
-110.993258,32.215803
-111.003748,32.218653
-111.004306,32.219164
-111.002967,32.20812
-111.024567,32.224148
-111.010227,32.213591
-111.008194,32.214121
-111.003748,32.217207
-111.014571,32.22264
-110.989673,32.207759
-111.002907,32.217396
-111.002499,32.21701
-111.002528,32.217091
-110.990794,32.206936
-110.99856,32.22249
-111.002358,32.217088
-111.019254,32.219333
-111.005157,32.216624
-111.001424,32.224055
-111.011878,32.21819
-111.005018,32.219023
-110.995506,32.208017
-110.999558,32.217015
-111.002105,32.217823
-111.00249,32.217031
-111.002968,32.2187
-111.002936,32.218673
-111.013957,32.230856
-111.013366,32.215333
-111.018465,32.217415
-111.024938,32.224496
-111.01417,32.215166
-110.988943,32.214125
-111.015222,32.216861
-111.014308,32.216466
-111.016108,32.215034
-111.016811,32.21233
-111.01407,32.215352
-111.014244,32.216157
-111.014576,32.216006
-111.013449,32.218435
-111.015708,32.216444
-111.021886,32.208974
-111.013525,32.216215
-111.016202,32.215059
-111.016007,32.216969
-111.015812,32.216404
-111.013508,32.213189
-111.010386,32.219852
-110.996719,32.217701
-111.016099,32.215372
-111.014264,32.216039
-111.010922,32.213688
-111.010757,32.213647
-111.010609,32.213514
-111.01141,32.213868
-110.999127,32.22463
-110.990469,32.215375
-110.998655,32.214857
-111.013835,32.226227
-111.016787,32.213771
-110.989257,32.21219
-111.00052,32.225029
-110.994005,32.214658
-111.010176,32.208993
-111.003519,32.226049
-111.004427,32.215644
-111.004781,32.212252
-110.999054,32.212349
-111.023406,32.214766
-111.013726,32.226179
-111.005555,32.225667
-111.001161,32.209582
-110.99668,32.217163
-110.988903,32.208885
-111.014499,32.216058
-111.020094,32.210337
-111.014305,32.212482
-111.00205,32.219682
-110.997571,32.218657
-111.022039,32.209139
-111.014542,32.216008
-111.006123,32.228528
-111.005565,32.212443
-110.999648,32.20719
-111.016324,32.207419
-111.019968,32.214538
-111.013935,32.217776
-111.021946,32.210988
-111.009988,32.210162
-110.996869,32.217136000000004
-110.996702,32.217327
-110.997567,32.21497
-110.988366,32.210146
-111.016307,32.223724
-111.022006,32.209165
-111.004624,32.209051
-110.995567,32.220275
-111.00608,32.225037
-111.003665,32.21471
-111.0055,32.211828
-110.988386,32.209621
-110.990524,32.213841
-111.016528,32.215787
-111.019737,32.209495
-111.021736,32.214962
-111.018214,32.214354
-111.015759,32.209973
-111.008736,32.211496
-111.007335,32.213977
-111.020074,32.214399
-110.997171,32.208084
-110.990645,32.216323
-110.997936,32.221918
-110.997872,32.221908
-110.998735,32.215714
-110.996981,32.216065
-111.001044,32.217536
-111.02187,32.211035
-111.021969,32.209115
-111.019989,32.218824
-111.019484,32.220869
-111.023528,32.22314
-111.014027,32.225934
-111.006643,32.224898
-111.001948,32.22048
-111.005219,32.213423
-111.007529,32.209881
-111.011117,32.210251
-111.021242,32.208741
-110.988803,32.209753
-110.992591,32.209217
-110.989303,32.206475
-110.981913,32.215131
-110.981943,32.215178
