"","LINEARID","FULLNAME","RTTYP","MTFCC","STATEFP","COUNTYFP","id","area","geometry","Cross_Times","Passage_Distances"
"1","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049144871058, 32.2610763217322),"2022-04-27 07:19:08 UTC",2876.88742651362
"1.1","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049149132636, 32.2609653701049),"2022-02-07 17:26:08 UTC",2893.6760247333
"1.2","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049210866223, 32.261275201571),"2022-03-23 11:07:11 UTC",2848.04869258944
"1.3","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049321221728, 32.2615026398548),"2022-03-05 07:20:10 UTC",2815.66330536027
"1.4","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049370409614, 32.2616182205813),"2022-03-10 11:31:08 UTC",2799.0881345545
"1.5","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.0493699673, 32.2616167001235),"2022-03-10 11:31:08 UTC",2799.30966843194
"1.6","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049366440289, 32.2616045760171),"2022-03-10 11:31:08 UTC",2801.07617627317
"1.7","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049368392299, 32.2621614087132),"2022-03-10 14:35:10 UTC",2717.21792979156
"1.8","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049372715296, 32.2621424956103),"2022-02-24 19:41:12 UTC",2720.14099989243
"1.9","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049312806668, 32.2623366390236),"2022-05-10 06:33:14 UTC",2689.87095901337
"1.10","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049293754225, 32.2623867551999),"2022-02-04 17:23:11 UTC",2681.9959222706
"1.11","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049189564796, 32.2625909851336),"2022-05-10 05:16:13 UTC",2649.45173854151
"1.12","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049154713048, 32.2626457834712),"2022-03-14 23:39:25 UTC",2640.60207123542
"1.13","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049136382614, 32.2626742691709),"2022-02-28 15:41:09 UTC",2635.99812828876
"1.14","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.04913390026, 32.2626777518812),"2022-02-28 15:41:09 UTC",2635.43113131665
"1.15","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049058722616, 32.2627808938882),"2023-02-09 17:54:12 UTC",2618.61094168844
"1.16","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049031007026, 32.2628145160834),"2022-02-16 12:45:12 UTC",2613.07321003751
