"","LINEARID","FULLNAME","RTTYP","MTFCC","STATEFP","COUNTYFP","id","area","geometry","Cross_Times","Passage_Distances"
"1","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049403834153, 32.2619367978929),"2022-05-13 14:47:10 UTC",2751.6612651879
"1.1","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049401741072, 32.2619567160793),"2022-05-27 17:23:10 UTC",2748.62476248723
"1.2","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049387320507, 32.2620769780823),"2022-05-27 11:41:09 UTC",2730.26060140199
"1.3","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.048396609398, 32.2633289053974),"2022-05-13 13:40:08 UTC",2524.90262623282
"1.4","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049197134503, 32.259463817121),"2022-04-17 06:17:08 UTC",3120.72034924407
"1.5","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.04919972558, 32.2596240317332),"2022-04-09 00:43:23 UTC",3096.62583916344
"2","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079753317585, 32.2703721249707),"2020-12-19 06:08:07 UTC",4487.86518449134
"2.1","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079710669847, 32.2691952529566),"2021-06-08 17:05:09 UTC",4543.69399376295
"2.2","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079712082674, 32.2692054881053),"2021-03-03 04:23:08 UTC",4543.3065922623
"2.3","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079803248683, 32.2696402609782),"2021-09-06 06:05:29 UTC",4531.09405395236
"2.4","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079691, 32.2669387796329),"2021-07-21 15:54:16 UTC",4675.34820944634
"2.5","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079689431405, 32.2670529015035),"2021-10-30 05:00:14 UTC",4667.87370945232
"2.6","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079684909682, 32.2671099053504),"2021-10-21 12:11:09 UTC",4663.72138155199
"2.7","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.0796844116, 32.2671749685423),"2021-11-18 22:38:24 UTC",4659.54466004169
"2.8","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079718815845, 32.2672444516273),"2021-08-24 01:10:08 UTC",4659.20897557037
"2.9","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079724214769, 32.2672553553273),"2021-08-24 00:50:08 UTC",4659.15885189805
"2.10","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079765612424, 32.2673674497025),"2021-07-31 02:50:09 UTC",4657.02270639567
"2.11","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079773877662, 32.2674010646012),"2021-07-21 20:06:15 UTC",4655.90644791144
"2.12","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079778071395, 32.2674304280756),"2022-02-20 00:02:09 UTC",4654.57926902203
