"","LINEARID","FULLNAME","RTTYP","MTFCC","STATEFP","COUNTYFP","id","area","geometry","Cross_Times","Passage_Distances"
"1","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.032628328248, 32.244697862541),"2023-03-02 23:55:15 UTC",1751.15980206125
"1.1","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.032628437383, 32.2446865124372),"2023-10-14 23:38:14 UTC",1752.07163540969
"1.2","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.032628923166, 32.2446359907977),"2023-01-21 08:30:18 UTC",1756.14522700949
"1.3","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.032629037958, 32.2446236158278),"2023-05-05 15:09:11 UTC",1757.14624850732
"1.4","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.032629097207, 32.24461677262),"2024-01-12 02:31:15 UTC",1757.69995664097
"1.5","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.032629102517, 32.2446161593107),"2024-01-12 02:31:15 UTC",1757.74960322576
"1.6","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.032629237578, 32.2446005598767),"2023-03-11 02:21:12 UTC",1759.01354814313
"1.7","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.032629321291, 32.2445908910114),"2023-03-11 02:21:12 UTC",1759.79811774362
"1.8","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.032629489976, 32.2445714080202),"2023-04-08 16:59:10 UTC",1761.3817102734
"1.9","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.032629541895, 32.2445654114395),"2023-04-08 16:59:10 UTC",1761.86983307916
"1.10","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.032629628792, 32.244555374799),"2023-03-12 10:16:13 UTC",1762.68757050552
"1.11","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.032629757496, 32.244540509555),"2023-02-01 21:24:19 UTC",1763.90044907596
"1.12","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.032629768139, 32.244539280314),"2023-02-01 21:24:19 UTC",1764.00083710454
"1.13","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.032629835376, 32.2445315145001),"2023-11-02 08:45:15 UTC",1764.63537098123
"1.14","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.032629843649, 32.2445305589712),"2024-01-19 05:46:11 UTC",1764.71348475233
"1.15","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.032629859436, 32.2445287354792),"2024-01-19 05:46:11 UTC",1764.86257745852
"1.16","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.032630101681, 32.2445007562559),"2023-04-08 10:18:13 UTC",1767.15409809066
"1.17","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.032630328633, 32.2444745434345),"2023-03-12 10:17:13 UTC",1769.30753829948
"1.18","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.032630469887, 32.244458228639),"2024-01-24 05:01:12 UTC",1770.65104206937
"1.19","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.032630752214, 32.244425619854),"2022-12-24 06:58:10 UTC",1773.34368650484
"1.20","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.032630760764, 32.2444246323712),"2022-12-24 06:58:10 UTC",1773.42537960494
