"","LINEARID","FULLNAME","RTTYP","MTFCC","STATEFP","COUNTYFP","id","area","geometry","Cross_Times","Passage_Distances"
"1","1102155666158","S Antelope Meadows Loop","M","S1400","04","019","id",2.040521108e-06,c(-111.035105877301, 32.2079270104472),"2023-04-08 12:52:06 UTC",1211.93296281478
"1.1","1102155666158","S Antelope Meadows Loop","M","S1400","04","019","id",2.040521108e-06,c(-111.035135040146, 32.2079128397783),"2022-09-06 12:21:10 UTC",1209.88519539166
"1.2","1102155666158","S Antelope Meadows Loop","M","S1400","04","019","id",2.040521108e-06,c(-111.035056341794, 32.2079510804764),"2023-05-05 14:14:09 UTC",1215.43892712627
"1.3","1102155666158","S Antelope Meadows Loop","M","S1400","04","019","id",2.040521108e-06,c(-111.035253032299, 32.2078555054876),"2023-04-01 22:20:16 UTC",1201.72459418937
"1.4","1102155666158","S Antelope Meadows Loop","M","S1400","04","019","id",2.040521108e-06,c(-111.035339867393, 32.20782112218),"2023-04-03 04:47:16 UTC",1195.19291991552
"1.5","1102155666158","S Antelope Meadows Loop","M","S1400","04","019","id",2.040521108e-06,c(-111.03536405746, 32.2078129419737),"2022-09-06 13:29:10 UTC",1193.27223998344
"2","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.028235360858, 32.235961743409),"2022-05-17 14:36:09 UTC",729.111897228348
"2.1","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.023899243515, 32.2359534775835),"2022-05-07 17:02:06 UTC",168.688421473684
"2.2","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.023398348511, 32.2359503072941),"2022-05-17 10:43:06 UTC",103.948804928135
"2.3","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.022336222728, 32.2359436009128),"2023-05-11 13:25:07 UTC",6.16463673591686
"2.4","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.022063389969, 32.2359418932958),"2022-05-07 15:27:05 UTC",41.2609978622616
"2.5","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.021298596803, 32.2359386921576),"2023-05-11 12:15:07 UTC",89.3908305433132
"3","1108310996133",NA,NA,"S1400","04","019","id",2.040521108e-06,c(-111.026364199306, 32.223625603419),"2022-04-09 16:24:17 UTC",565.018132609936
"3.1","1108310996133",NA,NA,"S1400","04","019","id",2.040521108e-06,c(-111.026352954756, 32.224597266797),"2022-06-17 11:10:04 UTC",532.476376099174
"4","1101299455183","N Desert Park Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.032604218377, 32.223649064973),"2023-04-15 00:23:18 UTC",317.623489462774
"4.1","1101299455183","N Desert Park Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.032450796775, 32.223816193708),"2023-02-03 04:04:08 UTC",286.353308671512
"4.2","1101299455183","N Desert Park Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.032399689802, 32.2238610105905),"2022-04-21 13:26:03 UTC",276.974274906004
"4.3","1101299455183","N Desert Park Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.032369732029, 32.2238872812215),"2022-05-07 06:21:07 UTC",271.480143817037
"4.4","1101299455183","N Desert Park Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.032435767006, 32.2238293736658),"2023-02-02 22:09:08 UTC",283.594299876299
"4.5","1101299455183","N Desert Park Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.032043677758, 32.2241226647704),"2022-07-17 10:08:13 UTC",216.321768343978
"4.6","1101299455183","N Desert Park Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.032040521952, 32.2241240135159),"2022-07-17 10:08:13 UTC",215.870918314754
"4.7","1101299455183","N Desert Park Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.031962326132, 32.2242176764112),"2023-05-01 18:53:09 UTC",199.419577839103
"4.8","1101299455183","N Desert Park Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.031964147013, 32.2242996165688),"2023-05-11 19:56:12 UTC",192.895161934024
"4.9","1101299455183","N Desert Park Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.031963807606, 32.2242843431491),"2022-11-22 23:32:06 UTC",194.067241636747
"4.10","1101299455183","N Desert Park Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.031963165988, 32.2242554701918),"2023-03-02 05:22:14 UTC",196.338934507945
"4.11","1101299455183","N Desert Park Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.0319631089, 32.2242529012108),"2023-03-02 05:22:14 UTC",196.544540920808
"4.12","1101299455183","N Desert Park Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.031963360083, 32.2242642044984),"2022-07-17 10:02:13 UTC",195.644111985988
"4.13","1101299455183","N Desert Park Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.032026480349, 32.2241300146911),"2023-05-01 18:58:09 UTC",213.865179446103
"4.14","1101299455183","N Desert Park Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.032025656404, 32.2241303668327),"2023-05-01 18:58:09 UTC",213.74750032904
"4.15","1101299455183","N Desert Park Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.032246077621, 32.224009187097),"2023-05-15 17:54:24 UTC",247.640467426374
"4.16","1101299455183","N Desert Park Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.032239464838, 32.2240160602217),"2022-03-16 15:44:07 UTC",246.337919448237
"4.17","1101299455183","N Desert Park Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.032241367408, 32.2240140827488),"2022-03-16 15:44:07 UTC",246.712624153353
"4.18","1101299455183","N Desert Park Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.032222344805, 32.224033854253),"2023-04-23 06:45:08 UTC",242.968134870332
"4.19","1101299455183","N Desert Park Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.032160493663, 32.2240727392724),"2023-03-15 10:01:10 UTC",233.026285408254
"4.20","1101299455183","N Desert Park Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.032143997673, 32.2240797894393),"2023-03-15 10:02:10 UTC",230.665638546484
"4.21","1101299455183","N Desert Park Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.032335978159, 32.2239168807074),"2022-05-07 06:23:07 UTC",265.293312882147
"4.22","1101299455183","N Desert Park Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.032332114334, 32.2239202689759),"2022-05-07 06:23:07 UTC",264.585349588068
"4.23","1101299455183","N Desert Park Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.032277672916, 32.2239763478973),"2023-03-18 19:19:08 UTC",253.870810019172
"4.24","1101299455183","N Desert Park Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.031965726345, 32.2243706868061),"2023-04-15 01:16:18 UTC",187.723322369613
"4.25","1101299455183","N Desert Park Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.031967513816, 32.2244511232517),"2023-03-15 10:36:10 UTC",182.466584511087
"4.26","1101299455183","N Desert Park Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.031967884992, 32.2244678262114),"2023-03-15 10:37:10 UTC",181.459354089585
"4.27","1101299455183","N Desert Park Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.031968018524, 32.22447383514),"2022-05-07 21:35:06 UTC",181.10434724744
"4.28","1101299455183","N Desert Park Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.031971485906, 32.2246298673101),"2023-02-03 03:29:08 UTC",173.324721888059
"4.29","1101299455183","N Desert Park Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.031971276645, 32.2246204505606),"2022-11-05 23:48:10 UTC",173.712197015281
"4.30","1101299455183","N Desert Park Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.031971107886, 32.2246128564192),"2023-02-02 22:39:08 UTC",174.032634449714
"4.31","1101299455183","N Desert Park Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.03197037875, 32.2245800453651),"2022-12-27 03:53:12 UTC",175.497781700063
"4.32","1101299455183","N Desert Park Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.031975776799, 32.2248229566727),"2022-04-29 16:20:07 UTC",167.89518186034
"4.33","1101299455183","N Desert Park Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.031977167628, 32.2248855435431),"2022-03-16 15:24:07 UTC",167.20786694132
"4.34","1101299455183","N Desert Park Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.031977336225, 32.2248931303713),"2022-03-16 15:24:07 UTC",167.161202171964
"4.35","1101299455183","N Desert Park Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.031975532361, 32.2248119570675),"2023-02-22 02:08:22 UTC",168.071401962065
"4.36","1101299455183","N Desert Park Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.03197549346, 32.2248102065279),"2023-02-22 02:08:22 UTC",168.100965414568
"4.37","1101299455183","N Desert Park Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.031975454471, 32.2248084520006),"2023-02-22 02:08:22 UTC",168.13101408258
"4.38","1101299455183","N Desert Park Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.031974216617, 32.224752748861),"2023-03-18 19:50:08 UTC",169.301042323011
"4.39","1101299455183","N Desert Park Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.031973900224, 32.2247385112422),"2022-07-04 07:25:30 UTC",169.666705888009
"4.40","1101299455183","N Desert Park Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.031972885522, 32.2246928498568),"2022-07-01 09:19:05 UTC",171.019232989725
"4.41","1101299455183","N Desert Park Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.032657717236, 32.2235617030365),"2022-10-24 18:00:08 UTC",331.380917157503
"4.42","1101299455183","N Desert Park Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.032672214164, 32.2235300063665),"2022-05-02 17:39:13 UTC",335.912482473106
"4.43","1101299455183","N Desert Park Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.032702140943, 32.2234093050578),"2022-05-07 05:53:07 UTC",350.896261915159
"4.44","1101299455183","N Desert Park Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.032704460891, 32.2233858946814),"2023-02-03 04:24:08 UTC",353.511547761693
"4.45","1101299455183","N Desert Park Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.03270613602, 32.2233689911025),"2023-02-02 21:50:08 UTC",355.410291897522
"4.46","1101299455183","N Desert Park Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.032709555426, 32.2233227979135),"2023-03-19 13:53:09 UTC",360.533571812625
"4.47","1101299455183","N Desert Park Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.032687495954, 32.2232260502625),"2023-05-01 19:51:10 UTC",368.807733155165
"4.48","1101299455183","N Desert Park Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.032691645735, 32.2232314910847),"2022-03-15 17:26:07 UTC",368.595563153607
"5","1101299474080","Quail Point Ct","M","S1400","04","019","id",2.040521108e-06,c(-111.03646064952, 32.2066033964944),"2023-05-02 11:36:08 UTC",1199.49894933139
"5.1","1101299474080","Quail Point Ct","M","S1400","04","019","id",2.040521108e-06,c(-111.036474675628, 32.2065981740124),"2023-05-02 11:36:08 UTC",1198.77058480901
"5.2","1101299474080","Quail Point Ct","M","S1400","04","019","id",2.040521108e-06,c(-111.036579387259, 32.2065591856108),"2023-04-01 12:00:09 UTC",1193.42274374695
"6","1104471774054",NA,NA,"S1400","04","019","id",2.040521108e-06,c(-111.026803704596, 32.2189678475187),"2023-05-02 16:19:07 UTC",1023.44463077222
"7","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.034601438025, 32.2241845394628),"2022-04-08 09:40:08 UTC",519.475088246217
"7.1","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.034535430247, 32.2241584920216),"2022-07-23 08:58:09 UTC",512.087888882248
"7.2","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.034532887533, 32.2241570617451),"2022-07-23 08:58:09 UTC",511.820028550918
"7.3","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.034410115781, 32.2240409146477),"2023-01-31 16:42:14 UTC",501.024455691108
"7.4","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.034416383058, 32.2240496578814),"2023-01-31 16:42:14 UTC",501.436334157415
"7.5","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.034431795291, 32.2240711588799),"2022-11-24 10:38:16 UTC",502.468292485167
"7.6","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.034469960247, 32.2241109629996),"2023-03-21 04:14:09 UTC",505.654184171693
"7.7","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.03461470888, 32.2241881782439),"2022-04-08 09:40:08 UTC",521.022453543853
"7.8","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.034753835331, 32.2241906335181),"2022-11-12 20:45:08 UTC",538.485084572274
"7.9","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.034740961286, 32.2241919808031),"2022-06-24 20:04:08 UTC",536.815948098807
"7.10","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.034742012811, 32.2241918707597),"2022-06-24 20:04:08 UTC",536.952277880715
"7.11","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.034778764494, 32.2241880246461),"2022-12-19 08:57:07 UTC",541.717315108036
"7.12","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.034789163059, 32.2241861020862),"2022-05-06 19:17:07 UTC",543.09289839918
"7.13","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.034798621536, 32.2241843357497),"2022-05-06 19:17:07 UTC",544.344696797645
"7.14","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.034815094758, 32.2241812594329),"2023-04-28 01:45:21 UTC",546.524873545284
"7.15","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.034842776327, 32.2241760899912),"2022-06-30 18:50:07 UTC",550.188437660197
"7.16","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.034825731219, 32.2241792731096),"2022-05-29 04:28:05 UTC",547.932574038775
"7.17","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.034818483107, 32.2241806266703),"2023-04-28 01:45:21 UTC",546.973310294434
"7.18","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.03489947913, 32.2241655009091),"2022-05-26 04:26:11 UTC",557.692864432072
"7.19","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.034886234614, 32.224167974286),"2023-05-06 05:55:08 UTC",555.939997201909
"7.20","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.034915143832, 32.2241625755671),"2022-11-12 09:53:21 UTC",559.766035084715
"7.21","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.034943668166, 32.2241572487171),"2023-04-25 19:58:09 UTC",563.541134412401
"7.22","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.034990797474, 32.2241547768321),"2023-04-14 17:59:18 UTC",569.57220748064
"7.23","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.034987118008, 32.2241549554467),"2023-04-14 17:59:18 UTC",569.10176261543
"7.24","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.035021591325, 32.2241532819826),"2023-04-26 08:36:11 UTC",573.509796441266
"7.25","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.03510978458, 32.224157419713),"2022-05-09 06:29:11 UTC",584.523821490435
"7.26","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.035134488826, 32.2241595867487),"2023-05-09 00:31:11 UTC",587.580211920982
"7.27","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.035132255878, 32.2241593908767),"2022-05-24 23:37:09 UTC",587.303885944684
"7.28","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.035138540909, 32.2241599421936),"2023-05-09 00:31:11 UTC",588.081689097051
"7.29","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.035058068044, 32.224152883166),"2022-04-30 05:19:07 UTC",578.130889812935
"7.30","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.035218358369, 32.2241733457694),"2022-06-30 19:59:06 UTC",597.774242316661
"7.31","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.035197263673, 32.2241690527377),"2022-05-02 04:17:09 UTC",595.232810112381
"7.32","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.035306386121, 32.2241957529766),"2023-04-25 23:08:10 UTC",608.274470290379
"7.33","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.035316439435, 32.2241983120136),"2023-04-25 23:08:10 UTC",609.476878556191
"7.34","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.03532714749, 32.224201037712),"2022-12-06 23:18:08 UTC",610.758306015275
"7.35","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.035281640906, 32.2241894541618),"2023-05-14 05:11:09 UTC",605.317638444764
"7.36","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.03526232564, 32.2241845375188),"2023-05-14 05:11:09 UTC",603.012408423301
"7.37","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.035251953198, 32.2241818972435),"2022-05-27 17:40:09 UTC",601.775496427383
"7.38","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.035408997825, 32.224221872395),"2023-04-25 01:44:18 UTC",620.577006702244
"7.39","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.035418878814, 32.2242243875579),"2023-04-25 01:44:18 UTC",621.765103258291
"7.40","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.035444358614, 32.2242308733267),"2022-05-09 02:28:12 UTC",624.831513298248
"7.41","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.035438808284, 32.2242294605154),"2022-05-09 02:28:12 UTC",624.163219449181
"7.42","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.035468336632, 32.2242369768179),"2022-05-12 04:01:19 UTC",627.720704802987
"7.43","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.035474802263, 32.2242386226127),"2022-05-12 04:01:19 UTC",628.50034762251
"7.44","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.035603538314, 32.2242713916669),"2022-05-18 23:34:11 UTC",644.073207656427
"7.45","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.035597054388, 32.2242697412229),"2023-04-14 08:28:22 UTC",643.286663293758
"7.46","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.035577848037, 32.2242648523605),"2023-04-24 17:30:08 UTC",640.958145512081
"7.47","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.035559382287, 32.2242601520104),"2022-04-21 06:42:07 UTC",638.721325685291
"7.48","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.035533515535, 32.2242535677725),"2022-05-15 04:12:15 UTC",635.591183296799
"7.49","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.035645837846, 32.2242821587467),"2023-05-25 00:40:07 UTC",649.209975632644
"7.50","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.035638949425, 32.2242804053435),"2023-05-25 00:40:07 UTC",648.372809428248
"7.51","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.035667484248, 32.2242862858081),"2023-05-25 00:39:07 UTC",651.875099719047
"7.52","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.035714088023, 32.2242920013728),"2023-04-13 21:27:14 UTC",657.692463750677
"7.53","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.035714031262, 32.2242919944116),"2023-04-13 21:27:14 UTC",657.685375523443
"7.54","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.035736175994, 32.2242947102722),"2023-05-17 23:12:07 UTC",660.451310083555
"7.55","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.035728254156, 32.2242937387275),"2022-04-22 15:04:05 UTC",659.461727749994
"7.56","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.035725673625, 32.2242934222476),"2023-05-02 07:39:14 UTC",659.139402035319
"7.57","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.035749109821, 32.2242962964928),"2023-05-25 03:35:10 UTC",662.06727708013
"7.58","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.035770861646, 32.224297880888),"2022-07-12 19:34:09 UTC",664.810524747271
"7.59","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.035781096762, 32.2242977258148),"2022-07-12 19:34:09 UTC",666.122088274303
"7.60","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.035802207213, 32.2242974059657),"2022-08-31 12:37:08 UTC",668.827400026697
"7.61","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.035811009122, 32.224297272605),"2023-05-10 05:55:12 UTC",669.955424802567
"7.62","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.035816544235, 32.2242971887403),"2022-04-21 02:44:07 UTC",670.664804387653
"7.63","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.035816513094, 32.2242971892121),"2022-04-21 02:44:07 UTC",670.660813390828
"7.64","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.035829174987, 32.2242969973659),"2022-07-29 21:57:09 UTC",672.283609838667
"7.65","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.035840935259, 32.2242968191794),"2022-11-25 04:53:26 UTC",673.790912159861
"7.66","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.035841063897, 32.2242968172303),"2022-11-25 04:53:26 UTC",673.807400003317
"7.67","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.035846430379, 32.2242967359194),"2022-11-25 04:53:26 UTC",674.495236344538
"7.68","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.035860029581, 32.2242965298682),"2022-04-07 21:47:15 UTC",676.238337006002
"7.69","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.035859020802, 32.224296545153),"2022-04-07 21:47:15 UTC",676.109032451922
"7.70","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.03587464235, 32.2242963084582),"2022-08-18 13:12:11 UTC",678.111439670252
"7.71","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.03586908456, 32.224296392669),"2022-08-18 13:12:11 UTC",677.399017215283
"7.72","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.035885062939, 32.2242961505663),"2022-05-29 21:17:14 UTC",679.447231910524
"7.73","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.03591982586, 32.2242927783344),"2023-05-02 08:42:14 UTC",683.967286256486
"7.74","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.035939087054, 32.2242902787951),"2022-07-16 10:29:07 UTC",686.485858913034
"7.75","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.035980476688, 32.2242849076215),"2022-04-08 06:10:10 UTC",691.897921571428
"7.76","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.036020961585, 32.2242796538428),"2022-05-02 23:48:21 UTC",697.191680907752
"7.77","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.036008393767, 32.2242812847866),"2023-05-19 01:44:16 UTC",695.548327390005
"7.78","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.035994812233, 32.2242830472803),"2022-04-15 03:42:19 UTC",693.772421396687
"8","1106081767571",NA,NA,"S1400","04","019","id",2.040521108e-06,c(-111.023190029654, 32.2239382083441),"2022-12-15 14:36:06 UTC",951.102414417975
"9","1103678574414","W Foxes Den Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.040831912964, 32.2186322846152),"2022-09-22 23:05:12 UTC",451.562262053626
"9.1","1103678574414","W Foxes Den Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.040835792214, 32.2186356183424),"2022-09-29 03:04:10 UTC",452.177938832002
"9.2","1103678574414","W Foxes Den Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.040838024999, 32.2186375371397),"2022-09-29 03:04:10 UTC",452.532434296338
"9.3","1103678574414","W Foxes Den Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.040840147925, 32.2186393615275),"2022-09-29 03:04:10 UTC",452.869575317655
"9.4","1103678574414","W Foxes Den Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.040841048742, 32.2186401356662),"2022-06-15 08:07:19 UTC",453.01265941979
"9.5","1103678574414","W Foxes Den Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.040856342091, 32.2186532783691),"2022-09-29 03:05:10 UTC",455.444152930325
