"","LINEARID","FULLNAME","RTTYP","MTFCC","STATEFP","COUNTYFP","id","area","geometry","Cross_Times","Passage_Distances"
"1","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.032628512097, 32.2446787421401),"2023-02-23 00:16:18 UTC",1752.69658427453
"1.1","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.032628909377, 32.2446374248454),"2023-01-05 06:48:12 UTC",1756.029265699
"1.2","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.032629550217, 32.2445644501575),"2023-02-27 19:01:12 UTC",1761.94811292965
"1.3","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.03263054723, 32.2444492955109),"2023-01-13 00:34:18 UTC",1771.38771471318
"1.4","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.032630682378, 32.2444336859602),"2023-01-13 00:33:18 UTC",1772.67672386409
"1.5","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.032631419846, 32.2443485083538),"2023-02-01 02:21:10 UTC",1779.74986009156
"1.6","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.032632207259, 32.2442575619274),"2022-11-04 22:16:15 UTC",1787.37474794044
"1.7","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.032632199131, 32.2442585007396),"2022-11-04 22:16:15 UTC",1787.29565811807
"1.8","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.032632551044, 32.2442178546719),"2022-10-07 00:50:15 UTC",1790.72708956755
"1.9","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.032632730482, 32.2441971294984),"2022-10-09 03:27:20 UTC",1792.48242980583
"1.10","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.032633307751, 32.244132660362),"2023-01-02 19:20:17 UTC",1797.33255946837
"1.11","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.032634767912, 32.2439744764718),"2023-03-07 03:27:13 UTC",1780.91089085105
"1.12","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.03263485754, 32.2439647667614),"2023-02-12 22:28:15 UTC",1779.90854081568
"1.13","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.032635351946, 32.2439112060737),"2022-09-30 05:36:15 UTC",1774.39127967619
"1.14","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.032627500845, 32.2447839127589),"2023-01-26 09:30:15 UTC",1744.28683089427
"1.15","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.032627181676, 32.2448171063569),"2022-12-11 03:59:14 UTC",1741.65462911657
"1.16","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.03261464357, 32.2461587230247),"2022-05-19 14:28:08 UTC",1644.77509607775
"1.17","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.032614653416, 32.2461578467382),"2022-05-19 14:28:08 UTC",1644.83217260164
"1.18","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.032616662613, 32.245979028465),"2022-10-14 02:22:12 UTC",1656.6625212574
"1.19","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.032616657552, 32.2459794789268),"2022-10-14 02:22:12 UTC",1656.63226479725
"1.20","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.032617266141, 32.2459253144599),"2022-09-24 09:40:12 UTC",1660.28666916068
"1.21","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.032620196326, 32.2456616803234),"2022-11-09 19:59:17 UTC",1678.53354995548
