"","LINEARID","FULLNAME","RTTYP","MTFCC","STATEFP","COUNTYFP","id","area","geometry","Cross_Times","Passage_Distances"
"1","1101299335193","W Pla del Risco","M","S1400","04","019","id",2.040521108e-06,c(-111.085248029652, 32.2846050546393),"2021-10-10 08:18:06 UTC",5006.64499382378
"2","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.102647921283, 32.2742222880352),"2021-10-04 08:58:07 UTC",7253.1503324871
"2.1","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.102637106113, 32.2742224749827),"2022-05-05 12:46:06 UTC",7251.76146072438
"2.2","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.10263391468, 32.2742225301486),"2022-05-05 12:46:06 UTC",7251.35162100472
"2.3","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.102578942611, 32.274223480362),"2021-04-14 11:39:10 UTC",7244.29221270201
"2.4","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.102549198686, 32.2742239944872),"2022-02-26 05:06:07 UTC",7240.47258145847
"2.5","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.102505890067, 32.2742247430665),"2021-05-19 11:50:12 UTC",7234.91104423736
"2.6","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.102323117715, 32.2742279020804),"2022-05-20 09:31:09 UTC",7211.44051995555
"2.7","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.102300907154, 32.274228285947),"2021-07-22 01:57:11 UTC",7208.58842263242
"2.8","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.102365724228, 32.2742271656984),"2022-04-16 03:56:05 UTC",7216.91172720952
"2.9","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.102119029162, 32.2742314292095),"2022-03-05 07:09:07 UTC",7185.23355340151
"2.10","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.102115483414, 32.2742314904854),"2022-03-05 07:09:07 UTC",7184.7782528075
"2.11","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.102088665963, 32.2742319539288),"2021-05-07 16:39:08 UTC",7181.3346994424
"2.12","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.103801205537, 32.2742023474502),"2021-05-06 03:59:12 UTC",7401.26776517771
"2.13","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.103809758017, 32.2742021995365),"2021-08-10 03:41:19 UTC",7402.36626984769
"2.14","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.103876422426, 32.2742010465663),"2021-11-17 19:04:14 UTC",7410.9288845989
"2.15","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.103862724445, 32.2742012834776),"2022-03-13 21:13:12 UTC",7409.16945976456
"2.16","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.103896231323, 32.2742007039619),"2021-09-22 01:52:56 UTC",7413.47322708006
"2.17","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.103939388292, 32.2741999575308),"2021-07-29 12:09:08 UTC",7419.01652638227
"2.18","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.104157817524, 32.274196179413),"2021-11-22 14:52:06 UTC",7447.07324478981
"2.19","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.104158353349, 32.2741961701445),"2021-11-22 14:52:06 UTC",7447.14207134904
"2.20","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.104159992172, 32.2741961417967),"2021-11-22 14:52:06 UTC",7447.35257792821
"2.21","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.104114096865, 32.2741969356688),"2021-08-22 08:44:05 UTC",7441.45735451332
"2.22","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.104053613761, 32.2741979818473),"2021-02-16 07:45:06 UTC",7433.68840066437
"2.23","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.104002922985, 32.2741988586253),"2021-04-07 10:03:07 UTC",7427.17731064239
"2.24","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.103709397432, 32.2742039352205),"2022-05-09 21:05:04 UTC",7389.47576508931
"2.25","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.103718381697, 32.2742037798456),"2022-02-06 14:53:10 UTC",7390.62971292988
"2.26","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.103750952623, 32.2742032165548),"2021-05-06 03:55:12 UTC",7394.81316855295
"2.27","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.10378585386, 32.2742026129536),"2022-06-02 21:22:07 UTC",7399.29595608618
"2.28","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.103783233763, 32.2742026582673),"2022-06-02 21:22:07 UTC",7398.95942459181
"2.29","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.103777718437, 32.274202753653),"2022-05-26 21:19:08 UTC",7398.25102324597
"2.30","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.103608812139, 32.2742056747111),"2021-06-08 14:32:12 UTC",7376.55660103863
"2.31","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.103572910106, 32.2742062955704),"2022-03-07 10:33:15 UTC",7371.94539705182
"2.32","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.103518446866, 32.2742072373919),"2022-06-10 16:08:07 UTC",7364.95026910888
"2.33","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.103510813204, 32.2742073693973),"2022-06-10 16:09:07 UTC",7363.96982463424
"2.34","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.103201350946, 32.2742127204013),"2021-10-14 11:11:07 UTC",7324.22442828554
"2.35","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.103207477488, 32.2742126144728),"2022-03-25 19:13:01 UTC",7325.01126395502
"2.36","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.103280497864, 32.2742113519203),"2021-04-02 07:05:14 UTC",7334.3893766546
"2.37","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.103334946867, 32.2742104104471),"2021-12-23 20:25:09 UTC",7341.38241234
"2.38","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.103338948179, 32.2742103412599),"2021-12-23 20:25:09 UTC",7341.89631416552
"2.39","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.103341851998, 32.2742102910494),"2022-05-15 22:47:08 UTC",7342.26926161161
"2.40","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.103409039329, 32.274209129283),"2022-06-19 09:55:16 UTC",7350.89840899972
"2.41","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.103162145508, 32.2742133982603),"2022-06-02 13:32:07 UTC",7319.18926741607
"2.42","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.103161868515, 32.2742134030495),"2022-06-02 13:32:07 UTC",7319.1536932769
"2.43","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.103081317753, 32.2742147957277),"2022-01-13 00:48:06 UTC",7308.80864582598
"2.44","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.10305501403, 32.2742152504935),"2021-07-17 15:05:05 UTC",7305.43051617024
"2.45","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.10304942972, 32.27421534704),"2021-07-17 15:05:05 UTC",7304.71333727624
"2.46","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.102989340853, 32.274216385895),"2022-06-10 19:52:07 UTC",7296.99631646387
"2.47","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.102887209287, 32.2742181515457),"2021-03-01 03:01:11 UTC",7283.88005953334
"2.48","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.102877575198, 32.2742183180956),"2022-02-12 15:34:11 UTC",7282.64281196784
"2.49","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.102872288392, 32.2742184094913),"2021-03-01 03:03:11 UTC",7281.96386029033
"2.50","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.102861132983, 32.2742186023398),"2021-03-01 03:04:11 UTC",7280.53124253619
"2.51","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.102770348717, 32.2742201717307),"2022-05-07 08:15:05 UTC",7268.87249732751
"2.52","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.102788637307, 32.2742198555804),"2022-04-24 22:40:05 UTC",7271.22115043532
"2.53","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.102704091717, 32.2742213170768),"2021-04-06 11:47:06 UTC",7260.36371571561
"2.54","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.105339766075, 32.2741763755105),"2021-05-06 10:20:09 UTC",7598.89632574999
"2.55","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.105389281426, 32.2741755472835),"2021-12-16 08:25:09 UTC",7605.25719700347
"2.56","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.105413092444, 32.2741751489975),"2022-02-01 03:11:09 UTC",7608.31603876136
"2.57","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.105410958458, 32.2741751846928),"2022-02-01 03:11:09 UTC",7608.04189942941
"2.58","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.105399173496, 32.2741753818198),"2021-07-08 11:26:09 UTC",7606.52796355104
"2.59","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.105484413253, 32.2741658532442),"2022-04-18 15:29:09 UTC",7617.61985113888
"2.60","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.105469485569, 32.2741680409217),"2022-03-25 07:28:06 UTC",7615.66829752131
"2.61","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.105539882697, 32.2741580123873),"2021-10-17 14:53:05 UTC",7624.86655152928
"2.62","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.105568012679, 32.2741581974663),"2022-01-24 01:13:07 UTC",7628.46873024013
"2.63","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.105623633565, 32.2741585634012),"2021-12-24 13:26:06 UTC",7635.5913235256
"2.64","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.105276060263, 32.2741774410681),"2021-10-11 13:49:06 UTC",7590.71257790669
"2.65","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.105256916041, 32.2741777612724),"2022-04-08 17:39:05 UTC",7588.25329611216
"2.66","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.105218619596, 32.2741784018062),"2022-06-01 00:44:09 UTC",7583.33372523877
"2.67","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.105163451886, 32.2741793245028),"2021-10-01 21:55:16 UTC",7576.2469157236
"2.68","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.105180450362, 32.2741790402007),"2022-05-08 00:50:05 UTC",7578.43052321922
"2.69","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.105127096984, 32.2741799325364),"2021-10-21 15:30:08 UTC",7571.57681911292
"2.70","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.10506982614, 32.2741808903668),"2021-11-09 20:05:06 UTC",7564.21994202349
"2.71","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.105050340822, 32.2741812162445),"2022-02-03 04:52:04 UTC",7561.71691825819
"2.72","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.105046102492, 32.2741812871271),"2022-02-03 04:52:04 UTC",7561.17247641383
"2.73","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.104908923642, 32.2741835812538),"2021-07-26 22:46:17 UTC",7543.55111996282
"2.74","1101299533024","W Wasson Vista Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.104917526855, 32.2741834373814),"2021-07-26 22:46:17 UTC",7544.65623804976
