"","LINEARID","FULLNAME","RTTYP","MTFCC","STATEFP","COUNTYFP","id","area","geometry","Cross_Times","Passage_Distances"
"1","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.032631764006, 32.2443087578043),"2023-11-30 13:37:16 UTC",1783.0733360076
"2","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.039794549632, 32.2373499109218),"2023-12-31 17:19:08 UTC",2222.21819354251
"2.1","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.034629174212, 32.235979770082),"2023-12-31 21:34:10 UTC",1555.43591189882
"2.2","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.029859787579, 32.2359625980994),"2023-12-08 22:39:18 UTC",939.054114722853
"2.3","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.028370496115, 32.2359614710153),"2023-12-03 06:30:07 UTC",746.576932179613
"2.4","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.024121223302, 32.235954881917),"2023-12-03 08:16:07 UTC",197.379177871722
"2.5","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.023718358058, 32.2359523329422),"2023-03-23 11:40:12 UTC",145.309178252998
"2.6","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.023413957844, 32.2359504061192),"2023-04-12 15:02:08 UTC",105.966243433747
"2.7","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.023294545618, 32.2359496500525),"2023-03-23 13:19:12 UTC",90.5328452289378
"2.8","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.023205237673, 32.2359490845197),"2023-04-12 14:54:07 UTC",78.9904949296463
"2.9","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.019236871525, 32.2359305657173),"2023-12-09 06:16:09 UTC",308.784146175097
"2.10","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.012348121352, 32.2358918582114),"2024-01-06 17:02:20 UTC",914.308567670095
"2.11","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.0103793531, 32.2354353429389),"2024-01-06 21:37:32 UTC",659.278365059327
"3","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.030410496232, 32.2525383905049),"2023-12-02 22:07:13 UTC",1240.11240367359
"3.1","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.030578406937, 32.2524400146051),"2023-03-13 11:04:09 UTC",1258.02268007467
"3.2","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.030519824416, 32.2524742594697),"2023-03-13 11:03:09 UTC",1251.73750072166
"3.3","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.030662054132, 32.2523919061044),"2023-01-29 01:42:10 UTC",1267.08275481468
"3.4","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.030691563967, 32.2523749339147),"2023-02-02 07:27:11 UTC",1270.29562431672
"3.5","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.030974687537, 32.2522120984852),"2024-01-05 14:26:22 UTC",1301.54522316269
"3.6","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.031018290924, 32.2521870203654),"2023-12-01 12:02:09 UTC",1306.42421250044
"3.7","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.031017143033, 32.2521876805656),"2023-12-01 12:02:09 UTC",1306.29554905591
"3.8","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.031090939134, 32.2521452372966),"2023-12-24 17:50:15 UTC",1314.59113298616
"3.9","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.031075038915, 32.2521543821943),"2023-02-04 07:43:08 UTC",1312.79965051184
"3.10","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.031068348465, 32.2521582301577),"2023-02-04 07:43:08 UTC",1312.0465062813
"3.11","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.031985310308, 32.2517134256718),"2023-03-31 18:12:11 UTC",1420.0150562869
"3.12","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.032112031781, 32.251698444053),"2023-04-17 09:41:10 UTC",1436.0480113043
"3.13","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.032125392415, 32.2516983394785),"2023-12-03 01:37:15 UTC",1437.76276040591
"3.14","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.032633490961, 32.2516943615127),"2023-03-12 17:36:22 UTC",1502.99312352657
"3.15","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.032985904398, 32.2516980535239),"2023-02-19 20:07:10 UTC",1548.3528221654
"3.16","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.033284271661, 32.2517572839004),"2023-12-31 08:37:08 UTC",1587.60574472735
"3.17","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.033274532619, 32.2517541402786),"2023-12-31 08:37:08 UTC",1586.30560562825
"3.18","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.033136845799, 32.2517183509123),"2023-02-19 17:56:10 UTC",1568.06250122343
"3.19","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.033165772696, 32.2517258221095),"2023-02-19 17:57:10 UTC",1571.89381489611
