"","LINEARID","FULLNAME","RTTYP","MTFCC","STATEFP","COUNTYFP","id","area","geometry","Cross_Times","Passage_Distances"
"1","1101299623194","W Vuelta de Los Mineros","M","S1400","04","019","id",2.040521108e-06,c(-111.034204309446, 32.2716098158675),"2022-11-24 17:34:04 UTC",1970.40972442336
"1.1","1101299623194","W Vuelta de Los Mineros","M","S1400","04","019","id",2.040521108e-06,c(-111.034865808927, 32.2703173067425),"2022-11-24 17:18:07 UTC",2039.14405776591
"1.2","1101299623194","W Vuelta de Los Mineros","M","S1400","04","019","id",2.040521108e-06,c(-111.035669440892, 32.2698797391767),"2022-11-24 16:47:09 UTC",2016.57784376023
"2","1101299304133","Neosha St","M","S1400","04","019","id",2.040521108e-06,c(-111.027123216055, 32.2689562748072),"2022-11-30 09:21:09 UTC",1302.81387801648
"3","1101299425812","Silverbell Ln","M","S1400","04","019","id",2.040521108e-06,c(-111.027123216055, 32.2689562748072),"2022-11-30 09:21:09 UTC",1302.81387801648
"4","1106092775027","W Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.022677682367, 32.2798108550908),"2022-12-06 04:48:12 UTC",570.019315277622
"4.1","1106092775027","W Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.02262968733, 32.2798113587675),"2022-12-05 16:44:26 UTC",564.600371103862
"4.2","1106092775027","W Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.022623247551, 32.2798114263474),"2022-12-05 16:45:26 UTC",563.874500437248
"4.3","1106092775027","W Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.024888788007, 32.2797876312883),"2022-11-22 12:47:23 UTC",831.551394324335
"4.4","1106092775027","W Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.02481859361, 32.2797883691501),"2022-12-03 19:58:17 UTC",823.003567654598
"4.5","1106092775027","W Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.025111816029, 32.2797852866287),"2022-11-24 11:10:13 UTC",858.780644238784
"4.6","1106092775027","W Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.024493207303, 32.2797917890033),"2022-12-01 04:29:13 UTC",783.531806896561
"4.7","1106092775027","W Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.024516094636, 32.2797915484817),"2022-12-07 13:59:20 UTC",786.299579397586
"4.8","1106092775027","W Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.024710637681, 32.2797895038737),"2022-11-24 00:40:21 UTC",809.87931060831
"4.9","1106092775027","W Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.023770070194, 32.2797993862815),"2022-11-16 22:55:09 UTC",696.87723284656
"4.10","1106092775027","W Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.024188596764, 32.279794989744),"2022-11-21 18:09:08 UTC",746.83219886641
"4.11","1106092775027","W Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.025326291145, 32.2797830315147),"2022-11-20 13:45:13 UTC",885.0594980626
"4.12","1106092775027","W Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.025730840493, 32.2797787768646),"2022-11-20 23:23:13 UTC",934.850167193693
"4.13","1106092775027","W Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.026685192427, 32.2797687348228),"2022-11-29 06:13:11 UTC",1053.24940342202
"4.14","1106092775027","W Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.027041423965, 32.2797170421464),"2022-11-29 12:10:11 UTC",1099.6553580173
"4.15","1106092775027","W Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.028610883046, 32.2798418170972),"2022-11-17 22:44:11 UTC",1291.78930495774
"4.16","1106092775027","W Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.034952927662, 32.2797366083247),"2022-11-24 14:30:08 UTC",1428.3430528073
"4.17","1106092775027","W Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.022029866805, 32.279817651962),"2022-11-22 17:14:11 UTC",498.410777595414
"5","1101299616115","W Viacampana Dr Oro","M","S1400","04","019","id",2.040521108e-06,c(-111.035865826243, 32.2745835755389),"2022-11-24 15:49:05 UTC",1533.13290508594
"6","1101299606299","W Via Campana de Cobre","M","S1400","04","019","id",2.040521108e-06,c(-111.035813985308, 32.2736310074365),"2022-11-24 16:01:06 UTC",1618.47756444066
"7","1101299304134","W Neosha St","M","S1400","04","019","id",2.040521108e-06,c(-111.028578067756, 32.2688776408504),"2022-11-30 08:42:11 UTC",1423.5620577354
"8","1101299425908","N Silverbell Ln","M","S1400","04","019","id",2.040521108e-06,c(-111.028460944147, 32.2681724257296),"2022-11-30 09:04:09 UTC",1340.49498168752
"8.1","1101299425908","N Silverbell Ln","M","S1400","04","019","id",2.040521108e-06,c(-111.028760215438, 32.2680771364367),"2022-11-30 08:58:10 UTC",1360.88698308453
"8.2","1101299425908","N Silverbell Ln","M","S1400","04","019","id",2.040521108e-06,c(-111.028548441226, 32.2681206904845),"2022-11-30 09:03:09 UTC",1344.01984745536
"9","1102159688451","W Boyer Ln","M","S1400","04","019","id",2.040521108e-06,c(-111.035960577366, 32.2760886125542),"2022-11-24 15:31:04 UTC",1416.63050827179
"10","1101299575232","W Via Campana de Oro","M","S1400","04","019","id",2.040521108e-06,c(-111.035865826243, 32.2745835755389),"2022-11-24 15:49:05 UTC",1533.13290508594
"11","1104259614391","N Ave Albor","M","S1400","04","019","id",2.040521108e-06,c(-111.035696970747, 32.2708214403492),"2022-11-24 16:36:08 UTC",1909.22258655042
"12","1101299368197","Riverpark Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.018858188697, 32.2753699803767),"2022-11-28 07:39:17 UTC",834.981333220607
"12.1","1101299368197","Riverpark Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.018897634556, 32.2753775754953),"2022-11-27 05:58:18 UTC",834.406926472311
"12.2","1101299368197","Riverpark Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.020088414855, 32.2756068483921),"2022-11-26 09:57:11 UTC",832.451908158047
"12.3","1101299368197","Riverpark Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.020202035737, 32.2756287243177),"2022-11-25 06:28:15 UTC",833.824976115072
"12.4","1101299368197","Riverpark Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.020291365353, 32.2756459232607),"2022-11-27 19:42:10 UTC",835.093265451858
"12.5","1101299368197","Riverpark Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.020362488292, 32.275659616759),"2022-11-28 09:43:18 UTC",836.221339639897
"13","1102223144470","N Silverbell Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.031530150164, 32.2769222585117),"2022-11-24 18:38:54 UTC",1790.19260102476
"13.1","1102223144470","N Silverbell Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.029381601104, 32.274993304927),"2022-11-17 16:41:00 UTC",1696.7280616636
"13.2","1102223144470","N Silverbell Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.028578240198, 32.2741180614715),"2022-11-17 14:44:59 UTC",1689.41607709404
"13.3","1102223144470","N Silverbell Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.02639283834, 32.271670209814),"2022-11-27 12:16:10 UTC",1592.30264369156
"13.4","1102223144470","N Silverbell Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.025505839486, 32.2706770265491),"2022-11-27 10:14:10 UTC",1405.47418433789
