"","LINEARID","FULLNAME","RTTYP","MTFCC","STATEFP","COUNTYFP","id","area","geometry","Cross_Times","Passage_Distances"
"1","1103542463729","N Siskiyou Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.104660910033, 32.3525057025688),"2024-03-25 14:12:15 UTC",333.799206020865
"2","1101299310785","Siskiyou Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.104660910033, 32.3525057025688),"2024-03-25 14:12:15 UTC",333.799206020865
"3","1101299310988","Tuzigoot Way","M","S1400","04","019","id",2.040521108e-06,c(-111.105441398244, 32.3524279703946),"2024-03-05 13:44:14 UTC",234.544064074605
"4","1101299310378","N Panamint Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.101361463113, 32.3510951982858),"2024-03-25 15:57:10 UTC",248.542187255262
"4.1","1101299310378","N Panamint Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.10141061839, 32.3510200992563),"2024-03-06 10:33:15 UTC",235.695762160636
"4.2","1101299310378","N Panamint Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.101071192094, 32.3516152481463),"2024-03-12 12:18:19 UTC",335.53935478355
"4.3","1101299310378","N Panamint Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.101861448232, 32.3503657103547),"2024-03-10 14:19:15 UTC",124.988465801269
"4.4","1101299310378","N Panamint Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.100844148376, 32.3523198514788),"2024-04-09 14:22:09 UTC",445.992703746497
"4.5","1101299310378","N Panamint Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.100750583668, 32.3526457231024),"2024-04-12 19:32:16 UTC",496.656708939952
"5","1103542473879","N Black Pine Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.099368204763, 32.3656819681881),"2024-04-20 14:43:17 UTC",1587.14048367447
"5.1","1103542473879","N Black Pine Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.099641467876, 32.3654958368541),"2024-04-08 13:22:12 UTC",1596.47183821014
"5.2","1103542473879","N Black Pine Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.099641676849, 32.3654956945127),"2024-04-08 13:22:12 UTC",1596.47944154798
"5.3","1103542473879","N Black Pine Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.0992680072, 32.3657502167457),"2023-12-26 12:39:16 UTC",1584.02739072049
