"","LINEARID","FULLNAME","RTTYP","MTFCC","STATEFP","COUNTYFP","id","area","geometry","Cross_Times","Passage_Distances"
"1","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.047034229665, 32.2647477321313),"2023-06-16 16:18:12 UTC",2294.26348630497
"1.1","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.047034680092, 32.2647315166991),"2023-06-09 07:57:17 UTC",2296.72731169757
"1.2","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.047034436249, 32.2647402950886),"2023-06-16 16:18:12 UTC",2295.3934942848
"1.3","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.047034900084, 32.2647235969692),"2023-06-09 07:57:17 UTC",2297.93066239706
"1.4","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.047032971387, 32.2647930301773),"2023-08-03 20:06:15 UTC",2287.38077213611
"1.5","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.04702485501, 32.2651297786582),"2023-07-21 08:15:20 UTC",2236.22438934293
"1.6","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.047053854011, 32.2645822774144),"2024-01-08 04:30:10 UTC",2319.51450193255
"1.7","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.047101983569, 32.2644199216279),"2023-08-06 11:30:11 UTC",2344.51278082619
"1.8","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.047100839631, 32.2644229028017),"2023-08-06 11:30:11 UTC",2344.05167098349
"1.9","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.047138274224, 32.2643412770096),"2023-08-17 17:10:08 UTC",2356.72760638678
"1.10","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.047279901422, 32.2641235929955),"2023-11-04 05:02:09 UTC",2390.9282100681
"1.11","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.047430217995, 32.2639791141928),"2023-09-20 14:58:10 UTC",2414.22522178302
"1.12","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.047364569434, 32.2640339641986),"2024-01-14 21:34:11 UTC",2405.28488323815
"1.13","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049145092351, 32.261101878499),"2023-05-16 12:14:09 UTC",2873.04081399019
"1.14","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049145725152, 32.2610540851343),"2023-05-16 12:14:09 UTC",2880.25214628603
"1.15","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049173132465, 32.2611757680862),"2023-03-14 18:07:10 UTC",2862.38638056652
"1.16","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049178928824, 32.2611910422811),"2023-06-05 06:59:11 UTC",2860.18393536447
"1.17","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049189932793, 32.2612200392198),"2023-02-08 03:48:07 UTC",2856.00275632001
"1.18","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049202242011, 32.2612524756448),"2023-10-24 02:46:11 UTC",2851.3256271365
"1.19","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049226614978, 32.2613114133085),"2023-01-31 04:21:07 UTC",2842.86138606225
"1.20","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.04923967867, 32.2613378187148),"2023-01-31 04:21:07 UTC",2839.10574923309
"1.21","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049310838043, 32.2614816515829),"2023-11-24 10:29:11 UTC",2818.64845480275
"1.22","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049332560505, 32.2615255586158),"2023-11-24 10:30:11 UTC",2812.40358490893
"1.23","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049334684737, 32.2615298522677),"2023-09-08 00:20:11 UTC",2811.79290176091
"1.24","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.04934825186, 32.2615572751047),"2023-12-18 08:29:09 UTC",2807.89257163364
"1.25","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049355249894, 32.2615714200247),"2023-12-18 08:29:09 UTC",2805.88075074103
"1.26","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049392526845, 32.2617184799272),"2023-12-08 22:03:12 UTC",2784.36004113116
"1.27","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049391778766, 32.2617040362161),"2023-12-08 22:03:12 UTC",2786.52336448692
"1.28","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049387955634, 32.2616785350042),"2023-06-06 15:55:12 UTC",2790.30020148023
"1.29","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049379894158, 32.2616508236979),"2024-01-09 21:42:16 UTC",2794.33779361954
"1.30","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049373760783, 32.2616297402253),"2024-01-09 21:42:16 UTC",2797.40969852504
"1.31","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049396430697, 32.2617938543947),"2022-12-05 02:29:16 UTC",2773.07075027928
"1.32","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.04939651343, 32.2617954517878),"2022-12-05 02:29:16 UTC",2772.83149915025
"1.33","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049396718769, 32.2617994164078),"2023-10-21 06:03:07 UTC",2772.23769428944
"1.34","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049402540285, 32.2619118163506),"2022-12-05 19:33:13 UTC",2755.40289438427
"1.35","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049402388034, 32.2619088767229),"2022-12-05 19:33:13 UTC",2755.84317939982
"1.36","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049401414844, 32.2619591301689),"2023-06-07 14:14:19 UTC",2748.25550145472
"1.37","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049356827492, 32.2622058915807),"2023-08-22 09:52:10 UTC",2710.31917707765
"1.38","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049383872834, 32.2620936813659),"2023-08-29 14:40:12 UTC",2727.68537198514
"1.39","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049390119911, 32.2620505837055),"2023-03-07 22:32:20 UTC",2734.28482625723
"1.40","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049392169185, 32.2620312619801),"2023-03-07 22:31:20 UTC",2737.23071824141
"1.41","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049331619723, 32.2622871524846),"2023-06-09 08:40:11 UTC",2697.64705779058
"1.42","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049306053005, 32.2623544040899),"2024-01-17 19:58:12 UTC",2687.07943414302
"1.43","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049253331473, 32.2624762759934),"2023-08-10 11:29:11 UTC",2667.8201312764
"1.44","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049217724679, 32.262540385383),"2023-05-30 15:26:09 UTC",2657.55482289431
"1.45","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049192779126, 32.2625852093928),"2023-06-29 22:35:12 UTC",2650.37667037903
