"","LINEARID","FULLNAME","RTTYP","MTFCC","STATEFP","COUNTYFP","id","area","geometry","Cross_Times","Passage_Distances"
"1","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.047030327292, 32.2648882175931),"2022-10-17 15:10:06 UTC",2272.91781206124
"1.1","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.047025516592, 32.2650988496962),"2022-08-24 13:38:15 UTC",2240.92218861367
"1.2","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.047119302414, 32.2643777326254),"2022-08-24 13:56:15 UTC",2351.04780459089
"1.3","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.047162318213, 32.2642950748147),"2022-11-10 08:17:58 UTC",2363.9286285237
"1.4","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049145512111, 32.261059631713),"2022-06-04 13:06:06 UTC",2879.41286841035
"1.5","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049149746336, 32.260949392207),"2022-07-11 09:42:07 UTC",2896.09371516034
"1.6","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049147144943, 32.2610171204092),"2022-06-04 13:07:06 UTC",2885.84544705174
"1.7","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049179011883, 32.2611912611519),"2022-08-22 17:05:11 UTC",2860.1523755495
"1.8","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.04919376797, 32.2612301454232),"2022-12-16 19:18:16 UTC",2854.54550485231
"1.9","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.04920162858, 32.2612508591725),"2022-12-16 19:18:16 UTC",2851.55871224981
"1.10","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049230579807, 32.2613194273485),"2022-05-16 14:08:08 UTC",2841.72155021091
"1.11","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049347958205, 32.2615566815487),"2022-08-03 12:36:17 UTC",2807.97699265595
"1.12","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049383759433, 32.2616641105752),"2022-06-08 20:35:07 UTC",2792.4018690898
"1.13","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049395459792, 32.2617751084435),"2022-08-20 23:48:07 UTC",2775.87844402634
"1.14","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049395640522, 32.2617785979372),"2022-08-20 23:48:07 UTC",2775.35580153414
"1.15","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049400245847, 32.261967780746),"2022-04-19 15:13:08 UTC",2746.9323024583
"1.16","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049395708071, 32.2620013602862),"2022-06-21 14:40:13 UTC",2741.79595080235
"1.17","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049350442865, 32.262227501093),"2022-05-02 10:53:12 UTC",2706.95474359718
"1.18","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049366529117, 32.2621695601306),"2022-05-26 14:15:07 UTC",2715.95810676343
"1.19","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049358458489, 32.2622003712823),"2022-05-02 10:53:12 UTC",2711.17864478582
"1.20","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049322172944, 32.2623120016421),"2022-06-01 13:51:09 UTC",2693.74236956157
"1.21","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049173819114, 32.2626158131718),"2022-07-27 07:08:11 UTC",2645.44289646029
