"","LINEARID","FULLNAME","RTTYP","MTFCC","STATEFP","COUNTYFP","id","area","geometry","Cross_Times","Passage_Distances"
"1","1102155666158","S Antelope Meadows Loop","M","S1400","04","019","id",2.040521108e-06,c(-111.035367050142, 32.2078119299564),"2023-03-04 21:12:04 UTC",1193.03506766832
"1.1","1102155666158","S Antelope Meadows Loop","M","S1400","04","019","id",2.040521108e-06,c(-111.03556675721, 32.2077563831739),"2023-04-29 10:16:10 UTC",1176.39575327008
"1.2","1102155666158","S Antelope Meadows Loop","M","S1400","04","019","id",2.040521108e-06,c(-111.035501519338, 32.207767696074),"2023-11-06 21:21:09 UTC",1182.37424491289
"1.3","1102155666158","S Antelope Meadows Loop","M","S1400","04","019","id",2.040521108e-06,c(-111.035489518162, 32.207770515602),"2023-11-06 21:20:09 UTC",1183.41432098879
"1.4","1102155666158","S Antelope Meadows Loop","M","S1400","04","019","id",2.040521108e-06,c(-111.035490375735, 32.2077702256006),"2023-11-06 21:20:09 UTC",1183.34754198301
"2","1101299311103","W Windstar Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.024162382714, 32.205603375044),"2023-09-19 10:22:12 UTC",1636.98074533234
"2.1","1101299311103","W Windstar Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.024244, 32.2055022721414),"2023-09-19 10:18:12 UTC",1644.27969138527
"2.2","1101299311103","W Windstar Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.024244, 32.2054953722029),"2023-11-30 01:54:14 UTC",1644.07742781733
"2.3","1101299311103","W Windstar Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.024244, 32.2054878559166),"2023-12-22 01:58:14 UTC",1643.85783109513
"2.4","1101299311103","W Windstar Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.024244, 32.2054306531585),"2023-04-09 22:45:02 UTC",1642.21171018817
"2.5","1101299311103","W Windstar Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.024244, 32.2054103277954),"2023-02-11 22:38:17 UTC",1641.63751712251
"2.6","1101299311103","W Windstar Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.024244, 32.2053995321711),"2023-02-11 22:38:17 UTC",1641.33482662062
"2.7","1101299311103","W Windstar Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.024244, 32.2053995610057),"2023-02-11 22:38:17 UTC",1641.33563297813
