"","LINEARID","FULLNAME","RTTYP","MTFCC","STATEFP","COUNTYFP","id","area","geometry","Cross_Times","Passage_Distances"
"1","1106093131105","Congress Te","M","S1400","04","019","id",2.040521108e-06,c(-110.99411607457, 32.2185425257725),"2021-01-16 21:25:16 UTC",1432.78921949263
"1.1","1106093131105","Congress Te","M","S1400","04","019","id",2.040521108e-06,c(-110.994391147709, 32.2185975023755),"2021-01-16 16:54:16 UTC",1452.61295977193
"1.2","1106093131105","Congress Te","M","S1400","04","019","id",2.040521108e-06,c(-110.994572169376, 32.2200628425275),"2020-11-23 19:44:29 UTC",1328.72631284157
"1.3","1106093131105","Congress Te","M","S1400","04","019","id",2.040521108e-06,c(-110.994582490111, 32.2197485771263),"2020-12-21 17:35:14 UTC",1358.1809021944
"1.4","1106093131105","Congress Te","M","S1400","04","019","id",2.040521108e-06,c(-110.994584516119, 32.219686885116),"2020-12-21 18:44:13 UTC",1364.08528907764
"1.5","1106093131105","Congress Te","M","S1400","04","019","id",2.040521108e-06,c(-110.994590040676, 32.2195186617802),"2020-12-08 16:04:14 UTC",1380.38178825599
"2","1108310996133",NA,NA,"S1400","04","019","id",2.040521108e-06,c(-111.026360650072, 32.2239323018614),"2021-01-11 23:26:19 UTC",550.686179467553
"3","1101299455183","N Desert Park Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.031973062872, 32.2247008305628),"2020-11-25 00:19:17 UTC",170.763241790016
"3.1","1101299455183","N Desert Park Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.032704017225, 32.2233903716707),"2020-11-25 04:58:22 UTC",353.010103834535
"4","1101299474080","Quail Point Ct","M","S1400","04","019","id",2.040521108e-06,c(-111.036893503224, 32.2060698656378),"2021-01-18 06:38:08 UTC",1220.69048264297
"5","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.993841562701, 32.2162178560988),"2020-11-28 12:18:12 UTC",1463.48941503528
"5.1","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.994236314993, 32.2157165244947),"2020-11-22 14:42:10 UTC",1527.34347225488
"5.2","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.99470290441, 32.2152491706689),"2020-11-26 22:50:22 UTC",1484.21924866135
"5.3","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.994976875187, 32.2150566319642),"2020-12-09 03:10:21 UTC",1458.77299562276
"5.4","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.995117084152, 32.2149588872415),"2021-01-05 05:29:14 UTC",1446.26208112842
"5.5","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.996828666418, 32.2140525343476),"2021-01-25 19:06:15 UTC",1359.38271176746
"5.6","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.996602497362, 32.2141570078684),"2021-01-03 08:36:10 UTC",1366.09581685897
"5.7","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.997463585215, 32.2138480971297),"2020-12-17 17:51:08 UTC",1357.35835486909
"5.8","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.997428574059, 32.2138593704626),"2021-01-03 02:20:10 UTC",1357.32203912248
"5.9","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.99324557134, 32.2176415155371),"2021-01-29 04:55:10 UTC",1368.42570609923
"5.10","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.99325579996, 32.2172000243389),"2020-11-28 20:43:17 UTC",1372.00250662539
"5.11","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.99346254974, 32.2167163157713),"2020-12-24 22:15:11 UTC",1404.81083689978
"5.12","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.99340671817, 32.2168086089197),"2020-11-22 06:11:10 UTC",1396.16326834611
"5.13","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.99337054474, 32.2168684057948),"2020-12-24 19:40:11 UTC",1390.62751634779
"5.14","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.993282420505, 32.2178359972174),"2020-12-08 20:27:17 UTC",1373.24307951596
"5.15","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.999481541067, 32.2134429758746),"2021-01-25 11:26:16 UTC",1419.70264643937
"5.16","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.999482088463, 32.2134459865506),"2021-01-25 11:26:16 UTC",1420.12843434437
"5.17","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.999482222264, 32.2135397766062),"2020-12-17 10:54:11 UTC",1432.25172769163
"5.18","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.99933223133, 32.2137725893969),"2021-01-28 21:43:14 UTC",1452.58777743651
"5.19","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.999255032266, 32.2129773689533),"2020-12-11 11:38:11 UTC",1344.17668853515
"5.20","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.99922804238, 32.2129305128881),"2021-01-28 15:15:15 UTC",1336.29050101327
"5.21","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.999108997759, 32.2127116380778),"2020-11-23 12:06:19 UTC",1299.95391134145
"5.22","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.999113568411, 32.2127275401117),"2020-12-11 01:36:08 UTC",1302.30718075817
"5.23","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.999094134546, 32.2126599265207),"2020-12-16 03:20:12 UTC",1292.30491001898
"5.24","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.999078226103, 32.2126045783705),"2020-12-15 22:37:09 UTC",1284.12410791464
"5.25","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.999043948168, 32.2124509783426),"2020-12-11 02:13:08 UTC",1262.15977054843
"5.26","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.999021375355, 32.2121310974635),"2020-12-09 12:35:10 UTC",1220.21797594179
"5.27","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.999026755309, 32.2113998701816),"2020-12-05 06:33:15 UTC",1130.91708473861
"5.28","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.999026431747, 32.2114307705065),"2021-01-09 14:35:15 UTC",1134.60462749249
"5.29","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.999027391367, 32.2113391263884),"2020-12-30 14:50:15 UTC",1123.69018936865
"5.30","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.999027037153, 32.2113729540084),"2021-01-09 09:20:14 UTC",1127.71114463859
"5.31","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.999027779804, 32.2113020304887),"2021-01-05 11:16:07 UTC",1119.29134927752
"5.32","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.99902808682, 32.2112727101968),"2020-12-30 12:25:15 UTC",1115.82247377121
"5.33","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.999029068817, 32.2111789288406),"2021-01-11 04:35:12 UTC",1104.77505378886
"5.34","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.999028926984, 32.2111924740195),"2020-12-16 08:45:18 UTC",1106.36611751823
"5.35","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.999029150197, 32.2111711569861),"2021-01-11 04:35:12 UTC",1103.86284664381
"5.36","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.999029523608, 32.2110846092595),"2020-12-19 12:33:15 UTC",1093.69563984271
"5.37","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.999029063437, 32.2110794020697),"2020-12-19 12:33:15 UTC",1093.04626614863
"5.38","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.998871381833, 32.2105727548255),"2020-12-30 06:05:16 UTC",1021.12780699389
"5.39","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.998501239129, 32.2100532531015),"2020-12-05 10:02:14 UTC",930.305145883003
"6","1101299302234","W Tinna Pl","M","S1400","04","019","id",2.040521108e-06,c(-110.99433963654, 32.2151819475676),"2020-11-26 22:53:22 UTC",1470.46417319448
"6.1","1101299302234","W Tinna Pl","M","S1400","04","019","id",2.040521108e-06,c(-110.994547213352, 32.2152203241308),"2020-11-26 22:51:22 UTC",1478.14271207515
"7","1101299307052","S Melwood Ave","M","S1400","04","019","id",2.040521108e-06,c(-110.986351168315, 32.2153470296769),"2020-11-23 16:02:28 UTC",598.151341323469
"8","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.035532290531, 32.2242532559544),"2020-11-25 01:59:20 UTC",635.443038269689
"8.1","1103678574292","W Bird Haven Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.035922827994, 32.2242923887454),"2020-11-28 04:39:12 UTC",684.359842023929
"9","1101299300961","W Cedar St","M","S1400","04","019","id",2.040521108e-06,c(-110.994971021427, 32.2182389481796),"2020-11-25 14:09:18 UTC",1544.64962907042
"10","1101299413445","S No Le Hace Ave","M","S1400","04","019","id",2.040521108e-06,c(-111.027762031667, 32.2025745551812),"2021-01-05 17:58:51 UTC",2071.68284376126
"11","1103678574414","W Foxes Den Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.038396305005, 32.2190759020381),"2020-11-28 02:42:10 UTC",204.660746461665
"12","1102640071111","W Quail Haven Ci","M","S1400","04","019","id",2.040521108e-06,c(-111.039675599197, 32.2158168162728),"2020-12-12 16:35:12 UTC",423.247241399957
"13","1101299561854","Saguaro Ridge Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.036341486932, 32.2126154403496),"2020-12-28 23:27:10 UTC",811.140417418683
"13.1","1101299561854","Saguaro Ridge Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.03633761026, 32.2126136434404),"2020-12-28 23:27:10 UTC",811.498642636676
"13.2","1101299561854","Saguaro Ridge Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.036310448773, 32.2126010535846),"2020-12-16 23:00:23 UTC",814.015317916859
"13.3","1101299561854","Saguaro Ridge Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.03619717459, 32.2125485487878),"2021-01-25 04:23:14 UTC",824.637240127579
"13.4","1101299561854","Saguaro Ridge Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.03652388642, 32.2127155420344),"2021-01-17 23:16:12 UTC",792.228647478143
"13.5","1101299561854","Saguaro Ridge Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.036544360725, 32.2127302353492),"2021-01-17 23:15:12 UTC",789.619979094716
"13.6","1101299561854","Saguaro Ridge Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.036914832855, 32.2128532159299),"2021-01-25 01:25:13 UTC",765.261492510369
"13.7","1101299561854","Saguaro Ridge Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.037066925967, 32.2128912732716),"2020-12-29 02:36:08 UTC",757.933419365901
"14","1101299302880","N Ave Carina","M","S1400","04","019","id",2.040521108e-06,c(-111.0101516914, 32.2279258296079),"2021-01-04 21:24:11 UTC",570.824363084235
"15","1101299309279","W Cll del Ocio","M","S1400","04","019","id",2.040521108e-06,c(-111.008990945214, 32.2260497637316),"2020-12-23 17:27:10 UTC",276.103531337387
"15.1","1101299309279","W Cll del Ocio","M","S1400","04","019","id",2.040521108e-06,c(-111.008191803804, 32.2262459337436),"2020-12-23 22:29:10 UTC",211.071074758147
"16","11010888857638",NA,NA,"S1640","04","019","id",2.040521108e-06,c(-111.035828729389, 32.2190819108383),"2020-11-24 19:37:14 UTC",237.540841402533
"16.1","11010888857638",NA,NA,"S1640","04","019","id",2.040521108e-06,c(-111.035606036558, 32.2180327280899),"2020-11-29 21:30:07 UTC",216.686170364493
"16.2","11010888857638",NA,NA,"S1640","04","019","id",2.040521108e-06,c(-111.035792400136, 32.217409568145),"2020-12-08 10:13:11 UTC",220.643953773152
"16.3","11010888857638",NA,NA,"S1640","04","019","id",2.040521108e-06,c(-111.035684817787, 32.2179193175811),"2020-12-08 11:13:11 UTC",208.375792468232
"16.4","11010888857638",NA,NA,"S1640","04","019","id",2.040521108e-06,c(-111.03711, 32.2149359720565),"2021-01-15 14:41:10 UTC",447.558013593733
"16.5","11010888857638",NA,NA,"S1640","04","019","id",2.040521108e-06,c(-111.03711, 32.2149697074942),"2020-12-06 06:15:19 UTC",442.453907638386
"16.6","11010888857638",NA,NA,"S1640","04","019","id",2.040521108e-06,c(-111.036796582472, 32.2156933276163),"2020-12-12 05:49:11 UTC",341.005938381849
"16.7","11010888857638",NA,NA,"S1640","04","019","id",2.040521108e-06,c(-111.036532265647, 32.2161678195057),"2020-12-15 09:19:05 UTC",284.357966116289
"16.8","11010888857638",NA,NA,"S1640","04","019","id",2.040521108e-06,c(-111.036131881397, 32.2168865641788),"2020-12-14 02:18:12 UTC",226.892064671999
"16.9","11010888857638",NA,NA,"S1640","04","019","id",2.040521108e-06,c(-111.036861520095, 32.2155683127199),"2020-12-15 15:37:10 UTC",357.538798769988
"16.10","11010888857638",NA,NA,"S1640","04","019","id",2.040521108e-06,c(-111.037026847811, 32.2151961711952),"2020-12-13 01:36:12 UTC",409.530987744971
"16.11","11010888857638",NA,NA,"S1640","04","019","id",2.040521108e-06,c(-111.037001077439, 32.215254178776),"2020-11-28 01:04:09 UTC",401.269915623601
"17","1101299533429","S Westmoreland Ave","M","S1400","04","019","id",2.040521108e-06,c(-110.99221111084, 32.2189181156867),"2021-01-16 20:49:16 UTC",1224.21968670327
"17.1","1101299533429","S Westmoreland Ave","M","S1400","04","019","id",2.040521108e-06,c(-110.992220769413, 32.218989299585),"2021-01-16 17:29:17 UTC",1216.65184143314
"17.2","1101299533429","S Westmoreland Ave","M","S1400","04","019","id",2.040521108e-06,c(-110.992085310902, 32.2180110217346),"2021-01-29 17:00:19 UTC",1219.08751950582
"17.3","1101299533429","S Westmoreland Ave","M","S1400","04","019","id",2.040521108e-06,c(-110.992096873772, 32.2180949142448),"2020-12-08 20:00:16 UTC",1221.10724227295
"17.4","1101299533429","S Westmoreland Ave","M","S1400","04","019","id",2.040521108e-06,c(-110.992100758212, 32.2181230971242),"2021-01-29 08:54:11 UTC",1221.81533517627
"17.5","1101299533429","S Westmoreland Ave","M","S1400","04","019","id",2.040521108e-06,c(-110.992104114995, 32.218147451667),"2020-12-03 10:17:11 UTC",1222.43919338301
"17.6","1101299533429","S Westmoreland Ave","M","S1400","04","019","id",2.040521108e-06,c(-110.992282412501, 32.2195696732884),"2020-12-08 16:24:14 UTC",1155.43567815654
"18","1101299352417","N la Cholla Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.011753665254, 32.2317040826257),"2021-01-04 18:54:10 UTC",1025.51810380296
"18.1","1101299352417","N la Cholla Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.011711368678, 32.2258864045491),"2020-12-03 17:54:21 UTC",605.915490352032
"18.2","1101299352417","N la Cholla Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.01171026442, 32.225738433433),"2020-12-11 19:37:20 UTC",602.425927210882
"19","1103471743014","W Sonoran Blossom Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.026574433841, 32.2211472319037),"2021-01-27 11:38:27 UTC",764.221540813614
"19.1","1103471743014","W Sonoran Blossom Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.026575279784, 32.2211518982276),"2021-01-27 11:38:27 UTC",763.614233435621
"20","1101299532033","Tohono Ridge Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.046839183885, 32.2118322979432),"2020-11-24 16:36:17 UTC",482.963630067401
"20.1","1101299532033","Tohono Ridge Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.045793024983, 32.2135776691073),"2020-12-06 19:27:25 UTC",382.341779505589
"20.2","1101299532033","Tohono Ridge Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.04570506466, 32.2125424134177),"2021-01-04 08:05:09 UTC",328.540862673474
"20.3","1101299532033","Tohono Ridge Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.045694043052, 32.2126575793016),"2020-11-24 17:03:16 UTC",328.582542782024
"20.4","1101299532033","Tohono Ridge Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.0457316688, 32.212407827779),"2021-01-04 05:50:09 UTC",331.45515870499
"21","1102640093670","W Tumamoc Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.033577823038, 32.2123509540461),"2021-01-18 00:26:11 UTC",977.036987544943
"21.1","1102640093670","W Tumamoc Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.033575095473, 32.2123676412175),"2021-01-18 00:25:11 UTC",975.041512643172
