"","LINEARID","FULLNAME","RTTYP","MTFCC","STATEFP","COUNTYFP","id","area","geometry","Cross_Times","Passage_Distances"
"1","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.011003268636, 32.2356075895277),"2022-12-15 16:21:10 UTC",739.424764528521
"1.1","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.010621980467, 32.2355023263838),"2022-12-15 19:49:08 UTC",690.313576427404
"2","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.993800702483, 32.2162713169546),"2022-01-21 13:03:19 UTC",1457.01426611918
"2.1","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.9946105785, 32.2153207276062),"2021-11-27 17:26:15 UTC",1494.02758601984
"2.2","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.994505004177, 32.2154278103452),"2021-12-28 08:43:09 UTC",1509.21040788656
"2.3","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.994362312559, 32.2155725401612),"2022-07-06 12:31:08 UTC",1529.9611135246
"2.4","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.994227687351, 32.2157264825641),"2022-09-22 16:43:08 UTC",1525.94767511979
"2.5","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.994119949813, 32.2158536168296),"2022-08-11 11:16:12 UTC",1508.52671586326
"2.6","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.994033670802, 32.2159665039126),"2022-11-22 11:57:18 UTC",1494.40108004272
"2.7","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.994024400073, 32.2159786336728),"2022-11-22 09:55:18 UTC",1492.89204484914
"2.8","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.993994639219, 32.2160175725541),"2022-11-22 09:56:18 UTC",1488.05940752781
"2.9","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.994348530415, 32.215587004628),"2022-08-29 17:58:10 UTC",1532.05275336981
"2.10","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.994853949288, 32.2151430208898),"2022-12-30 16:32:30 UTC",1470.06689967609
"2.11","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.99501929275, 32.2150268220072),"2022-12-13 14:57:08 UTC",1454.92339344134
"2.12","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.995015953777, 32.2150291685513),"2022-12-13 13:04:07 UTC",1455.22552813636
"2.13","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.995101679159, 32.2149695521214),"2022-10-18 17:40:13 UTC",1447.61213917291
"2.14","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.995300067272, 32.214833536708),"2022-10-18 20:43:13 UTC",1430.68148993946
"2.15","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.995191846827, 32.2149076719837),"2022-09-02 21:17:08 UTC",1439.83904851431
"2.16","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.995621692956, 32.2146373309927),"2022-05-25 08:37:13 UTC",1408.08143316088
"2.17","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.995660038276, 32.2146164526055),"2022-05-25 08:37:13 UTC",1405.86314943103
"2.18","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.995679839274, 32.2146056712844),"2022-08-29 21:12:09 UTC",1404.72595655147
"2.19","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.995714732719, 32.2145866723574),"2022-08-29 21:13:09 UTC",1402.73579574707
"2.20","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.995795262976, 32.2145428248438),"2021-12-06 12:05:10 UTC",1398.21034162126
"2.21","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.995767441391, 32.2145579732886),"2021-12-06 12:06:10 UTC",1399.76308938162
"2.22","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.995889241586, 32.2144924247023),"2023-05-21 11:38:07 UTC",1393.16405320285
"2.23","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.995923790156, 32.2144741654941),"2022-06-23 12:47:12 UTC",1391.38166205121
"2.24","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.996195221978, 32.2143479048716),"2021-12-12 11:12:09 UTC",1380.53804465001
"2.25","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.996145536603, 32.214370795027),"2022-11-04 11:06:09 UTC",1382.40986383065
"2.26","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.99641830568, 32.2142463862329),"2023-04-20 11:29:07 UTC",1372.76678151976
"2.27","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.996480670664, 32.214216123894),"2021-12-06 15:03:10 UTC",1370.45022131891
"2.28","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.996856326249, 32.2140436282562),"2022-08-03 14:14:07 UTC",1359.17636942942
"2.29","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.996821226947, 32.2140549297553),"2022-03-04 16:08:08 UTC",1359.44004236941
"2.30","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.996633424587, 32.2141414346702),"2022-12-08 13:05:13 UTC",1364.94398420262
"2.31","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.996565598815, 32.214174912794),"2023-04-04 14:18:09 UTC",1367.39071159191
"2.32","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.996555638629, 32.2141797459454),"2022-12-08 21:18:11 UTC",1367.74382297997
"2.33","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.997938160677, 32.213725074402),"2022-04-07 15:14:07 UTC",1363.69337831741
"2.34","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.997913833038, 32.2137304065005),"2022-04-07 15:14:07 UTC",1363.1602822806
"2.35","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.997927292899, 32.2137274563875),"2022-04-07 15:14:07 UTC",1363.45429923434
"2.36","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.997872026925, 32.2137395694944),"2022-12-02 18:51:08 UTC",1362.26179789432
"2.37","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.998007071329, 32.21371315914),"2022-11-10 08:11:51 UTC",1365.68627345312
"2.38","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.998097334343, 32.2137023492029),"2022-11-02 11:29:09 UTC",1369.04624469678
"2.39","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.998124444065, 32.213699102518),"2022-07-21 14:28:16 UTC",1370.07358893433
"2.40","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.998120506535, 32.2136995740804),"2022-08-25 12:57:16 UTC",1369.92385273847
"2.41","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.998336066846, 32.2137007063243),"2022-08-17 22:35:09 UTC",1382.06415461186
