"","LINEARID","FULLNAME","RTTYP","MTFCC","STATEFP","COUNTYFP","id","area","geometry","Cross_Times","Passage_Distances"
"1","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.032627740928, 32.2447589440204),"2023-06-01 08:52:24 UTC",1746.27381356555
"1.1","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.032622900683, 32.2453277386572),"2023-11-30 10:50:10 UTC",1702.60697442705
"1.2","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.032624535347, 32.2450923242034),"2023-12-21 01:59:10 UTC",1720.24562921296
"2","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.04917086392, 32.2603995844982),"2023-11-06 14:58:14 UTC",2979.28793713973
"3","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.038801418923, 32.2369366071641),"2023-10-12 11:54:13 UTC",2099.92794398163
"3.1","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.029088387029, 32.2359610000378),"2023-10-27 19:16:08 UTC",839.35785771515
"3.2","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.023294693617, 32.2359496509896),"2023-10-12 17:25:09 UTC",90.5519730364096
"3.3","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.019576263557, 32.2359315680561),"2023-04-11 13:31:12 UTC",266.85202941119
"3.4","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.019419375653, 32.2359311048261),"2023-04-11 13:03:12 UTC",286.1634776347
"3.5","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.017944188688, 32.2359273270812),"2024-01-27 12:06:12 UTC",471.717224849641
"3.6","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.016251490502, 32.235934076682),"2024-01-27 18:22:11 UTC",687.883635702224
"3.7","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.015025306829, 32.2359367349226),"2023-05-12 23:36:16 UTC",845.355614637484
"3.8","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.015663861679, 32.2359361372367),"2023-04-10 13:43:12 UTC",763.283114015524
"3.9","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.015875301477, 32.2359357156161),"2024-02-01 09:22:12 UTC",736.134128379199
"3.10","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.016201751039, 32.2359342934447),"2023-04-10 12:44:12 UTC",694.260262053017
"3.11","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.015854880472, 32.2359358045519),"2024-02-01 14:38:12 UTC",738.754769744201
"3.12","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.014363188326, 32.2359349977446),"2023-04-23 01:49:11 UTC",930.577158695316
"3.13","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.013063539317, 32.2359330370487),"2023-04-22 10:52:09 UTC",1006.98179168022
"3.14","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.012204462375, 32.2358758492497),"2023-10-23 10:53:14 UTC",895.644853288523
"3.15","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.011739618965, 32.2357817348675),"2023-04-18 21:42:21 UTC",835.042044020999
"3.16","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.011605252831, 32.2357587005877),"2023-10-19 21:30:23 UTC",817.574693220754
"3.17","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.010760580656, 32.2355405902328),"2024-01-10 17:22:09 UTC",708.121069688292
"3.18","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.010884966953, 32.2355749298454),"2023-10-19 16:16:24 UTC",724.146708129014
"3.19","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.010583867264, 32.2354918043038),"2023-11-26 10:27:09 UTC",685.426403205073
"3.20","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.009908164143, 32.2353280516839),"2023-10-23 14:26:09 UTC",599.345511403627
"3.21","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.009542333817, 32.2352648771023),"2023-10-27 15:12:29 UTC",552.997812234433
"3.22","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.009222480025, 32.235216732971),"2024-01-10 22:33:11 UTC",512.63806821583
"3.23","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.008302249883, 32.235184183989),"2023-05-12 15:30:13 UTC",395.4793553216
"3.24","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.007914973109, 32.2352136436802),"2023-04-18 14:33:13 UTC",345.369437731689
"3.25","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.007015387418, 32.2353585767393),"2023-11-27 00:03:10 UTC",227.023778922085
"3.26","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.006701027683, 32.2354258868818),"2024-01-06 13:02:11 UTC",185.283622056632
"3.27","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.005997810865, 32.2355586979507),"2023-05-05 14:06:08 UTC",92.6300813033721
"3.28","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.006381171386, 32.2354879918909),"2023-05-05 12:28:09 UTC",143.032167635518
"3.29","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.006471176931, 32.2354713913085),"2024-01-06 10:43:13 UTC",154.894936004011
"4","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.030860694534, 32.2522776604622),"2024-01-15 05:41:12 UTC",1288.87238424541
"4.1","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.030839458564, 32.2522898741038),"2023-02-19 22:56:21 UTC",1286.524909144
"4.2","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.030800105045, 32.2523125078426),"2023-05-17 23:28:11 UTC",1282.18594667908
"4.3","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.030395364715, 32.2525472665164),"2023-03-27 09:49:10 UTC",1238.51358082168
"4.4","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.030428284362, 32.2525279561428),"2023-11-24 05:29:09 UTC",1241.9951076771
"4.5","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.030441968791, 32.2525199289728),"2023-12-14 22:50:13 UTC",1243.44580254471
"4.6","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.030463815983, 32.2525071135896),"2023-06-06 08:47:20 UTC",1245.76601487511
"4.7","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.03051535068, 32.2524768837308),"2023-11-22 10:12:11 UTC",1251.25929814609
"4.8","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.030523373474, 32.2524721776173),"2023-11-22 00:46:09 UTC",1252.11701386756
"4.9","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.030613165474, 32.2524200237372),"2023-01-17 21:32:22 UTC",1261.7789897488
"4.10","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.030594420919, 32.2524308043981),"2023-01-17 21:31:22 UTC",1259.75178172083
"4.11","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.030626883724, 32.2524121338797),"2024-01-13 20:55:17 UTC",1263.26483573071
"4.12","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.030643653842, 32.2524024887794),"2023-02-03 21:38:11 UTC",1265.08378249707
"4.13","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.030669179958, 32.2523878077811),"2023-12-14 12:04:12 UTC",1267.85779041144
"4.14","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.030743693828, 32.2523449520859),"2023-06-26 09:04:22 UTC",1275.99206193577
"4.15","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.030724933039, 32.2523557421208),"2023-02-06 08:51:16 UTC",1273.93894916245
"4.16","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.030705794867, 32.2523667491969),"2023-04-06 17:54:12 UTC",1271.84806247373
"4.17","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.030702039139, 32.2523689092554),"2023-04-06 17:54:12 UTC",1271.43816050237
"4.18","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.03089950722, 32.252255337742),"2023-12-23 19:25:11 UTC",1293.17375412118
"4.19","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.030905027862, 32.2522521625992),"2023-12-23 19:25:11 UTC",1293.78671327838
"4.20","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.031076111473, 32.2521537653203),"2023-05-04 00:38:11 UTC",1312.92042543106
"4.21","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.032001867902, 32.251709136651),"2024-01-16 04:27:12 UTC",1422.07095573206
"4.22","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.03203132395, 32.2517015064537),"2023-11-05 11:40:11 UTC",1425.72975469385
"4.23","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.032089859227, 32.251698617596),"2023-11-28 02:08:15 UTC",1433.20237062476
"4.24","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.032091780139, 32.2516986025613),"2023-11-28 02:08:15 UTC",1433.44889877987
"4.25","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.033345177452, 32.2517769433864),"2023-11-27 17:56:23 UTC",1595.73823944073
"4.26","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.033198174795, 32.2517341908678),"2023-12-03 00:26:18 UTC",1576.18584508668
"4.27","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.033168783155, 32.2517265996462),"2023-04-17 09:53:09 UTC",1572.29256561811
"4.28","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.033016196778, 32.2517016558676),"2023-10-28 09:34:14 UTC",1552.30124872947
"4.29","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.033429081869, 32.2518040427482),"2023-11-02 14:39:14 UTC",1606.94668551405
"4.30","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.032409071139, 32.2516961187738),"2023-09-20 21:23:19 UTC",1474.17730047898
"4.31","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.032231736561, 32.2516975070654),"2023-11-22 23:19:12 UTC",1451.41228810995
"4.32","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.031653365263, 32.2518441989439),"2023-04-06 22:52:16 UTC",1379.76021655912
"4.33","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.03162471853, 32.2518590020962),"2022-12-12 00:11:19 UTC",1376.37561093826
"4.34","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.031436578257, 32.2519562229943),"2023-04-01 21:30:14 UTC",1354.2810020651
"4.35","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.031434865763, 32.2519571079177),"2023-04-01 21:30:14 UTC",1354.08098158585
"4.36","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.031392788763, 32.2519788510086),"2022-12-22 16:40:10 UTC",1349.1726555564
"4.37","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.031347047442, 32.2520024875922),"2023-04-20 17:01:12 UTC",1343.85072014875
"4.38","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.031168508145, 32.2521009981827),"2024-02-11 00:17:06 UTC",1323.37192541112
"4.39","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.03119969666, 32.2520832500285),"2023-05-29 08:26:20 UTC",1326.91797410081
"4.40","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.031198359698, 32.2520840108412),"2023-08-18 21:51:16 UTC",1326.76579594131
"4.41","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.031235006398, 32.2520631566309),"2024-02-10 09:44:08 UTC",1330.94252030888
"4.42","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.031232685998, 32.2520644770812),"2024-02-10 09:44:08 UTC",1330.67772300525
"4.43","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.031264758202, 32.2520462260233),"2023-11-28 08:50:08 UTC",1334.34169754161
"4.44","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.031284064279, 32.2520352396697),"2023-01-12 00:59:12 UTC",1336.55138089114
"4.45","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.031309653834, 32.2520218105182),"2023-12-12 03:59:13 UTC",1339.51085419039
"4.46","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.031311929398, 32.2520206346343),"2023-12-12 03:59:13 UTC",1339.77467374614
"5","1101299381384","Willemite Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.052676, 32.2794181149476),"2024-01-03 04:06:11 UTC",755.718939799916
"5.1","1101299381384","Willemite Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.052676, 32.2791337421738),"2023-11-11 15:23:10 UTC",761.243098415862
"5.2","1101299381384","Willemite Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.052676, 32.2790069642103),"2023-11-11 11:57:10 UTC",764.480642399584
"6","1101299493484","N Broken Arrow Trl","M","S1400","04","019","id",2.040521108e-06,c(-111.025397379293, 32.258585117688),"2023-10-15 10:30:16 UTC",836.136949846271
"6.1","1101299493484","N Broken Arrow Trl","M","S1400","04","019","id",2.040521108e-06,c(-111.025440942177, 32.2583009813243),"2023-03-26 14:04:18 UTC",868.073094258086
"6.2","1101299493484","N Broken Arrow Trl","M","S1400","04","019","id",2.040521108e-06,c(-111.025429426673, 32.2583760721475),"2023-11-03 09:26:13 UTC",859.533513582355
