"","LINEARID","FULLNAME","RTTYP","MTFCC","STATEFP","COUNTYFP","id","area","geometry","Cross_Times","Passage_Distances"
"1","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.047023619609, 32.2651875336072),"2021-03-06 13:34:07 UTC",2227.45203785272
"1.1","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.047183977342, 32.2642597078138),"2021-03-06 21:47:09 UTC",2369.46957860437
"1.2","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049197484323, 32.2597064984443),"2021-08-16 09:00:10 UTC",3084.16302444013
"1.3","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049189035196, 32.2599264801977),"2021-08-08 14:03:22 UTC",3050.87615798086
"1.4","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.0491618311, 32.2606347596606),"2021-01-07 17:12:11 UTC",2943.70231932912
"1.5","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049151156731, 32.2609126719947),"2020-12-15 16:09:10 UTC",2901.65002368534
"2","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.047211901387, 32.239010340861),"2020-11-23 00:16:05 UTC",1729.54947131034
"2.1","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.046422408664, 32.238984924045),"2020-11-24 21:01:12 UTC",1827.31714986225
"2.2","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.050417620716, 32.2390806948836),"2020-12-13 23:48:04 UTC",1337.4875315368
"2.3","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.051279061593, 32.2383250430889),"2020-11-23 04:16:04 UTC",1195.54527034719
"2.4","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.049418808089, 32.2391417456243),"2020-12-13 21:11:04 UTC",1462.31238335428
"2.5","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.053710784219, 32.2362693513591),"2020-11-20 12:18:05 UTC",831.29369727202
"2.6","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.054278661141, 32.2360724860301),"2020-11-30 06:51:05 UTC",757.311022206263
"2.7","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.052226283023, 32.2374086238912),"2020-11-23 09:48:04 UTC",1042.85034837005
"2.8","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.055840099247, 32.2360516366579),"2020-11-25 10:59:09 UTC",555.56674985641
"2.9","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.056838878291, 32.236027016818),"2020-11-24 06:54:12 UTC",426.54991418632
"2.10","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.05703235787, 32.2360307215087),"2020-11-21 04:52:12 UTC",401.547519938821
"2.11","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.041489202976, 32.2379908973762),"2020-12-01 12:38:07 UTC",2424.59176974755
"2.12","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.042709146588, 32.2383492495299),"2021-09-10 22:40:07 UTC",2278.93292457074
"2.13","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.044894661771, 32.2389771864208),"2021-09-10 15:19:08 UTC",2019.09867736502
"3","1101299419017","N Reed Basin Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.056996673647, 32.2707315539698),"2021-06-16 11:43:09 UTC",1913.79976681078
"3.1","1101299419017","N Reed Basin Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.056988334682, 32.2709264379634),"2021-01-18 17:18:06 UTC",1891.56817378636
"4","1101299381384","Willemite Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.052676064543, 32.279549942146),"2021-01-11 22:49:17 UTC",753.993324192298
"4.1","1101299381384","Willemite Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.052676302794, 32.2796087902763),"2021-01-21 17:09:08 UTC",753.420696507517
"4.2","1101299381384","Willemite Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.052676, 32.278557617688),"2021-02-06 22:00:12 UTC",779.690031883468
"5","1101299556097","N Painted Hills Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.036541072545, 32.2484747492858),"2021-07-05 18:47:15 UTC",2028.58354022915
"5.1","1101299556097","N Painted Hills Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.036228935731, 32.249327130092),"2021-08-16 16:27:10 UTC",1970.93376810184
"5.2","1101299556097","N Painted Hills Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.036698411184, 32.2481273532279),"2021-08-10 07:31:16 UTC",2058.00981212055
"5.3","1101299556097","N Painted Hills Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.037628551141, 32.2460764937714),"2021-08-16 21:42:10 UTC",2253.13014248212
"5.4","1101299556097","N Painted Hills Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.037526516435, 32.2390711781325),"2021-08-01 14:03:23 UTC",1987.20979931895
"5.5","1101299556097","N Painted Hills Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.037526994367, 32.2391090544404),"2021-08-01 16:14:23 UTC",1988.65125620308
"5.6","1101299556097","N Painted Hills Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.037530165122, 32.2393603369333),"2021-07-20 18:00:09 UTC",1998.60831935897
"5.7","1101299556097","N Painted Hills Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.037529415461, 32.2393009263898),"2021-07-20 14:28:09 UTC",1996.19264344379
"5.8","1101299556097","N Painted Hills Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.037540042614, 32.2401160026961),"2021-08-09 23:17:23 UTC",2032.63158795317
"6","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079691, 32.2667370605668),"2021-02-26 18:41:07 UTC",4688.36416315098
"6.1","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079691, 32.2666489092368),"2021-04-29 05:05:06 UTC",4694.10366499053
"6.2","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079763388643, 32.2673585545754),"2021-04-20 04:26:04 UTC",4657.31470790401
"6.3","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079765750347, 32.267704371127),"2021-04-09 16:27:07 UTC",4636.30313595278
"6.4","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079767250799, 32.2676871159549),"2020-12-10 12:10:08 UTC",4637.53105675671
