"","LINEARID","FULLNAME","RTTYP","MTFCC","STATEFP","COUNTYFP","id","area","geometry","Cross_Times","Passage_Distances"
"1","1101299532033","Tohono Ridge Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.046153764651, 32.2119685156165),"2022-02-16 03:15:17 UTC",392.070122601648
"1.1","1101299532033","Tohono Ridge Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.046138520123, 32.2119752411306),"2021-02-17 18:06:02 UTC",389.95128719122
"1.2","1101299532033","Tohono Ridge Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.046862904538, 32.2118294514767),"2021-02-15 14:20:12 UTC",486.057398643552
"1.3","1101299532033","Tohono Ridge Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.045736834041, 32.2123943612655),"2022-02-15 20:59:14 UTC",332.140393825841
"2","1101299402593","W Gates Pass Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.100826846263, 32.2217481278935),"2022-05-23 07:56:10 UTC",5647.92144582467
"2.1","1101299402593","W Gates Pass Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.100363603482, 32.2195907319786),"2022-05-23 04:45:10 UTC",5728.41903219442
"2.2","1101299402593","W Gates Pass Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.09378370059, 32.2240686039598),"2022-09-25 20:58:08 UTC",4672.5614430234
"2.3","1101299402593","W Gates Pass Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.094271470851, 32.2240810806237),"2022-08-02 10:17:21 UTC",4729.89894052055
"2.4","1101299402593","W Gates Pass Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.094173348944, 32.2240844510973),"2022-03-09 01:22:11 UTC",4718.00775576772
"2.5","1101299402593","W Gates Pass Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.094376423781, 32.2240708371871),"2022-02-21 22:37:09 UTC",4743.01051314335
