"","LINEARID","FULLNAME","RTTYP","MTFCC","STATEFP","COUNTYFP","id","area","geometry","Cross_Times","Passage_Distances"
"1","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079751172811, 32.2703518871746),"2023-04-15 12:34:08 UTC",4488.59848623786
"1.1","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079751857372, 32.2703583465919),"2023-04-15 12:34:08 UTC",4488.3642162046
"1.2","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079746139649, 32.2703043949028),"2022-11-05 18:00:10 UTC",4490.32720125581
"1.3","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079721312104, 32.2700701246411),"2023-02-18 21:52:47 UTC",4499.01566717016
"1.4","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079715695446, 32.2700153209554),"2022-08-19 14:55:09 UTC",4501.11000883133
"1.5","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079712002594, 32.2699585853737),"2022-10-22 10:25:06 UTC",4503.551430579
"1.6","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079707869168, 32.2698950809154),"2022-04-27 12:04:09 UTC",4506.3021823788
"1.7","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079717373688, 32.2692438185609),"2022-10-07 11:08:13 UTC",4541.86028389841
"1.8","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079716439227, 32.2692370489121),"2022-10-07 11:08:13 UTC",4542.11520338658
"1.9","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079713413425, 32.2692151286636),"2023-05-29 10:51:05 UTC",4542.94215953034
"1.10","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079732546248, 32.2693537351464),"2023-01-23 17:18:11 UTC",4537.75231691968
"1.11","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079743923013, 32.2694191007007),"2023-04-21 10:57:10 UTC",4535.62158051539
"1.12","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079764015303, 32.2697467853221),"2022-09-17 12:48:08 UTC",4520.77970987434
"1.13","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079691, 32.2666918175849),"2023-03-20 16:28:08 UTC",4691.30601659542
"1.14","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079691, 32.2666735450605),"2022-11-11 22:09:14 UTC",4692.49649164528
"1.15","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079691, 32.266850203812),"2022-09-17 19:45:08 UTC",4681.04331393518
"1.16","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079691, 32.2668598791344),"2023-04-04 17:44:11 UTC",4680.41967956851
"1.17","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079691, 32.2668775570259),"2023-04-04 17:44:11 UTC",4679.28120869244
"1.18","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079689965062, 32.2670451100987),"2023-04-08 16:31:14 UTC",4668.43233665737
"1.19","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079688622473, 32.2670647119063),"2022-08-25 10:54:11 UTC",4667.0273758284
"1.20","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079678565975, 32.267150082165),"2022-12-17 05:50:11 UTC",4660.43180901296
"1.21","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079684696198, 32.2671755433177),"2022-07-11 20:48:11 UTC",4659.54176780768
"1.22","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079695010089, 32.2671963733457),"2023-02-25 20:46:21 UTC",4659.43825146747
"1.23","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.07975257965, 32.2673259853681),"2022-08-31 17:36:10 UTC",4658.07338334775
"1.24","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079748431609, 32.2673153560153),"2022-08-31 17:36:10 UTC",4658.24919097349
"1.25","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079777675558, 32.2674243585644),"2023-04-14 19:12:13 UTC",4654.90878531343
"1.26","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079779076205, 32.267445835168),"2023-04-14 19:11:13 UTC",4653.74353028551
"1.27","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079765041034, 32.2677125282183),"2022-04-03 17:52:10 UTC",4635.72306304063
"1.28","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079693033372, 32.2687495877981),"2023-01-23 19:21:12 UTC",4566.30960529764
"1.29","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079717314544, 32.2686583395721),"2022-05-10 19:47:09 UTC",4574.38872026041
"1.30","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079674290486, 32.2689102300532),"2023-03-21 10:22:07 UTC",4555.04102161135
"1.31","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079676177086, 32.2689588099928),"2022-06-20 21:26:11 UTC",4552.56131723571
"1.32","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079698080471, 32.2691040497725),"2022-05-17 17:25:22 UTC",4547.16840017042
"1.33","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079763785451, 32.2684121316381),"2022-05-22 11:57:19 UTC",4594.06322929335
"1.34","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079743209847, 32.2682841686294),"2023-03-31 20:51:10 UTC",4599.04861086874
"1.35","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.07970160379, 32.2680254127168),"2022-06-17 11:28:11 UTC",4609.36848360373
"1.36","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079692145646, 32.2679399973681),"2023-02-14 06:54:11 UTC",4613.35209421064
"2","1103677607563","N Highton Hills Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.072836471707, 32.253250273019),"2023-03-15 16:46:08 UTC",3060.59719517791
"2.1","1103677607563","N Highton Hills Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.072779216481, 32.2532574072228),"2023-03-15 15:32:08 UTC",3057.67542927159
"2.2","1103677607563","N Highton Hills Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.072638513294, 32.2533351483183),"2022-06-16 19:29:09 UTC",3058.40927450004
"2.3","1103677607563","N Highton Hills Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.072615920094, 32.253366348444),"2022-06-09 13:54:13 UTC",3060.9842560028
"2.4","1103677607563","N Highton Hills Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.07386777062, 32.2523275846721),"2022-05-09 19:09:09 UTC",3016.16915807435
"2.5","1103677607563","N Highton Hills Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.073457573896, 32.2531824794668),"2022-06-19 17:26:14 UTC",3094.50162570529
"2.6","1103677607563","N Highton Hills Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.073555485594, 32.2532112298341),"2023-05-25 22:45:18 UTC",3105.03264887224
"2.7","1103677607563","N Highton Hills Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.073535630821, 32.2532043190508),"2022-05-09 18:47:09 UTC",3102.75750484551
"2.8","1103677607563","N Highton Hills Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.07337987262, 32.2531798034884),"2023-01-17 07:26:13 UTC",3088.73678566139
"2.9","1103677607563","N Highton Hills Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.073281136213, 32.2531918376863),"2022-08-28 11:38:10 UTC",3083.4225772998
"2.10","1103677607563","N Highton Hills Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.073256756548, 32.2531973486492),"2023-01-17 04:36:13 UTC",3082.44324739645
"2.11","1103677607563","N Highton Hills Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.073108271452, 32.2532329942664),"2023-04-03 08:14:13 UTC",3076.81453457651
"2.12","1103677607563","N Highton Hills Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.072912365005, 32.2532479223726),"2022-08-28 13:53:10 UTC",3065.41369625582
"2.13","1103677607563","N Highton Hills Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.073818629947, 32.2533214121224),"2022-01-27 23:07:27 UTC",3137.62226953035
"2.14","1103677607563","N Highton Hills Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.073970480151, 32.2534248000981),"2022-02-25 02:18:08 UTC",3161.52803584487
"2.15","1103677607563","N Highton Hills Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.074315174692, 32.2529724498074),"2022-07-26 13:56:14 UTC",3129.59446080524
"2.16","1103677607563","N Highton Hills Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.07429537137, 32.2529592476027),"2022-07-26 13:55:14 UTC",3126.48758406511
"2.17","1103677607563","N Highton Hills Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.074280099385, 32.2529490662823),"2022-07-26 13:55:14 UTC",3124.09181146989
"2.18","1103677607563","N Highton Hills Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.074184737302, 32.2528858271848),"2023-05-25 23:08:19 UTC",3109.17787415816
"2.19","1103677607563","N Highton Hills Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.073683891978, 32.2532583152914),"2023-04-15 22:53:07 UTC",3120.07031529515
"2.20","1103677607563","N Highton Hills Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.073955886309, 32.2526674076948),"2023-03-31 07:51:15 UTC",3065.07217309987
"2.21","1103677607563","N Highton Hills Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.074026550963, 32.2527684099576),"2022-06-19 16:56:15 UTC",3082.88775255332
