"","LINEARID","FULLNAME","RTTYP","MTFCC","STATEFP","COUNTYFP","id","area","geometry","Cross_Times","Passage_Distances"
"1","1101299309866","N Killdeer Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.063815366015, 32.3096572950329),"2024-02-12 03:46:08 UTC",1883.89220142975
"1.1","1101299309866","N Killdeer Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.064678361711, 32.3095676411618),"2023-08-23 12:37:09 UTC",1984.4336165952
"1.2","1101299309866","N Killdeer Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.06475478691, 32.3096583168745),"2024-03-04 00:42:09 UTC",1998.19428269809
"1.3","1101299309866","N Killdeer Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.064361691087, 32.3094312782661),"2024-03-04 02:09:11 UTC",1939.12382233974
"1.4","1101299309866","N Killdeer Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.064838011712, 32.3097404170113),"2023-08-23 13:22:09 UTC",2012.40488284371
"1.5","1101299309866","N Killdeer Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.065012857497, 32.3099123016006),"2024-02-17 11:47:16 UTC",2042.33886269867
"1.6","1101299309866","N Killdeer Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.063433978438, 32.3099488617325),"2024-02-17 13:51:16 UTC",1853.8059879934
"2","1101299308988","N Cerritos Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.061743739421, 32.2916203140831),"2023-11-25 07:10:39 UTC",2576.79376337344
"2.1","1101299308988","N Cerritos Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.061759936314, 32.2915307324644),"2023-11-25 06:52:39 UTC",2589.0778310381
"2.2","1101299308988","N Cerritos Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.062544133795, 32.292796056789),"2023-04-10 14:48:10 UTC",2498.94982234479
"2.3","1101299308988","N Cerritos Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.062597799506, 32.2928201383617),"2024-01-14 12:40:07 UTC",2500.6064932384
"2.4","1101299308988","N Cerritos Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.062793968634, 32.2929076077306),"2023-04-12 16:11:10 UTC",2506.92530634168
"2.5","1101299308988","N Cerritos Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.062671855103, 32.2928533694891),"2023-04-05 10:51:12 UTC",2502.9310417232
"2.6","1101299308988","N Cerritos Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.062911631096, 32.2929562957024),"2023-04-06 06:30:09 UTC",2511.29575127144
"2.7","1101299308988","N Cerritos Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.062902838857, 32.2929526575361),"2023-01-25 18:55:08 UTC",2510.96550960256
"2.8","1101299308988","N Cerritos Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.062272626845, 32.2926742221323),"2023-11-25 06:19:36 UTC",2490.92889059909
"2.9","1101299308988","N Cerritos Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.062066442441, 32.2925816993775),"2023-02-04 18:36:10 UTC",2485.24247300438
"2.10","1101299308988","N Cerritos Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.062050278142, 32.292574445822),"2023-03-19 07:20:12 UTC",2484.81152533524
"2.11","1101299308988","N Cerritos Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.062019988514, 32.2925563207702),"2023-11-25 07:34:37 UTC",2484.55068725439
"3","1101299308673","W Via Aguilera","M","S1400","04","019","id",2.040521108e-06,c(-111.066391409287, 32.29596405031),"2023-06-08 17:32:16 UTC",2544.26371461359
"3.1","1101299308673","W Via Aguilera","M","S1400","04","019","id",2.040521108e-06,c(-111.066400772926, 32.2959613307168),"2023-06-08 17:32:16 UTC",2545.49458245431
"3.2","1101299308673","W Via Aguilera","M","S1400","04","019","id",2.040521108e-06,c(-111.06635050696, 32.2959759300498),"2023-10-30 22:37:11 UTC",2538.88755899861
"3.3","1101299308673","W Via Aguilera","M","S1400","04","019","id",2.040521108e-06,c(-111.066331434473, 32.2959814694891),"2022-11-25 04:49:13 UTC",2536.38098970877
"3.4","1101299308673","W Via Aguilera","M","S1400","04","019","id",2.040521108e-06,c(-111.066264276152, 32.2960009750157),"2024-02-03 21:38:14 UTC",2527.55633428796
"3.5","1101299308673","W Via Aguilera","M","S1400","04","019","id",2.040521108e-06,c(-111.066265046899, 32.2960007511595),"2024-02-03 21:38:14 UTC",2527.65759761089
"3.6","1101299308673","W Via Aguilera","M","S1400","04","019","id",2.040521108e-06,c(-111.0662707479, 32.2959990953569),"2023-01-23 02:37:11 UTC",2528.40662400889
"3.7","1101299308673","W Via Aguilera","M","S1400","04","019","id",2.040521108e-06,c(-111.06629870993, 32.2959909740418),"2023-05-15 17:57:34 UTC",2532.0806642916
"3.8","1101299308673","W Via Aguilera","M","S1400","04","019","id",2.040521108e-06,c(-111.066290502951, 32.2959933576845),"2024-02-28 10:19:16 UTC",2531.00227469289
"3.9","1101299308673","W Via Aguilera","M","S1400","04","019","id",2.040521108e-06,c(-111.066231354243, 32.2960105368701),"2023-07-10 14:32:14 UTC",2523.23123610469
"3.10","1101299308673","W Via Aguilera","M","S1400","04","019","id",2.040521108e-06,c(-111.066186532419, 32.2960235549243),"2023-05-03 16:13:07 UTC",2517.34371592734
"3.11","1101299308673","W Via Aguilera","M","S1400","04","019","id",2.040521108e-06,c(-111.066159257617, 32.2960315175069),"2023-03-18 21:17:13 UTC",2513.75807022648
