"","LINEARID","FULLNAME","RTTYP","MTFCC","STATEFP","COUNTYFP","id","area","geometry","Cross_Times","Passage_Distances"
"1","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.009468974063, 32.2352537136182),"2022-10-13 04:55:12 UTC",543.721142023246
"1.1","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.006991915828, 32.2353634522407),"2022-10-13 08:39:09 UTC",223.908839444822
"1.2","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.006932871261, 32.2353761253047),"2022-12-22 05:54:09 UTC",216.06405722821
"1.3","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.006181540917, 32.2355248113956),"2022-12-22 07:38:09 UTC",116.752363718927
"2","1106093131105","Congress Te","M","S1400","04","019","id",2.040521108e-06,c(-110.99460905735, 32.2189184247072),"2021-07-03 05:35:08 UTC",1440.66973247274
"2.1","1106093131105","Congress Te","M","S1400","04","019","id",2.040521108e-06,c(-110.994588016243, 32.2188162984619),"2022-03-21 19:17:10 UTC",1448.90349186833
"2.2","1106093131105","Congress Te","M","S1400","04","019","id",2.040521108e-06,c(-110.994570043779, 32.2187290661587),"2023-02-24 03:53:12 UTC",1456.03493160865
"2.3","1106093131105","Congress Te","M","S1400","04","019","id",2.040521108e-06,c(-110.99454037687, 32.2186916024242),"2023-02-24 03:48:12 UTC",1457.02712037031
"2.4","1106093131105","Congress Te","M","S1400","04","019","id",2.040521108e-06,c(-110.994230972688, 32.2185541673212),"2022-03-21 19:04:10 UTC",1442.18765281768
"2.5","1106093131105","Congress Te","M","S1400","04","019","id",2.040521108e-06,c(-110.993862761426, 32.2203333238468),"2022-11-15 02:26:13 UTC",1230.33175948336
"2.6","1106093131105","Congress Te","M","S1400","04","019","id",2.040521108e-06,c(-110.994587927513, 32.2195830078917),"2023-02-10 12:27:10 UTC",1374.11478691998
"2.7","1106093131105","Congress Te","M","S1400","04","019","id",2.040521108e-06,c(-110.99459447948, 32.2193851669558),"2022-02-11 23:26:19 UTC",1393.51871529908
"2.8","1106093131105","Congress Te","M","S1400","04","019","id",2.040521108e-06,c(-110.994602329558, 32.2191514094987),"2021-07-18 19:02:10 UTC",1416.93850203764
"2.9","1106093131105","Congress Te","M","S1400","04","019","id",2.040521108e-06,c(-110.994601941606, 32.2191629618445),"2021-07-18 19:03:10 UTC",1415.7691860584
"2.10","1106093131105","Congress Te","M","S1400","04","019","id",2.040521108e-06,c(-110.994601909236, 32.2191639257445),"2021-07-18 19:03:10 UTC",1415.67167621363
"2.11","1106093131105","Congress Te","M","S1400","04","019","id",2.040521108e-06,c(-110.99460475877, 32.2190790728229),"2022-12-04 19:40:08 UTC",1424.28787502477
"2.12","1106093131105","Congress Te","M","S1400","04","019","id",2.040521108e-06,c(-110.994604320625, 32.2190921198443),"2021-03-18 01:37:16 UTC",1422.95881164477
"2.13","1106093131105","Congress Te","M","S1400","04","019","id",2.040521108e-06,c(-110.994609530165, 32.2189369907293),"2021-07-03 04:01:09 UTC",1438.85936404583
"3","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.993751032076, 32.2163363048186),"2022-01-03 19:25:09 UTC",1449.19145668774
"3.1","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.993741500024, 32.2163487763711),"2021-02-22 10:14:08 UTC",1447.69636456771
"3.2","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.99379663811, 32.2162766347114),"2023-03-23 20:56:08 UTC",1456.37214138765
"3.3","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.993789892992, 32.2162854599075),"2022-01-28 08:11:08 UTC",1455.30727630784
"3.4","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.993834192421, 32.2162274992608),"2022-02-26 10:12:09 UTC",1462.31880321249
"3.5","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.993819353552, 32.2162469142037),"2022-11-05 22:18:11 UTC",1459.96548042814
"3.6","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.993820964565, 32.2162448063804),"2022-11-05 22:18:11 UTC",1460.22074601228
"3.7","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.993822981111, 32.2162421679635),"2022-11-05 22:18:11 UTC",1460.54034681835
"3.8","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.993855575681, 32.2161995217226),"2022-01-17 16:05:12 UTC",1465.71826168425
"3.9","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.993842956247, 32.2162160328039),"2022-05-21 12:09:14 UTC",1463.71088006667
"3.10","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.993862253076, 32.2161907851138),"2022-01-17 16:05:12 UTC",1466.78180398384
"3.11","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.994581944557, 32.2153497706967),"2022-10-12 02:34:15 UTC",1498.13087634965
"3.12","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.994586145031, 32.2153455102035),"2022-10-12 02:34:15 UTC",1497.52825585784
"3.13","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.994598840365, 32.2153326334688),"2021-09-29 23:27:24 UTC",1495.70835304382
"3.14","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.9945621272, 32.2153698712072),"2021-02-23 05:54:08 UTC",1500.9771359455
"3.15","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.994568119035, 32.2153637937607),"2021-02-23 05:54:08 UTC",1500.11601113602
"3.16","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.994491120451, 32.2154418924124),"2021-10-06 20:51:07 UTC",1511.2179499424
"3.17","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.99450922929, 32.2154235248715),"2022-05-16 17:13:12 UTC",1508.59996812526
"3.18","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.994500653305, 32.215432223374),"2021-10-06 20:52:07 UTC",1509.83926025536
"3.19","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.994539490391, 32.2153928314391),"2021-04-01 21:39:25 UTC",1504.23470053848
"3.20","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.994535435093, 32.2153969446759),"2021-07-31 06:31:11 UTC",1504.81899431503
"3.21","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.994394245075, 32.2155401515773),"2022-10-04 17:06:10 UTC",1525.29488857853
"3.22","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.994404584882, 32.2155296640883),"2022-01-30 13:03:08 UTC",1523.78670896922
"3.23","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.994234091402, 32.2157190909751),"2023-02-09 19:59:17 UTC",1526.98363547618
"3.24","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.994193007157, 32.2157665105934),"2021-07-10 22:34:13 UTC",1520.34761849671
"3.25","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.994204959795, 32.2157527148124),"2021-04-04 19:32:10 UTC",1522.27577674425
"3.26","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.994206665122, 32.2157507465163),"2021-04-04 19:32:10 UTC",1522.55103917388
"3.27","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.994098204802, 32.2158820679394),"2022-02-13 01:35:10 UTC",1504.95282806247
"3.28","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.994098040212, 32.2158822832875),"2022-02-13 01:35:10 UTC",1504.92581226301
"3.29","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.994103940846, 32.2158745629169),"2022-09-17 20:22:08 UTC",1505.89467696959
"3.30","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.994108639009, 32.2158684158546),"2021-09-08 20:47:21 UTC",1506.6665858943
"3.31","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.994106420719, 32.2158713182596),"2022-09-17 20:23:08 UTC",1506.30206673398
"3.32","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.99410683168, 32.2158707805595),"2022-09-17 20:23:08 UTC",1506.36959038354
"3.33","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.994136019513, 32.2158325912661),"2022-12-07 09:59:10 UTC",1511.17374475526
"3.34","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.994167090283, 32.2157964239319),"2023-01-05 16:27:20 UTC",1516.17377522851
"3.35","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.994082463283, 32.2159026640832),"2022-10-13 23:34:20 UTC",1502.37140664555
"3.36","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.994046113154, 32.215950224413),"2021-01-20 02:37:00 UTC",1496.42907084495
"3.37","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.994028471906, 32.2159733061139),"2023-06-03 06:54:14 UTC",1493.55462235382
"3.38","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.994010947266, 32.215996235232),"2021-10-10 18:54:12 UTC",1490.70533844743
"3.39","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.994005556569, 32.216003288379),"2022-01-31 01:53:10 UTC",1489.83012085347
"3.40","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.993945374323, 32.2160820302905),"2021-10-29 06:28:20 UTC",1480.09911984009
"3.41","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.993943570357, 32.2160843905807),"2021-10-29 06:28:20 UTC",1479.80857466862
"3.42","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.993909614117, 32.2161288185456),"2022-08-07 16:55:11 UTC",1474.35214425644
"3.43","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.993887903753, 32.2161572241155),"2021-02-19 22:53:11 UTC",1470.87605548831
"3.44","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.993885441438, 32.2161604457765),"2021-06-08 18:32:13 UTC",1470.4824314786
"3.45","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.994259880684, 32.2156893248397),"2021-07-19 07:01:13 UTC",1531.1612797886
"3.46","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.994300597125, 32.215642329642),"2021-01-20 05:12:00 UTC",1537.77578539905
"3.47","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.994267233322, 32.2156808383787),"2023-02-24 00:08:13 UTC",1532.3540413457
"3.48","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.994292855558, 32.2156512650164),"2021-01-20 05:11:00 UTC",1536.51638489877
"3.49","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.994288896617, 32.2156558344556),"2021-08-19 11:33:12 UTC",1535.8726614794
"3.50","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.994308844705, 32.2156328102208),"2021-10-29 02:48:18 UTC",1538.72012319489
"3.51","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.99431317412, 32.2156278131747),"2021-10-29 02:48:18 UTC",1537.9918002701
"3.52","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.994326485699, 32.2156124488391),"2022-09-01 14:21:08 UTC",1535.75391145477
"3.53","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.994632698133, 32.2152985093753),"2022-04-01 17:57:13 UTC",1490.89831181147
"3.54","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.994708683312, 32.2152451094388),"2023-05-09 06:07:25 UTC",1483.67230232367
"3.55","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.994906675607, 32.2151059663242),"2023-03-31 02:34:12 UTC",1465.19771829638
"3.56","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.994954803873, 32.2150721430947),"2022-01-20 05:04:13 UTC",1460.78578500501
"3.57","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.994899025392, 32.2151113426817),"2023-03-31 02:34:12 UTC",1465.9018921811
"3.58","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.994850816645, 32.2151452224207),"2021-12-20 02:17:08 UTC",1470.357362116
"3.59","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.995162530627, 32.2149277547007),"2023-01-20 04:10:19 UTC",1442.34833400432
"3.60","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.995066102737, 32.2149942463522),"2021-03-29 16:25:25 UTC",1450.75233209657
"3.61","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.995046350323, 32.2150079568455),"2023-02-05 12:14:10 UTC",1452.50336086717
"3.62","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.995033949483, 32.2150165644801),"2023-02-05 12:13:10 UTC",1453.60542780664
"3.63","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.995029183041, 32.2150198729482),"2021-02-20 09:48:11 UTC",1454.02958558331
"3.64","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.995024769911, 32.2150229727986),"2021-02-20 09:47:11 UTC",1454.4281114001
"3.65","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.995021404923, 32.2150253376262),"2021-07-02 05:06:09 UTC",1454.73234761687
"3.66","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.995143495287, 32.2149407946273),"2021-11-01 19:18:22 UTC",1443.98410127917
"3.67","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.995188049613, 32.2149102732213),"2021-08-12 03:17:23 UTC",1440.16338464322
"3.68","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.995229340017, 32.2148819876929),"2021-07-16 02:35:04 UTC",1436.64753401797
"3.69","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.995254410456, 32.214864813455),"2021-08-12 01:13:22 UTC",1434.5246006919
"3.70","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.99526331526, 32.2148587133108),"2021-08-12 01:13:22 UTC",1433.77270805228
"3.71","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.995271389574, 32.2148531820835),"2021-11-08 00:30:13 UTC",1433.09191818314
"3.72","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.995327225156, 32.2148149324528),"2021-07-01 11:47:07 UTC",1428.40970353541
"3.73","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.995347228836, 32.2148012291094),"2021-07-01 11:47:07 UTC",1426.74318418065
"3.74","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.995492261848, 32.2147080177113),"2021-07-14 22:30:09 UTC",1415.75642041595
"3.75","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.995503801158, 32.2147016897033),"2021-05-27 04:08:11 UTC",1415.05859182874
"3.76","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.995561839799, 32.2146699199954),"2022-07-20 04:17:08 UTC",1411.58610578896
"3.77","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.995654525568, 32.2146194541845),"2021-12-29 23:06:27 UTC",1406.180757425
"3.78","1102868901612","S Sentinel Peak Rd","M","S1400","04","019","id",2.040521108e-06,c(-110.995698080079, 32.2145957394577),"2022-05-27 07:26:12 UTC",1403.68338425079
