"","LINEARID","FULLNAME","RTTYP","MTFCC","STATEFP","COUNTYFP","id","area","geometry","Cross_Times","Passage_Distances"
"1","1101299309866","N Killdeer Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.066042628817, 32.3115522572608),"2023-02-04 01:22:08 UTC",2259.0549301025
"1.1","1101299309866","N Killdeer Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.065489998341, 32.3129383220218),"2023-02-19 18:28:10 UTC",2291.9280011302
"1.2","1101299309866","N Killdeer Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.064491964453, 32.3150424188386),"2023-02-19 10:58:10 UTC",2335.00626947617
"1.3","1101299309866","N Killdeer Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.063290639853, 32.314317398548),"2023-02-19 10:41:10 UTC",2174.97070772687
"2","1106093177708","W Majestic Park Way","M","S1400","04","019","id",2.040521108e-06,c(-111.019652670471, 32.2767686443533),"2023-02-23 10:55:08 UTC",647.092671655399
"3","1103557128912","W Hiddenwood Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.058239612998, 32.3062803946717),"2023-02-13 19:16:08 UTC",1058.63702222062
"3.1","1103557128912","W Hiddenwood Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.057082196043, 32.3072925139024),"2023-02-20 03:01:08 UTC",945.589850445407
"4","1106081698348","W Sunset Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.068912294879, 32.3133815551015),"2023-02-04 01:58:11 UTC",2712.79748644581
"5","1103557114572","W Kiley Ct","M","S1400","04","019","id",2.040521108e-06,c(-111.050021136471, 32.3025207465387),"2023-02-13 17:59:07 UTC",437.547581752028
"6","1101299303083","W Cosmos Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.063267572622, 32.3149752200042),"2023-02-14 08:04:10 UTC",2177.7775930592
"7","1101299303085","N Cotton Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.063431330308, 32.3105436715103),"2023-02-04 00:51:07 UTC",1889.02607764859
"8","1106087790081","N Kildeer Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.066042628817, 32.3115522572608),"2023-02-04 01:22:08 UTC",2259.0549301025
"8.1","1106087790081","N Kildeer Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.065489998341, 32.3129383220218),"2023-02-19 18:28:10 UTC",2291.9280011302
"8.2","1106087790081","N Kildeer Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.064491964453, 32.3150424188386),"2023-02-19 10:58:10 UTC",2335.00626947617
"8.3","1106087790081","N Kildeer Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.063290639853, 32.314317398548),"2023-02-19 10:41:10 UTC",2174.97070772687
"9","1106092775027","W Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.023624769773, 32.2798009123104),"2023-02-21 02:31:16 UTC",679.680736740689
"9.1","1106092775027","W Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.022870166802, 32.2798088349095),"2023-02-18 00:25:08 UTC",591.905674086868
"9.2","1106092775027","W Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.022693093528, 32.2798106933569),"2023-02-23 10:23:08 UTC",571.762690503378
"9.3","1106092775027","W Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.022586864531, 32.2798118081496),"2023-02-07 14:51:07 UTC",559.779053680788
"9.4","1106092775027","W Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.022553029098, 32.2798121632081),"2023-02-09 09:58:08 UTC",555.978935012415
"9.5","1106092775027","W Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.02255051258, 32.2798121896153),"2023-02-09 09:58:08 UTC",555.696634729838
"9.6","1106092775027","W Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.022491976614, 32.279812803851),"2023-02-08 07:56:15 UTC",549.143451137456
