"","LINEARID","FULLNAME","RTTYP","MTFCC","STATEFP","COUNTYFP","id","area","geometry","Cross_Times","Passage_Distances"
"1","1101299474080","Quail Point Ct","M","S1400","04","019","id",2.040521108e-06,c(-111.036481796832, 32.2065955225023),"2021-05-20 16:31:12 UTC",1198.40186896548
"1.1","1101299474080","Quail Point Ct","M","S1400","04","019","id",2.040521108e-06,c(-111.036684997468, 32.2065214801348),"2021-10-10 14:16:12 UTC",1188.01350194398
"1.2","1101299474080","Quail Point Ct","M","S1400","04","019","id",2.040521108e-06,c(-111.036675607817, 32.2065248056327),"2021-10-10 14:16:12 UTC",1188.49089232703
"1.3","1101299474080","Quail Point Ct","M","S1400","04","019","id",2.040521108e-06,c(-111.036626796946, 32.2065420927825),"2021-07-20 13:27:15 UTC",1190.99286047692
"1.4","1101299474080","Quail Point Ct","M","S1400","04","019","id",2.040521108e-06,c(-111.036908764051, 32.2061908855995),"2021-08-08 03:18:23 UTC",1205.49888061001
"1.5","1101299474080","Quail Point Ct","M","S1400","04","019","id",2.040521108e-06,c(-111.03690930946, 32.2061952229081),"2021-08-08 03:18:23 UTC",1204.95627382737
"1.6","1101299474080","Quail Point Ct","M","S1400","04","019","id",2.040521108e-06,c(-111.036909427802, 32.2061961640065),"2021-08-08 03:18:23 UTC",1204.83855632987
"1.7","1101299474080","Quail Point Ct","M","S1400","04","019","id",2.040521108e-06,c(-111.036910807192, 32.206207133451),"2021-01-06 20:13:23 UTC",1203.4668616345
"1.8","1101299474080","Quail Point Ct","M","S1400","04","019","id",2.040521108e-06,c(-111.036775672064, 32.2064893662017),"2021-05-20 20:19:12 UTC",1183.46871110933
"1.9","1101299474080","Quail Point Ct","M","S1400","04","019","id",2.040521108e-06,c(-111.036827057191, 32.2064711672558),"2021-03-29 05:16:18 UTC",1180.94606214008
"1.10","1101299474080","Quail Point Ct","M","S1400","04","019","id",2.040521108e-06,c(-111.036904918577, 32.2063916922734),"2021-06-21 16:06:14 UTC",1183.03154309598
"1.11","1101299474080","Quail Point Ct","M","S1400","04","019","id",2.040521108e-06,c(-111.036916687269, 32.2063568135312),"2021-08-08 05:35:20 UTC",1185.94739253118
"1.12","1101299474080","Quail Point Ct","M","S1400","04","019","id",2.040521108e-06,c(-111.036916559974, 32.2063573772666),"2021-08-08 05:35:20 UTC",1185.89467449851
"1.13","1101299474080","Quail Point Ct","M","S1400","04","019","id",2.040521108e-06,c(-111.036919764824, 32.2063431843604),"2021-03-25 05:20:07 UTC",1187.22317335049
"1.14","1101299474080","Quail Point Ct","M","S1400","04","019","id",2.040521108e-06,c(-111.036922312725, 32.2062986298018),"2021-09-05 18:32:13 UTC",1192.05604203756
"1.15","1101299474080","Quail Point Ct","M","S1400","04","019","id",2.040521108e-06,c(-111.036921628, 32.2062931846123),"2021-09-05 18:32:13 UTC",1192.73358959391
"1.16","1101299474080","Quail Point Ct","M","S1400","04","019","id",2.040521108e-06,c(-111.036919620238, 32.2062772181423),"2020-12-16 23:54:06 UTC",1194.72143728533
"1.17","1101299474080","Quail Point Ct","M","S1400","04","019","id",2.040521108e-06,c(-111.036918278541, 32.2062665484643),"2021-07-24 02:07:24 UTC",1196.05076504324
"1.18","1101299474080","Quail Point Ct","M","S1400","04","019","id",2.040521108e-06,c(-111.036917888918, 32.2062634500376),"2021-08-26 22:49:12 UTC",1196.43693623831
"1.19","1101299474080","Quail Point Ct","M","S1400","04","019","id",2.040521108e-06,c(-111.036917260289, 32.2062584509423),"2021-03-24 22:25:11 UTC",1197.06012944179
"1.20","1101299474080","Quail Point Ct","M","S1400","04","019","id",2.040521108e-06,c(-111.036916144139, 32.2062495748964),"2021-03-31 17:34:22 UTC",1198.16703168531
"1.21","1101299474080","Quail Point Ct","M","S1400","04","019","id",2.040521108e-06,c(-111.036884010243, 32.2059946811982),"2021-01-20 03:55:43 UTC",1230.17518695039
"1.22","1101299474080","Quail Point Ct","M","S1400","04","019","id",2.040521108e-06,c(-111.036884070241, 32.2059951563794),"2021-01-20 03:55:43 UTC",1230.11513367691
"1.23","1101299474080","Quail Point Ct","M","S1400","04","019","id",2.040521108e-06,c(-111.036884830775, 32.2060011798166),"2021-01-20 03:55:43 UTC",1229.35401141796
"1.24","1101299474080","Quail Point Ct","M","S1400","04","019","id",2.040521108e-06,c(-111.036885400745, 32.2060056939801),"2021-07-07 03:58:12 UTC",1228.78374501147
"1.25","1101299474080","Quail Point Ct","M","S1400","04","019","id",2.040521108e-06,c(-111.036885998565, 32.2060104287257),"2021-08-08 23:34:20 UTC",1228.1857454768
"1.26","1101299474080","Quail Point Ct","M","S1400","04","019","id",2.040521108e-06,c(-111.036886315849, 32.2060129416169),"2021-06-21 00:37:15 UTC",1227.86842192919
"1.27","1101299474080","Quail Point Ct","M","S1400","04","019","id",2.040521108e-06,c(-111.036886286936, 32.2060127126256),"2021-06-21 00:37:15 UTC",1227.89733696436
"1.28","1101299474080","Quail Point Ct","M","S1400","04","019","id",2.040521108e-06,c(-111.036880060333, 32.205963397858),"2021-03-31 19:52:19 UTC",1234.13175695306
"1.29","1101299474080","Quail Point Ct","M","S1400","04","019","id",2.040521108e-06,c(-111.036880591053, 32.2059676011622),"2021-03-31 19:53:19 UTC",1233.59980126534
"1.30","1101299474080","Quail Point Ct","M","S1400","04","019","id",2.040521108e-06,c(-111.036879919185, 32.2059622799596),"2021-03-31 19:52:19 UTC",1234.27325211245
"1.31","1101299474080","Quail Point Ct","M","S1400","04","019","id",2.040521108e-06,c(-111.036879554283, 32.2059593899285),"2021-05-12 03:41:21 UTC",1234.63908508446
"1.32","1101299474080","Quail Point Ct","M","S1400","04","019","id",2.040521108e-06,c(-111.036887849818, 32.20602509066),"2021-07-30 20:44:15 UTC",1226.33480302252
"1.33","1101299474080","Quail Point Ct","M","S1400","04","019","id",2.040521108e-06,c(-111.036891512758, 32.2060541011538),"2021-06-25 21:24:21 UTC",1222.67634479263
"1.34","1101299474080","Quail Point Ct","M","S1400","04","019","id",2.040521108e-06,c(-111.036891458292, 32.2060536697795),"2021-06-25 21:24:21 UTC",1222.73070679648
"1.35","1101299474080","Quail Point Ct","M","S1400","04","019","id",2.040521108e-06,c(-111.036892132807, 32.2060590119429),"2021-01-06 21:35:24 UTC",1222.05756534267
"1.36","1101299474080","Quail Point Ct","M","S1400","04","019","id",2.040521108e-06,c(-111.03689270259, 32.2060635246197),"2021-01-06 21:35:24 UTC",1221.48908058176
"1.37","1101299474080","Quail Point Ct","M","S1400","04","019","id",2.040521108e-06,c(-111.036893016408, 32.2060660100591),"2021-06-06 03:55:23 UTC",1221.17603081338
"1.38","1101299474080","Quail Point Ct","M","S1400","04","019","id",2.040521108e-06,c(-111.036892634371, 32.2060629843223),"2021-01-06 21:35:24 UTC",1221.55713796814
"1.39","1101299474080","Quail Point Ct","M","S1400","04","019","id",2.040521108e-06,c(-111.03689315981, 32.2060671458019),"2021-06-06 03:55:23 UTC",1221.03299271894
"1.40","1101299474080","Quail Point Ct","M","S1400","04","019","id",2.040521108e-06,c(-111.036894380224, 32.2060768114732),"2020-12-24 20:28:16 UTC",1219.81599817253
