"","LINEARID","FULLNAME","RTTYP","MTFCC","STATEFP","COUNTYFP","id","area","geometry","Cross_Times","Passage_Distances"
"1","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.048312460415, 32.2390763317572),"2022-09-08 16:13:11 UTC",1595.49418184047
"1.1","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.049015302148, 32.2391178890763),"2021-09-22 16:58:07 UTC",1510.67173585501
"1.2","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.048862991977, 32.2391088836804),"2022-05-01 13:54:07 UTC",1528.99261705173
"1.3","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.048855735658, 32.2391084546432),"2022-05-01 13:54:07 UTC",1529.86632895274
"1.4","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.0488568778, 32.2391085221735),"2022-05-01 13:54:07 UTC",1529.72880183929
"1.5","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.04860363481, 32.2390935486662),"2022-03-16 18:28:10 UTC",1560.26881198279
"1.6","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.04858103732, 32.2390922125188),"2021-06-12 11:44:54 UTC",1562.99842668196
"1.7","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.048374925341, 32.2390800253151),"2022-11-17 18:33:31 UTC",1587.92773321733
"1.8","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.048374092417, 32.2390799760644),"2022-11-17 18:33:31 UTC",1588.02859223222
"1.9","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.048380610523, 32.239080361479),"2021-03-04 17:10:06 UTC",1587.23933747013
"1.10","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.047904106659, 32.2390493104892),"2022-05-11 09:05:09 UTC",1644.96080366784
"1.11","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.048071068935, 32.2390618075753),"2021-03-04 14:55:07 UTC",1624.77103654767
"1.12","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.048054798626, 32.2390605897564),"2021-03-04 14:55:07 UTC",1626.73684845912
"1.13","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.047808355687, 32.2390421434514),"2021-06-12 11:03:51 UTC",1656.55614128365
"1.14","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.0477768541, 32.2390397855162),"2021-06-12 11:03:51 UTC",1660.37355858324
"1.15","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.047644350777, 32.239032446404),"2021-03-18 17:53:06 UTC",1676.55003575687
"1.16","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.047656422069, 32.2390330634317),"2022-05-13 08:50:13 UTC",1675.07340522174
"1.17","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.047677950449, 32.2390341638585),"2022-03-21 12:15:11 UTC",1672.44031651283
"1.18","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.046993608672, 32.238999181815),"2022-03-27 15:57:08 UTC",1756.37291752319
