"","LINEARID","FULLNAME","RTTYP","MTFCC","STATEFP","COUNTYFP","id","area","geometry","Cross_Times","Passage_Distances"
"1","1101299433763","Twin Peaks Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.114753911211, 32.3761170639575),"2023-12-12 03:52:11 UTC",5.06025091121123
"1.1","1101299433763","Twin Peaks Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.114628766545, 32.3761731978375),"2024-01-22 11:24:17 UTC",5.37425184204053
"1.2","1101299433763","Twin Peaks Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.114978498302, 32.3760162532617),"2023-12-16 06:32:09 UTC",4.50612426421954
"1.3","1101299433763","Twin Peaks Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.113987724079, 32.3764607356327),"2024-01-31 09:26:16 UTC",6.98218625602171
"1.4","1101299433763","Twin Peaks Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.114028900506, 32.3764422662146),"2024-01-25 10:45:20 UTC",6.87892845972763
"1.5","1101299433763","Twin Peaks Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.114068917076, 32.3764243170229),"2024-01-25 11:25:20 UTC",6.77857587219504
"1.6","1101299433763","Twin Peaks Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.114137542613, 32.3763935354047),"2023-12-10 00:23:16 UTC",6.60647069937772
"1.7","1101299433763","Twin Peaks Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.114569257214, 32.3761998907939),"2024-01-22 18:06:08 UTC",5.52355556272136
"1.8","1101299433763","Twin Peaks Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.114398931403, 32.3762762903272),"2023-12-10 14:28:20 UTC",5.95084771385923
"1.9","1101299433763","Twin Peaks Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.114385308558, 32.3762824008303),"2023-12-10 14:28:20 UTC",5.98502042068003
"1.10","1101299433763","Twin Peaks Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.114360587036, 32.376293489619),"2023-12-12 07:57:09 UTC",6.04703301248025
"1.11","1101299433763","Twin Peaks Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.114341535209, 32.3763020352726),"2023-12-10 22:13:09 UTC",6.09482261982927
"1.12","1101299433763","Twin Peaks Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.11428536121, 32.3763272319656),"2023-12-10 20:21:14 UTC",6.23572512967842
"1.13","1101299433763","Twin Peaks Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.114315598837, 32.3763136689661),"2024-01-23 03:24:12 UTC",6.15988021815284
"1.14","1101299433763","Twin Peaks Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.113871209185, 32.3765129975159),"2023-12-21 19:28:06 UTC",7.27435073320803
"1.15","1101299433763","Twin Peaks Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.113609128596, 32.3766305511889),"2023-12-25 22:12:10 UTC",7.93142288550946
"1.16","1101299433763","Twin Peaks Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.113739533962, 32.3765720592491),"2024-01-31 15:25:08 UTC",7.604496406098
"1.17","1101299433763","Twin Peaks Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.1136810692, 32.3765982830223),"2023-12-16 08:21:08 UTC",7.75107201328219
"1.18","1101299433763","Twin Peaks Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.113461821485, 32.3766966239738),"2023-12-25 00:36:15 UTC",8.30067979507339
"1.19","1101299433763","Twin Peaks Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.113433731936, 32.3767092231638),"2024-01-25 05:22:08 UTC",8.37108719461482
"1.20","1101299433763","Twin Peaks Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.113113036028, 32.3768469563487),"2023-12-26 10:45:09 UTC",9.9867566228562
"1.21","1101299433763","Twin Peaks Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.11294338054, 32.3769562634862),"2023-12-25 15:39:10 UTC",5.99840973946762
"2","1105598236626","W Ina Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.088570610955, 32.3375690000812),"2023-12-20 15:38:09 UTC",816.927519968653
"2.1","1105598236626","W Ina Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.086279267374, 32.3375716575815),"2024-01-20 13:50:09 UTC",521.632313351225
"2.2","1105598236626","W Ina Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.081841256117, 32.3375799937829),"2024-01-11 14:42:12 UTC",8.95813853795677
"2.3","1105598236626","W Ina Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.082338698165, 32.3375789687945),"2024-01-08 20:48:07 UTC",16.3959154104206
"2.4","1105598236626","W Ina Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.082397616414, 32.337578847263),"2023-12-21 07:05:08 UTC",23.1045919584937
"2.5","1105598236626","W Ina Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.082946963607, 32.3375777479234),"2024-01-06 16:42:10 UTC",92.4987473112282
"2.6","1105598236626","W Ina Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.083113848813, 32.3375774449963),"2024-01-01 11:21:11 UTC",113.924952416089
"2.7","1105598236626","W Ina Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.08311425029, 32.3375774442672),"2024-01-01 11:21:11 UTC",113.976535692141
"2.8","1105598236626","W Ina Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.083495945066, 32.3375767505945),"2024-01-12 09:09:11 UTC",163.064986431929
"2.9","1105598236626","W Ina Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.083220308214, 32.3375772516382),"2024-01-10 05:42:08 UTC",127.607894304884
"2.10","1105598236626","W Ina Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.080298444995, 32.3375830000162),"2024-01-06 11:16:13 UTC",8.44477374068887
"2.11","1105598236626","W Ina Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.08030095644, 32.337583000017),"2024-01-06 11:16:13 UTC",8.44634811138192
"2.12","1105598236626","W Ina Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.079847174112, 32.3375830013946),"2024-01-05 04:45:09 UTC",23.832385911226
"2.13","1105598236626","W Ina Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.079285842061, 32.3375830022226),"2023-12-27 23:41:08 UTC",95.0654442304221
"2.14","1105598236626","W Ina Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.078864944278, 32.3375830012129),"2024-01-04 12:29:09 UTC",149.187000050091
"2.15","1105598236626","W Ina Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.080508855931, 32.337582858788),"2024-01-12 02:35:13 UTC",8.55527391480025
"2.16","1105598236626","W Ina Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.080537413903, 32.3375826965378),"2024-01-11 23:16:12 UTC",8.54855618615736
"2.17","1105598236626","W Ina Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.080587200218, 32.3375824136648),"2024-01-05 07:44:06 UTC",8.53684699950952
"2.18","1105598236626","W Ina Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.081046142675, 32.3375820000399),"2024-01-04 14:40:08 UTC",8.76226692426422
"2.19","1105598236626","W Ina Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.081033510353, 32.3375820000474),"2024-01-04 14:40:08 UTC",8.75432854567132
"2.20","1105598236626","W Ina Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.081243537157, 32.3375810000281),"2024-01-08 01:18:11 UTC",8.73455485355624
