"","LINEARID","FULLNAME","RTTYP","MTFCC","STATEFP","COUNTYFP","id","area","geometry","Cross_Times","Passage_Distances"
"1","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.047032074396, 32.2648253218781),"2023-05-26 14:57:11 UTC",2282.47429537885
"1.1","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049393180144, 32.2617310936475),"2023-05-26 14:24:11 UTC",2782.47080704555
"1.2","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.047548770912, 32.2638940617328),"2023-05-26 14:46:11 UTC",2428.3136257331
"2","1101299419017","N Reed Basin Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.057003728125, 32.2705666881481),"2023-12-16 20:24:34 UTC",1932.76219531149
"2.1","1101299419017","N Reed Basin Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.057006003683, 32.2705135073668),"2023-11-21 11:48:19 UTC",1938.90850699556
"2.2","1101299419017","N Reed Basin Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.056990401736, 32.2708781303871),"2024-01-10 07:33:10 UTC",1897.06003555217
"2.3","1101299419017","N Reed Basin Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.056991032486, 32.2708633896075),"2023-06-18 09:43:10 UTC",1898.73834267006
"2.4","1101299419017","N Reed Basin Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.056988706087, 32.2710141495744),"2023-05-11 18:06:13 UTC",1881.99921983266
"2.5","1101299419017","N Reed Basin Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.056986002155, 32.2709809496324),"2023-07-28 23:26:16 UTC",1885.3861633046
"2.6","1101299419017","N Reed Basin Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.056990408937, 32.2702627734474),"2023-11-10 15:11:16 UTC",1965.8116347726
"2.7","1101299419017","N Reed Basin Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.057012786987, 32.2703549782233),"2023-03-28 11:08:08 UTC",1957.31410901984
"3","1101299381384","Willemite Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.052676978997, 32.2797758122889),"2023-10-03 19:44:14 UTC",752.372264274892
"3.1","1101299381384","Willemite Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.0526763322, 32.2796160536609),"2023-10-10 12:39:13 UTC",753.357348850674
"3.2","1101299381384","Willemite Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.052676, 32.2794505272818),"2024-01-24 21:17:11 UTC",755.243728861685
"3.3","1101299381384","Willemite Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.052676, 32.2793818654657),"2023-10-06 13:55:13 UTC",756.288054408297
"3.4","1101299381384","Willemite Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.052676, 32.2792545441291),"2024-01-03 09:56:10 UTC",758.600651562275
"3.5","1101299381384","Willemite Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.052676, 32.2791817364084),"2023-05-18 13:03:11 UTC",760.141286696576
"3.6","1101299381384","Willemite Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.052676, 32.2791499327964),"2023-10-18 20:28:11 UTC",760.863771971648
"3.7","1101299381384","Willemite Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.052676, 32.2787974946492),"2023-09-03 13:13:08 UTC",770.8557695391
"3.8","1101299381384","Willemite Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.052676, 32.2787021864661),"2023-10-12 12:22:13 UTC",774.172402622106
"3.9","1101299381384","Willemite Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.052676, 32.2786428454932),"2023-08-16 10:52:15 UTC",776.366748328159
"4","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079749182034, 32.2703331024582),"2023-04-17 07:17:04 UTC",4489.28092995202
"4.1","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079746452475, 32.2703073466842),"2023-05-05 09:24:11 UTC",4490.21943525022
"4.2","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079732861573, 32.2701791044413),"2023-07-19 13:12:15 UTC",4494.94062799988
"4.3","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079719666354, 32.2700545954669),"2023-02-25 08:37:08 UTC",4499.60104448105
"4.4","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.07971518423, 32.2700074668308),"2023-03-12 06:03:28 UTC",4501.44707547909
"4.5","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.07971135901, 32.2699486975915),"2023-09-14 07:07:17 UTC",4503.97847588095
"4.6","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079706155181, 32.2698687478141),"2023-11-29 06:58:08 UTC",4507.44840973936
"4.7","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079729494864, 32.2693316296237),"2023-08-03 17:10:10 UTC",4538.57377043726
"4.8","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079771675749, 32.2695462627544),"2023-05-26 21:38:13 UTC",4532.21745364842
"4.9","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079799984949, 32.2696231020152),"2023-11-29 07:08:09 UTC",4531.59832183318
"4.10","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079746960061, 32.269778294141),"2023-01-31 03:46:12 UTC",4517.07522827616
"4.11","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079752613446, 32.2697678497619),"2023-11-29 07:02:09 UTC",4518.30282603194
"4.12","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079691, 32.2668870503178),"2023-05-14 09:11:09 UTC",4678.67035508339
"4.13","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079691, 32.2668337248614),"2023-04-23 02:45:15 UTC",4682.10635589743
"4.14","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079691, 32.2668541145973),"2023-04-23 02:47:15 UTC",4680.79119403228
"4.15","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079678167993, 32.2671526027141),"2023-11-11 03:10:11 UTC",4660.22562709507
"4.16","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079692048793, 32.2671903926863),"2023-12-03 04:57:08 UTC",4659.46771405167
"4.17","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079728281869, 32.2672637222913),"2023-11-07 07:26:11 UTC",4659.11195116513
"4.18","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079739435518, 32.2672923035317),"2023-02-22 08:38:13 UTC",4658.6325878791
"4.19","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079756694658, 32.2673365300672),"2023-12-01 07:33:08 UTC",4657.89958356086
"4.20","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079779148146, 32.2674469382659),"2023-02-28 19:51:10 UTC",4653.68373366972
"4.21","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079752832581, 32.2677784964314),"2023-01-30 20:07:11 UTC",4630.27525133311
"4.22","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079707486281, 32.2686886979701),"2023-11-29 07:48:09 UTC",4571.48792869298
"4.23","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079678629015, 32.2688411995121),"2023-08-10 16:32:14 UTC",4559.42484996919
