"","LINEARID","FULLNAME","RTTYP","MTFCC","STATEFP","COUNTYFP","id","area","geometry","Cross_Times","Passage_Distances"
"1","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.032628761688, 32.2446527845386),"2022-07-05 17:30:09 UTC",1754.78845462762
"1.1","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.032632602029, 32.2442119658073),"2022-08-17 21:21:11 UTC",1791.22546415458
"1.2","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.03262750318, 32.2447836698509),"2022-05-15 21:21:09 UTC",1744.30613232388
"1.3","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.032615202995, 32.2461089343598),"2022-06-13 08:42:08 UTC",1648.03200703335
"1.4","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.032615387391, 32.2460925231244),"2022-09-21 08:06:02 UTC",1649.11174992633
"1.5","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.032620607108, 32.2456191644124),"2022-08-20 09:49:14 UTC",1681.54006088172
"1.6","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.032621394583, 32.2455376607113),"2022-08-12 10:17:12 UTC",1687.35786923238
"1.7","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.032621936099, 32.2454816137459),"2022-04-14 14:08:10 UTC",1691.39963470214
"1.8","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.032623886117, 32.2451666199222),"2022-04-12 19:45:09 UTC",1714.60282669209
"1.9","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.032624138986, 32.2451335455031),"2022-09-21 04:38:02 UTC",1717.10389430377
"1.10","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.032625178873, 32.2450253977541),"2022-08-30 21:12:08 UTC",1725.38282967141
"1.11","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.032612687163, 32.2463703831324),"2022-09-09 05:49:17 UTC",1631.29891969195
"1.12","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.03261297922, 32.2463093430251),"2022-08-17 19:37:17 UTC",1635.09957434636
"1.13","1101299309068","N Cam Claveles","M","S1400","04","019","id",2.040521108e-06,c(-111.032614105657, 32.2462065970951),"2022-04-23 16:38:11 UTC",1641.67026017113
"2","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.04824477782, 32.2390723296429),"2022-06-05 01:31:15 UTC",1603.69843394982
"2.1","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.047822570463, 32.2390432074436),"2022-06-04 23:50:15 UTC",1654.83399038102
"2.2","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.047583899922, 32.239029356423),"2022-08-13 16:58:07 UTC",1683.94707130787
"2.3","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.0475620566, 32.2390282398816),"2022-04-04 11:38:11 UTC",1686.62086842359
"2.4","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.04696880235, 32.2389979137007),"2022-04-25 22:42:12 UTC",1759.42392032278
"2.5","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.046723110276, 32.2389888219607),"2022-09-07 18:49:07 UTC",1789.80366160364
"2.6","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.046437274374, 32.238985116762),"2022-08-17 12:48:09 UTC",1825.46128021143
"2.7","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.046471745818, 32.2389855636384),"2022-08-17 12:48:09 UTC",1821.15830646742
"2.8","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.046328036287, 32.2389837005739),"2022-01-24 21:17:10 UTC",1839.10194395368
"2.9","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.046207486733, 32.2389822610642),"2022-06-16 11:47:10 UTC",1854.16785979153
"2.10","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.041559611276, 32.2380128917492),"2022-07-09 18:08:09 UTC",2419.0364163039
"2.11","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.041793368408, 32.2380814337983),"2022-05-16 18:08:08 UTC",2390.37786395322
"2.12","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.041864626529, 32.2381010634672),"2022-02-11 06:14:03 UTC",2381.63331093071
"2.13","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.041913393391, 32.2381144973799),"2022-04-15 21:26:09 UTC",2375.65299440894
"2.14","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.041997005439, 32.2381375301183),"2022-06-20 06:55:25 UTC",2365.40758643413
"2.15","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.041987585063, 32.2381349350761),"2022-06-20 06:55:25 UTC",2366.56140458776
"2.16","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.041986070817, 32.238134517945),"2022-06-20 06:55:25 UTC",2366.74688319657
"2.17","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.041952302237, 32.2381252156674),"2022-09-25 00:50:25 UTC",2370.88403355116
"2.18","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.042013491081, 32.2381420714354),"2022-04-11 08:02:09 UTC",2363.38871898528
"2.19","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.042026853953, 32.2381457525177),"2022-03-25 12:11:08 UTC",2361.75256498646
"2.20","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.042102017716, 32.2381664579157),"2022-06-11 06:52:11 UTC",2352.55439234071
"2.21","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.042266085638, 32.2382136182662),"2022-02-10 22:31:04 UTC",2332.54773040732
"2.22","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.042838281709, 32.2383887804271),"2022-03-20 07:41:10 UTC",2263.3752587672
"2.23","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.042935155324, 32.23841843531),"2022-07-17 06:40:15 UTC",2251.72549502263
