"","LINEARID","FULLNAME","RTTYP","MTFCC","STATEFP","COUNTYFP","id","area","geometry","Cross_Times","Passage_Distances"
"1","1101299431852","W Trails End Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.098536584974, 32.2376072797427),"2022-01-29 11:49:07 UTC",4920.8551915007
"1.1","1101299431852","W Trails End Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.098411690941, 32.2376129439124),"2022-03-23 18:54:10 UTC",4904.78577621335
"1.2","1101299431852","W Trails End Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.098424089696, 32.237612381612),"2022-03-23 18:54:10 UTC",4906.38103129072
"1.3","1101299431852","W Trails End Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.098938866604, 32.2376028262718),"2022-02-14 11:31:08 UTC",4972.71529776261
"1.4","1101299431852","W Trails End Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.098841001425, 32.2376025434737),"2022-02-14 14:00:09 UTC",4960.08914491442
"1.5","1101299431852","W Trails End Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.098762326576, 32.2376023160747),"2021-10-25 00:33:07 UTC",4949.93888176806
"1.6","1101299431852","W Trails End Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.09870326366, 32.2376021453293),"2022-03-16 14:59:07 UTC",4942.31887913428
"1.7","1101299431852","W Trails End Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.098641192402, 32.2376025355121),"2021-12-23 17:29:10 UTC",4934.31484124943
"1.8","1101299431852","W Trails End Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.098619508619, 32.2376035189376),"2021-11-10 01:42:32 UTC",4931.52479822245
"1.9","1101299431852","W Trails End Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.09815401444, 32.2376200454377),"2021-12-03 02:10:10 UTC",4871.60004732826
"1.10","1101299431852","W Trails End Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.098190414039, 32.2376212723891),"2022-01-26 09:12:06 UTC",4876.30411130953
"1.11","1101299431852","W Trails End Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.098039475509, 32.2376135640137),"2021-09-21 00:36:08 UTC",4856.77854731095
"1.12","1101299431852","W Trails End Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.09790769763, 32.2375880138266),"2022-01-10 15:46:05 UTC",4839.59499711362
"2","11015682267181","W Trails End Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.099622789707, 32.2372477643381),"2021-03-16 05:08:05 UTC",5058.75523256688
"2.1","11015682267181","W Trails End Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.099614266594, 32.2372549305301),"2021-03-16 05:10:05 UTC",5057.69368820587
"2.2","11015682267181","W Trails End Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.099610231791, 32.2372583229719),"2021-08-07 06:14:19 UTC",5057.19124569255
"2.3","11015682267181","W Trails End Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.09931024042, 32.2375935653659),"2021-01-28 06:29:07 UTC",5020.55647788793
"2.4","11015682267181","W Trails End Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.099338256221, 32.2374844861701),"2022-02-14 13:49:09 UTC",5023.43747836885
"2.5","11015682267181","W Trails End Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.099325289978, 32.2375081900792),"2022-02-14 11:43:08 UTC",5021.91929340104
"2.6","11015682267181","W Trails End Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.099374721383, 32.2377200598112),"2022-01-03 23:33:04 UTC",5029.79202322681
"2.7","11015682267181","W Trails End Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.099369764095, 32.2377119629402),"2021-01-28 05:12:07 UTC",5029.09171824504
"2.8","11015682267181","W Trails End Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.099382703942, 32.2377317872906),"2022-03-03 08:34:08 UTC",5030.91034094533
"2.9","11015682267181","W Trails End Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.099386268115, 32.2377370235502),"2021-03-16 06:40:05 UTC",5031.40985579517
"2.10","11015682267181","W Trails End Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.099546769398, 32.2379976599009),"2021-03-21 10:53:19 UTC",5054.24248181666
"2.11","11015682267181","W Trails End Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.09959818262, 32.2381064644909),"2022-04-01 05:22:07 UTC",5061.85099787641
"2.12","11015682267181","W Trails End Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.099614650685, 32.2381483507511),"2022-01-21 03:37:12 UTC",5064.36522801886
"2.13","11015682267181","W Trails End Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.09962687327, 32.2381794386718),"2021-10-30 23:36:13 UTC",5066.23622572807
"2.14","11015682267181","W Trails End Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.099645481973, 32.238226769526),"2022-04-07 07:31:11 UTC",5069.09285964836
