"","LINEARID","FULLNAME","RTTYP","MTFCC","STATEFP","COUNTYFP","id","area","geometry","Cross_Times","Passage_Distances"
"1","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.008310468018, 32.2351839915326),"2022-11-05 01:37:10 UTC",396.532491523743
"2","1101300932603",NA,NA,"S1400","04","019","id",2.040521108e-06,c(-111.011574721406, 32.1807581722967),"2022-01-16 09:09:07 UTC",1001.12600678102
"2.1","1101300932603",NA,NA,"S1400","04","019","id",2.040521108e-06,c(-111.011249605804, 32.18073997998),"2022-07-18 18:02:01 UTC",1005.73458489618
"2.2","1101300932603",NA,NA,"S1400","04","019","id",2.040521108e-06,c(-111.011855989869, 32.1807577031775),"2022-07-04 16:28:08 UTC",1001.02525842996
"2.3","1101300932603",NA,NA,"S1400","04","019","id",2.040521108e-06,c(-111.012000337972, 32.1807537818254),"2022-05-04 18:31:19 UTC",1002.04710306704
"2.4","1101300932603",NA,NA,"S1400","04","019","id",2.040521108e-06,c(-111.012195692996, 32.1807484745607),"2021-11-26 20:25:12 UTC",1003.98255825142
"2.5","1101300932603",NA,NA,"S1400","04","019","id",2.040521108e-06,c(-111.012152955527, 32.1807496356472),"2021-11-26 20:23:12 UTC",1003.50498330532
"2.6","1101300932603",NA,NA,"S1400","04","019","id",2.040521108e-06,c(-111.012437904474, 32.1807420000082),"2021-11-26 20:37:12 UTC",1007.24330491651
"2.7","1101300932603",NA,NA,"S1400","04","019","id",2.040521108e-06,c(-111.012791132684, 32.1807420002457),"2022-02-11 07:59:10 UTC",1012.29600678641
"2.8","1101300932603",NA,NA,"S1400","04","019","id",2.040521108e-06,c(-111.013017860255, 32.1807403352068),"2022-02-03 12:31:09 UTC",1016.85954078804
"2.9","1101300932603",NA,NA,"S1400","04","019","id",2.040521108e-06,c(-111.013535545537, 32.1807237155571),"2022-05-30 16:47:07 UTC",1032.24090559553
"2.10","1101300932603",NA,NA,"S1400","04","019","id",2.040521108e-06,c(-111.013461879294, 32.1807260806503),"2022-06-13 17:19:09 UTC",1029.79987319794
"2.11","1101300932603",NA,NA,"S1400","04","019","id",2.040521108e-06,c(-111.013812883492, 32.180715000009),"2022-08-20 10:05:11 UTC",1042.13527739825
"2.12","1101300932603",NA,NA,"S1400","04","019","id",2.040521108e-06,c(-111.014669914549, 32.1804824114172),"2022-05-22 23:04:08 UTC",1109.08110654706
"2.13","1101300932603",NA,NA,"S1400","04","019","id",2.040521108e-06,c(-111.014693654559, 32.1804792460984),"2022-01-11 14:23:12 UTC",1110.58319922132
"2.14","1101300932603",NA,NA,"S1400","04","019","id",2.040521108e-06,c(-111.014594720324, 32.1805032636719),"2022-06-08 08:32:12 UTC",1102.81447148336
"2.15","1101300932603",NA,NA,"S1400","04","019","id",2.040521108e-06,c(-111.014500381519, 32.1805369969284),"2022-03-28 11:26:10 UTC",1093.94722990318
"2.16","1101300932603",NA,NA,"S1400","04","019","id",2.040521108e-06,c(-111.014435353011, 32.1805916565893),"2021-11-26 22:28:15 UTC",1083.35870799204
