"","LINEARID","FULLNAME","RTTYP","MTFCC","STATEFP","COUNTYFP","id","area","geometry","Cross_Times","Passage_Distances"
"1","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079714965839, 32.2700041115521),"2021-10-05 16:25:05 UTC",4501.59115926918
"1.1","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079706238051, 32.2698700209972),"2021-03-28 08:56:09 UTC",4507.39291534842
"1.2","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079719253496, 32.2692574367229),"2021-04-07 19:24:07 UTC",4541.34814740433
"1.3","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079722564167, 32.2692814206685),"2021-05-19 23:58:08 UTC",4540.44837051553
"1.4","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079717391699, 32.2692439490426),"2021-03-01 12:08:07 UTC",4541.85537262388
"1.5","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079730055411, 32.2693356904643),"2021-03-01 14:27:07 UTC",4538.42268952042
"1.6","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.07972992563, 32.2693347502757),"2021-03-01 14:28:07 UTC",4538.45766150181
"1.7","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079732237581, 32.2693514990291),"2021-04-10 22:48:11 UTC",4537.83530444308
"1.8","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.07974660868, 32.2694319415563),"2021-03-15 05:22:06 UTC",4535.25996633662
"1.9","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079788206785, 32.2695911327289),"2021-04-17 01:01:15 UTC",4531.85191237894
"1.10","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079781176993, 32.2695720518612),"2021-05-10 18:15:14 UTC",4532.00598543795
"1.11","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.07980094166, 32.2696594861722),"2021-10-05 16:43:05 UTC",4529.80809234838
"1.12","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079792775969, 32.2696936511881),"2021-10-05 16:42:05 UTC",4527.03370147361
"1.13","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079691, 32.2666058533922),"2021-02-28 18:37:07 UTC",4696.91835443385
"1.14","1103677607517","Sweetwater Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.079691, 32.2667526571317),"2022-04-03 11:25:09 UTC",4687.35193069203
