"","LINEARID","FULLNAME","RTTYP","MTFCC","STATEFP","COUNTYFP","id","area","geometry","Cross_Times","Passage_Distances"
"1","1101299431852","W Trails End Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.098224134031, 32.2376214497245),"2023-04-19 09:34:14 UTC",4880.65486260369
"1.1","1101299431852","W Trails End Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.098209809115, 32.2376219261507),"2023-04-19 09:34:14 UTC",4878.81061289839
"1.2","1101299431852","W Trails End Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.098294778415, 32.2376182459944),"2023-04-17 16:25:16 UTC",4889.74376989781
"1.3","1101299431852","W Trails End Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.098253776755, 32.2376201054287),"2023-04-19 09:33:14 UTC",4884.4685914059
"1.4","1101299431852","W Trails End Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.098349934354, 32.2376157446393),"2022-10-28 06:02:17 UTC",4896.84009495254
"1.5","1101299431852","W Trails End Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.098560300102, 32.2376062042049),"2023-04-03 07:51:21 UTC",4923.90654272236
"1.6","1101299431852","W Trails End Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.098505846552, 32.237608673797),"2023-04-03 07:52:21 UTC",4916.90020286105
"1.7","1101299431852","W Trails End Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.098923443012, 32.2376027817077),"2023-02-11 04:45:07 UTC",4970.72540785502
"1.8","1101299431852","W Trails End Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.098883825063, 32.2376026672292),"2023-03-29 11:34:22 UTC",4965.61406447802
"1.9","1101299431852","W Trails End Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.098900635739, 32.2376027158062),"2022-09-03 13:09:12 UTC",4967.78290709456
"1.10","1101299431852","W Trails End Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.098844787068, 32.2376025544144),"2022-04-14 03:33:12 UTC",4960.5775517676
"1.11","1101299431852","W Trails End Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.098773169662, 32.2376023474181),"2022-07-29 10:38:17 UTC",4951.33780456033
"1.12","1101299431852","W Trails End Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.098737199457, 32.2376022434379),"2022-09-04 05:23:15 UTC",4946.69710420774
"1.13","1101299431852","W Trails End Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.098744615326, 32.237602264876),"2022-09-04 05:23:15 UTC",4947.65386288014
"1.14","1101299431852","W Trails End Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.098653105325, 32.2376020003046),"2023-05-14 07:45:23 UTC",4935.84771480313
"1.15","1101299431852","W Trails End Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.098618835796, 32.2376035494521),"2022-06-17 11:10:19 UTC",4931.43822658847
"1.16","1101299431852","W Trails End Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.098991547411, 32.2376029784707),"2023-01-14 23:29:12 UTC",4979.51197270115
"1.17","1101299431852","W Trails End Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.098955487604, 32.2376028742935),"2022-10-27 08:27:13 UTC",4974.85967380943
"1.18","1101299431852","W Trails End Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.098953590909, 32.2376028688136),"2022-10-27 08:27:13 UTC",4974.61496953526
"1.19","1101299431852","W Trails End Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.099088645909, 32.2375981492567),"2022-08-14 12:15:22 UTC",4992.00326467109
"1.20","1101299431852","W Trails End Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.099099242555, 32.2375975951836),"2022-08-14 12:15:22 UTC",4993.36630640595
"1.21","1101299431852","W Trails End Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.099045466717, 32.2376004069839),"2023-03-25 17:43:13 UTC",4986.44918869913
"1.22","1101299431852","W Trails End Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.099179544811, 32.2375928115663),"2023-02-06 03:55:10 UTC",5003.69159459004
"1.23","1101299431852","W Trails End Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.099137350727, 32.2375956025913),"2023-02-04 13:23:57 UTC",4998.26817818435
"1.24","1101299431852","W Trails End Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.098121637278, 32.2376189530099),"2022-04-04 15:55:08 UTC",4867.41580962993
"1.25","1101299431852","W Trails End Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.098198834486, 32.2376215562226),"2022-05-21 18:06:16 UTC",4877.39231873331
"1.26","1101299431852","W Trails End Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.098075059922, 32.2376173468958),"2022-06-25 09:47:16 UTC",4861.39616537026
"1.27","1101299431852","W Trails End Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.09805572284, 32.2376157511532),"2023-03-09 10:18:10 UTC",4858.89024690516
"1.28","1101299431852","W Trails End Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.097970060603, 32.2376010346578),"2022-06-02 17:52:17 UTC",4847.73350576707
"1.29","1101299431852","W Trails End Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.097951495452, 32.2375971584239),"2022-12-12 04:52:13 UTC",4845.31065801819
"1.30","1101299431852","W Trails End Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.097956917788, 32.2375982905583),"2022-12-12 04:52:13 UTC",4846.01829600698
"1.31","1101299431852","W Trails End Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.097963502307, 32.237599665346),"2022-12-12 04:52:13 UTC",4846.87760926165
"1.32","1101299431852","W Trails End Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.09789909885, 32.2375862184756),"2022-07-16 11:35:15 UTC",4838.47287728551
"1.33","1101299431852","W Trails End Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.097882159287, 32.2375826816391),"2022-12-08 05:17:23 UTC",4836.26233434156
"2","11015682267181","W Trails End Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.099678058184, 32.2372012948308),"2022-04-18 08:29:12 UTC",5065.64495253251
"2.1","11015682267181","W Trails End Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.099622009916, 32.2372484199828),"2022-12-08 04:22:24 UTC",5058.65809997916
"2.2","11015682267181","W Trails End Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.099601400438, 32.237265748328),"2023-05-19 05:29:15 UTC",5056.09169910541
"2.3","11015682267181","W Trails End Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.099311753476, 32.2376128568219),"2023-02-06 07:46:10 UTC",5020.88707591716
"2.4","11015682267181","W Trails End Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.099308477716, 32.237571090883),"2023-02-06 04:06:10 UTC",5020.17347342917
"2.5","11015682267181","W Trails End Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.099313982894, 32.237545341932),"2023-02-11 04:33:08 UTC",5020.70824649177
"2.6","11015682267181","W Trails End Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.099315091409, 32.2375416996697),"2023-02-11 04:33:08 UTC",5020.82668749088
"2.7","11015682267181","W Trails End Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.099341495749, 32.2374804565152),"2023-01-14 23:39:12 UTC",5023.82940619965
"2.8","11015682267181","W Trails End Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.099387486822, 32.2374334099076),"2022-04-30 12:41:11 UTC",5029.4650990861
"2.9","11015682267181","W Trails End Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.09941926291, 32.2374123490176),"2022-06-02 18:26:18 UTC",5033.43505598183
"2.10","11015682267181","W Trails End Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.099423782861, 32.2374093532353),"2023-02-14 20:06:13 UTC",5033.99994058474
"2.11","11015682267181","W Trails End Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.09950376167, 32.2373478423761),"2023-03-05 20:07:22 UTC",5043.953247373
"2.12","11015682267181","W Trails End Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.099469616122, 32.2373765516806),"2022-04-26 18:08:16 UTC",5039.71611358419
"2.13","11015682267181","W Trails End Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.099536221647, 32.237320550261),"2023-05-14 07:28:23 UTC",5047.98499127081
"2.14","11015682267181","W Trails End Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.099510335174, 32.2373423154234),"2023-03-05 20:08:22 UTC",5044.76942334959
"2.15","11015682267181","W Trails End Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.099586382113, 32.2372783756532),"2023-03-29 10:13:23 UTC",5054.22246511281
"2.16","11015682267181","W Trails End Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.099578059078, 32.2372853736135),"2023-03-29 10:14:23 UTC",5053.18688750568
"2.17","11015682267181","W Trails End Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.099323954796, 32.2375125771077),"2022-09-17 09:36:12 UTC",5021.77595101614
"2.18","11015682267181","W Trails End Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.099321608332, 32.2375202869205),"2022-09-17 09:36:12 UTC",5021.52425844992
"2.19","11015682267181","W Trails End Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.099337182906, 32.2376578361498),"2022-08-18 07:17:23 UTC",5024.48951869023
