"","LINEARID","FULLNAME","RTTYP","MTFCC","STATEFP","COUNTYFP","id","area","geometry","Cross_Times","Passage_Distances"
"1","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.047029412053, 32.2649211661213),"2023-12-21 20:12:10 UTC",2267.91157672649
"1.1","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.047033816464, 32.2647626073712),"2024-04-04 07:28:07 UTC",2292.0032970471
"1.2","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.047033543136, 32.2647724472158),"2024-04-11 16:37:13 UTC",2290.50820265758
"1.3","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.047034136667, 32.2647510800592),"2024-04-11 07:29:19 UTC",2293.75479169521
"1.4","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.047035993321, 32.2647101771629),"2024-04-23 21:43:10 UTC",2299.97503229572
"1.5","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.047032095708, 32.26482455465),"2024-04-18 11:17:11 UTC",2282.59086965807
"1.6","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.047031322796, 32.2648523794517),"2024-04-18 11:17:11 UTC",2278.3631146453
"1.7","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.047022186979, 32.2652545089275),"2024-03-24 09:19:06 UTC",2217.27928803497
"1.8","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.047021270577, 32.2652973505851),"2024-03-24 09:18:06 UTC",2210.77219621852
"1.9","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.047055105569, 32.2645760891515),"2024-04-11 15:44:10 UTC",2320.46279688735
"1.10","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.047038493601, 32.264685452191),"2024-04-23 21:43:10 UTC",2303.74522007922
"1.11","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.047083318486, 32.2644685639499),"2024-01-18 18:43:15 UTC",2336.98985742726
"1.12","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.047161845291, 32.2642959835665),"2024-01-22 12:19:16 UTC",2363.78696256656
"1.13","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.04718408526, 32.2642595379751),"2024-01-22 12:19:16 UTC",2369.49622542101
"1.14","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.047436445614, 32.2639745850157),"2024-02-23 11:43:14 UTC",2414.97249608684
"1.15","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049145282695, 32.2610656046381),"2024-03-15 20:54:09 UTC",2878.50907818653
"1.16","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.04914473569, 32.261079846083),"2024-03-15 20:54:09 UTC",2876.3541411833
"1.17","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049147142267, 32.2610171900827),"2024-03-15 20:53:09 UTC",2885.83490443084
"1.18","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049151770762, 32.2611194770487),"2024-04-11 09:23:11 UTC",2870.5032078838
"1.19","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049237669711, 32.2613337580425),"2024-02-19 09:47:10 UTC",2839.68329789881
"1.20","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049341067066, 32.2615427526884),"2024-04-28 15:05:08 UTC",2809.95808407122
"1.21","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049360815979, 32.2615852424366),"2024-01-28 09:32:06 UTC",2803.89312042285
"1.22","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049395773523, 32.2617811658682),"2024-04-23 17:39:11 UTC",2774.97118706988
"1.23","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049401319478, 32.2618882454156),"2024-04-16 18:20:10 UTC",2758.93324987706
"1.24","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049359544739, 32.2621966947385),"2024-05-03 09:39:20 UTC",2711.75105417795
"1.25","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049387873362, 32.2620717654494),"2024-03-17 15:06:09 UTC",2731.05534662917
"1.26","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049296851786, 32.2623786072773),"2024-03-15 17:49:07 UTC",2683.27625116789
"1.27","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049120349811, 32.262696762974),"2024-04-13 20:30:08 UTC",2632.33606099535
"1.28","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.048514214178, 32.2632523813274),"2024-04-14 05:43:08 UTC",2538.33083658627
"1.29","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049019532953, 32.2628284354442),"2024-04-18 12:57:11 UTC",2610.78062585462
"1.30","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.048995450519, 32.2628538220117),"2024-04-20 15:59:10 UTC",2606.54556119395
"1.31","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.048965923288, 32.2628820767257),"2024-04-02 15:29:11 UTC",2601.78560064343
"1.32","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.048105292003, 32.2635184612313),"2024-04-02 12:43:12 UTC",2491.96050451437
"1.33","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.047806777184, 32.2637125159035),"2024-03-13 16:01:09 UTC",2458.72162416388
"1.34","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.047683508956, 32.2637978835841),"2024-01-22 13:46:21 UTC",2444.35262483196
"1.35","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.047678514189, 32.2638014489343),"2024-01-22 13:46:21 UTC",2443.75616300728
"1.36","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.047576091586, 32.2638745598315),"2023-12-21 20:07:10 UTC",2431.557219956
"1.37","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049195944771, 32.2593902520341),"2024-01-14 19:20:09 UTC",3131.78473967628
"1.38","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049171366546, 32.2603864982768),"2024-04-08 12:12:06 UTC",2981.26808622484
"1.39","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049167098194, 32.2604976277018),"2023-12-10 20:52:08 UTC",2964.45248237672
"1.40","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049168485742, 32.2604615019806),"2023-12-10 20:52:08 UTC",2969.91886156912
"1.41","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049161602317, 32.2606407161462),"2024-01-14 18:04:16 UTC",2942.80101262219
"1.42","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049155732206, 32.2607935475225),"2024-04-28 18:03:12 UTC",2919.67532423174
