"","LINEARID","FULLNAME","RTTYP","MTFCC","STATEFP","COUNTYFP","id","area","geometry","Cross_Times","Passage_Distances"
"1","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.047734216029, 32.2637616879833),"2023-05-18 08:35:19 UTC",2450.41610356519
"2","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.026567538368, 32.2359688878905),"2023-05-18 17:00:10 UTC",513.561828384735
"3","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.032096845828, 32.2516985629128),"2023-05-18 14:09:08 UTC",1434.09902762189
"4","1101299419017","N Reed Basin Pl","M","S1400","04","019","id",2.040521108e-06,c(-111.057009768349, 32.2704255253428),"2022-12-25 00:51:12 UTC",1949.10806301257
"5","1101300932603",NA,NA,"S1400","04","019","id",2.040521108e-06,c(-111.012528833797, 32.1807420001631),"2023-05-26 15:22:21 UTC",1008.34837666002
"6","1101299310032","S Mainside Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.037710228138, 32.1404098924768),"2023-05-24 17:08:18 UTC",5182.01922315463
"7","1101299381384","Willemite Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.052676088604, 32.279555885337),"2022-12-25 06:06:12 UTC",753.930697836058
"7.1","1101299381384","Willemite Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.052676, 32.2793941069247),"2022-11-21 12:38:12 UTC",756.091424202564
"7.2","1101299381384","Willemite Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.052676, 32.2792181830198),"2023-01-17 21:10:14 UTC",759.350304784882
"8","1101299309866","N Killdeer Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.066075212943, 32.3112763983415),"2023-04-02 14:21:10 UTC",2245.90614307604
"8.1","1101299309866","N Killdeer Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.065765467309, 32.3105726202446),"2023-04-02 14:39:09 UTC",2168.32578174331
"9","1101299299959","S Home Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.031913773098, 32.1600258729029),"2023-06-11 18:18:14 UTC",3548.00623145054
"9.1","1101299299959","S Home Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.031739189269, 32.1603361750448),"2023-06-21 14:51:17 UTC",3526.9336281626
"10","1102223140572","S Westover Ave","M","S1400","04","019","id",2.040521108e-06,c(-111.020071330154, 32.1542322214664),"2023-06-28 03:51:59 UTC",2163.81317182009
"11","1103277503594","N Cordett Wash Ct","M","S1400","04","019","id",2.040521108e-06,c(-111.054974337336, 32.2740693068773),"2023-03-13 07:43:20 UTC",1374.24851345639
"11.1","1103277503594","N Cordett Wash Ct","M","S1400","04","019","id",2.040521108e-06,c(-111.054974532822, 32.274069102655),"2023-03-13 07:43:20 UTC",1374.28782932899
"11.2","1103277503594","N Cordett Wash Ct","M","S1400","04","019","id",2.040521108e-06,c(-111.054834005724, 32.2741434263822),"2023-01-20 23:08:16 UTC",1353.14809276729
"11.3","1103277503594","N Cordett Wash Ct","M","S1400","04","019","id",2.040521108e-06,c(-111.055031853126, 32.2740092206048),"2023-02-08 00:24:20 UTC",1385.81771768844
"12","1101299304058","S Monroe St","M","S1400","04","019","id",2.040521108e-06,c(-111.03409269843, 32.149720011048),"2023-05-22 16:45:14 UTC",4104.59313529708
"13","1104742849043","W Tucson-Ajo Hwy","M","S1200","04","019","id",2.040521108e-06,c(-111.049819020436, 32.1772835251524),"2023-05-27 11:22:16 UTC",478.427670939921
"14","1101299302468","W Alvaro Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.031051897101, 32.1447319618627),"2023-06-29 11:51:10 UTC",4099.96797855486
"14.1","1101299302468","W Alvaro Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.031476746828, 32.1446639083353),"2023-06-29 13:07:10 UTC",4151.7665741838
"15","1101299308988","N Cerritos Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.061861628775, 32.2893340677739),"2023-05-06 16:40:19 UTC",2408.86478035828
"15.1","1101299308988","N Cerritos Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.061861673637, 32.2893519451493),"2023-01-27 10:37:14 UTC",2410.4841734706
"15.2","1101299308988","N Cerritos Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.061851965381, 32.2896547945193),"2023-03-30 02:03:12 UTC",2437.14020541638
