"","LINEARID","FULLNAME","RTTYP","MTFCC","STATEFP","COUNTYFP","id","area","geometry","Cross_Times","Passage_Distances"
"1","1104475157060",NA,NA,"S1630","04","019","id",2.040521108e-06,c(-111.005145376651, 32.2617058733338),"2023-06-03 00:15:09 UTC",369.424269375949
"2","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.047209974421, 32.2642187943771),"2022-03-08 11:33:10 UTC",2375.89051810429
"2.1","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.049350485125, 32.2622273580614),"2022-03-08 12:03:10 UTC",2706.97701250822
"2.2","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.048325756153, 32.2633750086698),"2022-02-17 17:25:16 UTC",2516.84813858969
"2.3","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.047780010281, 32.2637299005606),"2022-03-10 16:57:13 UTC",2455.76843578346
"2.4","1101299313841","N Cll Castellon","M","S1400","04","019","id",2.040521108e-06,c(-111.047606901175, 32.2638525674739),"2022-03-08 11:38:10 UTC",2435.22030580138
"3","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.031316769472, 32.2359664529885),"2022-03-09 19:04:11 UTC",1127.35320278282
"3.1","1103691831766","W Speedway Blvd","M","S1400","04","019","id",2.040521108e-06,c(-111.029231332323, 32.2359610000363),"2022-03-09 18:18:11 UTC",857.832187561446
"4","1101299301899","W Cll Paulo","M","S1400","04","019","id",2.040521108e-06,c(-111.030780649695, 32.252323697362),"2022-01-28 11:57:08 UTC",1280.04632234968
"5","1101299381384","Willemite Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.052676, 32.2788609966166),"2022-02-17 10:56:23 UTC",768.789494153207
"6","1101299309866","N Killdeer Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.064314364867, 32.3151252507819),"2023-01-30 19:31:07 UTC",2311.58266100358
"6.1","1101299309866","N Killdeer Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.064206456711, 32.3151639659182),"2023-01-30 18:19:07 UTC",2297.44549710546
"6.2","1101299309866","N Killdeer Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.063235777666, 32.3140187751525),"2023-01-30 19:51:07 UTC",2141.41293962282
"6.3","1101299309866","N Killdeer Dr","M","S1400","04","019","id",2.040521108e-06,c(-111.063288521378, 32.3142965516428),"2023-01-30 18:01:08 UTC",2172.7862331355
"7","1101299313075","N Camino de Vis","M","S1400","04","019","id",2.040521108e-06,c(-111.031839017915, 32.2708006689574),"2022-06-20 07:01:16 UTC",1931.8424247862
"7.1","1101299313075","N Camino de Vis","M","S1400","04","019","id",2.040521108e-06,c(-111.031907551437, 32.2707250456724),"2022-03-13 20:21:12 UTC",1930.9881251301
"7.2","1101299313075","N Camino de Vis","M","S1400","04","019","id",2.040521108e-06,c(-111.032209068532, 32.2702830211766),"2023-05-03 12:31:11 UTC",1918.14014660174
"7.3","1101299313075","N Camino de Vis","M","S1400","04","019","id",2.040521108e-06,c(-111.032254668741, 32.270069374864),"2022-09-10 04:18:11 UTC",1902.767901834
"7.4","1101299313075","N Camino de Vis","M","S1400","04","019","id",2.040521108e-06,c(-111.032254078396, 32.270057567976),"2022-09-10 04:19:11 UTC",1901.61300161328
"7.5","1101299313075","N Camino de Vis","M","S1400","04","019","id",2.040521108e-06,c(-111.032254033226, 32.2700566645794),"2022-09-10 04:19:11 UTC",1901.52467615294
"7.6","1101299313075","N Camino de Vis","M","S1400","04","019","id",2.040521108e-06,c(-111.032154894259, 32.270378740005),"2022-07-10 22:05:14 UTC",1921.77973585496
"7.7","1101299313075","N Camino de Vis","M","S1400","04","019","id",2.040521108e-06,c(-111.032152544491, 32.270381989299),"2022-07-10 22:05:14 UTC",1921.85425621821
"7.8","1101299313075","N Camino de Vis","M","S1400","04","019","id",2.040521108e-06,c(-111.032108698155, 32.2704426206219),"2022-06-05 00:58:16 UTC",1923.27631935043
"7.9","1101299313075","N Camino de Vis","M","S1400","04","019","id",2.040521108e-06,c(-111.031985145038, 32.270615935763),"2022-05-12 18:31:15 UTC",1927.84617672725
"7.10","1101299313075","N Camino de Vis","M","S1400","04","019","id",2.040521108e-06,c(-111.032062785406, 32.269399940522),"2022-05-06 11:36:17 UTC",1822.22690727636
"7.11","1101299313075","N Camino de Vis","M","S1400","04","019","id",2.040521108e-06,c(-111.032045670561, 32.269353055313),"2022-05-06 11:37:17 UTC",1816.29147233811
"7.12","1101299313075","N Camino de Vis","M","S1400","04","019","id",2.040521108e-06,c(-111.032093188558, 32.2694832282138),"2022-06-26 07:59:11 UTC",1832.79822494863
"7.13","1101299313075","N Camino de Vis","M","S1400","04","019","id",2.040521108e-06,c(-111.032101797075, 32.2695068107219),"2022-04-16 20:26:08 UTC",1835.79776922082
"7.14","1101299313075","N Camino de Vis","M","S1400","04","019","id",2.040521108e-06,c(-111.032102015727, 32.269507409706),"2022-04-16 20:26:08 UTC",1835.87399225975
"7.15","1101299313075","N Camino de Vis","M","S1400","04","019","id",2.040521108e-06,c(-111.032145645364, 32.2696269302508),"2023-01-13 14:44:03 UTC",1851.11886078413
"7.16","1101299313075","N Camino de Vis","M","S1400","04","019","id",2.040521108e-06,c(-111.032138079369, 32.2696062037234),"2022-07-09 11:17:25 UTC",1848.47017132588
"7.17","1101299313075","N Camino de Vis","M","S1400","04","019","id",2.040521108e-06,c(-111.032188397824, 32.2697465822787),"2022-04-05 08:52:20 UTC",1866.35396083668
"7.18","1101299313075","N Camino de Vis","M","S1400","04","019","id",2.040521108e-06,c(-111.03218286771, 32.2697288981765),"2022-06-20 07:38:16 UTC",1864.17975769923
"7.19","1101299313075","N Camino de Vis","M","S1400","04","019","id",2.040521108e-06,c(-111.03218043752, 32.269722240856),"2022-06-20 07:38:16 UTC",1863.32551416227
"7.20","1101299313075","N Camino de Vis","M","S1400","04","019","id",2.040521108e-06,c(-111.032198424091, 32.2697798272934),"2022-08-20 23:43:14 UTC",1870.4073513437
"7.21","1101299313075","N Camino de Vis","M","S1400","04","019","id",2.040521108e-06,c(-111.032196760535, 32.2697743112864),"2022-08-20 23:43:14 UTC",1869.73441445909
"7.22","1101299313075","N Camino de Vis","M","S1400","04","019","id",2.040521108e-06,c(-111.032013095483, 32.2690695493899),"2022-06-18 17:24:10 UTC",1788.19964345473
"7.23","1101299313075","N Camino de Vis","M","S1400","04","019","id",2.040521108e-06,c(-111.032011286043, 32.2691698982042),"2022-02-26 22:15:10 UTC",1796.65818399098
"7.24","1101299313075","N Camino de Vis","M","S1400","04","019","id",2.040521108e-06,c(-111.032024765016, 32.2692664794891),"2022-06-28 17:29:13 UTC",1806.49126794862
"7.25","1101299313075","N Camino de Vis","M","S1400","04","019","id",2.040521108e-06,c(-111.032029390453, 32.2692890284962),"2022-07-05 09:58:18 UTC",1808.95277299008
"8","1102159718656","N Cam Miraflores","M","S1400","04","019","id",2.040521108e-06,c(-111.030210481943, 32.2390640216395),"2022-03-09 19:35:11 UTC",1092.16252454427
"9","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.021988811082, 32.2629677484845),"2023-01-22 13:50:18 UTC",198.983322875936
"9.1","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.020189187295, 32.2632670733878),"2022-01-28 08:36:08 UTC",136.772712400038
"9.2","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.021455491742, 32.2629484179212),"2022-02-02 11:15:09 UTC",137.311090168712
"9.3","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.025835144035, 32.2613505870064),"2022-12-12 14:45:25 UTC",698.066618318588
"9.4","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.025909494272, 32.261329290594),"2022-12-12 09:14:21 UTC",708.16396946213
"9.5","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.025444430349, 32.2614681840705),"2022-01-24 12:02:08 UTC",644.827215736001
"9.6","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.024125092169, 32.2621232848931),"2022-01-21 08:39:10 UTC",459.924626355115
"9.7","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.025061584778, 32.2616208247821),"2022-03-15 19:05:12 UTC",591.500792137729
"9.8","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.023599373611, 32.2624624706889),"2022-01-21 15:27:15 UTC",389.636370375211
"9.9","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.02309087016, 32.2627336472844),"2022-04-19 11:43:07 UTC",327.14826997142
"9.10","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.023071120352, 32.2627435518594),"2022-04-19 13:34:07 UTC",324.838424955024
"9.11","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.02307931162, 32.2627397307267),"2022-04-19 11:43:07 UTC",325.80141056193
"9.12","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.023051834478, 32.2627524539215),"2023-04-29 17:44:10 UTC",322.575445245271
"9.13","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.022254385507, 32.262955643053),"2023-01-22 18:03:18 UTC",230.070028048896
"9.14","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.034086871076, 32.2628848275871),"2022-02-18 21:20:15 UTC",1745.63086283295
"9.15","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.034033395184, 32.2628082222224),"2022-05-17 13:57:09 UTC",1738.30856637324
"9.16","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.033870580099, 32.2625749851796),"2022-06-20 10:37:13 UTC",1716.47998095104
"9.17","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.03391024627, 32.2626318081794),"2023-04-29 16:20:11 UTC",1721.73259390618
"9.18","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.033794493787, 32.2624659889831),"2023-05-09 15:18:15 UTC",1706.52474411819
"9.19","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.033807575436, 32.2624847289055),"2023-05-09 15:18:15 UTC",1708.2250322029
"9.20","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.033861553416, 32.2625620541685),"2022-06-20 10:37:13 UTC",1715.29062859026
"9.21","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.033744354351, 32.2623941623891),"2022-02-10 15:51:08 UTC",1700.05187394588
"9.22","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.03372091409, 32.2623605833044),"2022-04-03 14:27:15 UTC",1697.04989933073
"9.23","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.033732807943, 32.2623776217146),"2022-02-10 15:51:08 UTC",1698.5712070558
"9.24","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.032856190534, 32.2613422076535),"2022-07-02 11:02:14 UTC",1593.97611840949
"9.25","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.033144099032, 32.2616133762873),"2023-04-23 17:53:14 UTC",1627.29131075683
"9.26","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.033077966599, 32.2615467427969),"2022-02-18 17:03:11 UTC",1619.58597663185
"9.27","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.032927573222, 32.2614034853754),"2022-03-13 19:20:09 UTC",1602.20959601808
"9.28","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.033340648556, 32.2618374581191),"2023-05-13 13:52:12 UTC",1650.38542486567
"9.29","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.03341816285, 32.2619409883333),"2023-04-03 17:03:09 UTC",1659.59825372404
"9.30","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.033460913556, 32.261999987156),"2023-05-25 16:40:11 UTC",1664.73545506833
"9.31","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.033455830757, 32.2619929725591),"2023-04-03 17:04:09 UTC",1664.12201262901
"9.32","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.033489263167, 32.2620391114574),"2022-03-05 17:30:09 UTC",1668.17006852922
"9.33","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.03358715033, 32.2621742017847),"2023-04-11 12:25:08 UTC",1680.19849379313
"9.34","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.031957008424, 32.2607865309637),"2023-05-19 09:35:14 UTC",1490.35225014768
"9.35","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.032296995469, 32.2609493111679),"2022-01-26 12:16:09 UTC",1529.8176534506
"9.36","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.03252801414, 32.2610948804166),"2023-04-19 17:12:14 UTC",1556.2905471954
"9.37","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.032491237398, 32.2610709642336),"2023-05-21 18:17:09 UTC",1552.06200427227
"9.38","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.032167326414, 32.2608824098182),"2023-04-16 17:17:15 UTC",1514.80306026674
"9.39","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.030769518963, 32.2604697530486),"2022-03-21 17:24:08 UTC",1349.21927901815
"9.40","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.028499875117, 32.260731532729),"2022-03-09 22:51:13 UTC",1054.82113002553
"9.41","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.028300858675, 32.260776426548),"2022-06-25 19:17:12 UTC",1028.2244837615
"9.42","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.02870098938, 32.2606874626475),"2022-06-25 18:45:11 UTC",1081.64980843778
"9.43","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.028792575306, 32.2606695192229),"2022-03-23 16:05:09 UTC",1093.78813643066
"9.44","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.028901744578, 32.2606456123182),"2022-02-02 14:46:09 UTC",1108.35073178391
"9.45","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.029040346437, 32.2606087311158),"2022-01-26 12:32:10 UTC",1127.08325738929
"9.46","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.029436926699, 32.2605209827459),"2022-01-23 15:09:10 UTC",1180.01878200096
"9.47","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.039363425933, 32.2653150846206),"2022-03-16 12:35:09 UTC",2365.79973909119
"9.48","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.039291453904, 32.2653143361737),"2023-05-30 10:20:12 UTC",2369.29653213989
"9.49","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.039233736263, 32.2653137359306),"2022-02-21 15:58:10 UTC",2372.12336345643
"9.50","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.039143649006, 32.2653127990024),"2022-06-23 11:02:08 UTC",2376.57556743889
"9.51","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.039029988948, 32.2653116168205),"2022-04-28 11:13:13 UTC",2382.26196912381
"9.52","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.039004197274, 32.2653113485462),"2022-06-15 20:52:09 UTC",2383.56302089819
"9.53","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.038822993681, 32.2653094635944),"2022-02-13 08:57:10 UTC",2392.81456832294
"9.54","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.038599719919, 32.2653071406561),"2022-06-28 11:08:10 UTC",2367.77577574069
"9.55","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.03867435257, 32.2653079171773),"2023-04-16 14:12:11 UTC",2377.27144815798
"9.56","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.038678103291, 32.2653079562008),"2023-04-16 14:12:11 UTC",2377.74869082674
"9.57","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.03872182817, 32.265308411118),"2022-09-01 17:39:10 UTC",2383.31246757432
"9.58","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.038711221648, 32.2653083007683),"2022-09-01 17:39:10 UTC",2381.96280370605
"9.59","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.03838226958, 32.265305211856),"2022-02-12 23:10:09 UTC",2340.12522924816
"9.60","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.038322762888, 32.2653062865535),"2022-07-24 16:48:10 UTC",2332.60585977707
"9.61","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.038309169827, 32.2653065320417),"2022-07-24 16:48:10 UTC",2330.88836978028
"9.62","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.038469431264, 32.2653057849525),"2023-05-22 11:19:10 UTC",2351.2016572107
"9.63","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.038543733105, 32.2653065581082),"2023-05-16 11:40:08 UTC",2360.65321341936
"9.64","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.037892885812, 32.2653141335487),"2022-08-23 17:46:35 UTC",2278.32141448512
"9.65","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.038025261463, 32.2653116590432),"2022-09-01 14:20:11 UTC",2295.02965576016
"9.66","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.038014684945, 32.2653118500286),"2022-09-01 14:20:11 UTC",2293.69429789343
"9.67","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.03802304581, 32.2653116990524),"2022-09-01 14:20:11 UTC",2294.74991141154
"9.68","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.03805653896, 32.265311094245),"2022-07-11 15:38:23 UTC",2298.97886567478
"9.69","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.038062427269, 32.2653109879151),"2022-07-11 15:38:23 UTC",2299.72238022366
"9.70","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.038129119262, 32.2653097835854),"2022-06-23 13:55:08 UTC",2308.14432910594
"9.71","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.038132236858, 32.2653097272867),"2022-06-23 13:55:08 UTC",2308.53805777775
"9.72","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.038155707327, 32.2653093034461),"2023-05-21 21:49:17 UTC",2311.50229905612
"9.73","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.03815497975, 32.2653093165851),"2023-05-21 21:49:17 UTC",2311.41040587833
"9.74","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.037811170293, 32.2653157274091),"2023-04-23 15:48:12 UTC",2268.01227163241
"9.75","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.037706032647, 32.2653177780403),"2022-02-20 10:51:09 UTC",2254.75157234305
"9.76","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.037629429514, 32.2653192720723),"2022-02-20 10:51:09 UTC",2245.09225870036
"9.77","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.037290592516, 32.2653224820249),"2022-07-24 14:35:11 UTC",2202.28849906706
"9.78","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.037339391781, 32.2653232503984),"2022-05-23 10:28:09 UTC",2208.48797489335
"9.79","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.037312757295, 32.2653228310249),"2022-02-19 21:56:10 UTC",2205.10424767012
"9.80","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.03711219533, 32.2653196728953),"2023-05-25 17:50:12 UTC",2179.62991101097
"9.81","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.037129682978, 32.2653199482754),"2023-05-25 17:50:12 UTC",2181.85069744923
"9.82","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.037178585002, 32.2653207183289),"2022-05-26 09:07:21 UTC",2188.06126188378
"9.83","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.037178012599, 32.2653207093155),"2022-05-26 09:07:21 UTC",2187.98856317277
"9.84","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.034202891141, 32.2630510283016),"2023-05-30 11:32:13 UTC",1761.7702264404
"9.85","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.034394351231, 32.2633252965701),"2023-05-24 12:38:11 UTC",1789.14013927402
"9.86","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.03444679462, 32.2634004218486),"2022-05-26 14:10:10 UTC",1796.79250035958
"9.87","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.034472768983, 32.2634376301295),"2023-04-21 16:06:09 UTC",1800.60679702553
"9.88","1105042655846","W Goret Rd","M","S1400","04","019","id",2.040521108e-06,c(-111.03458404607, 32.263597034181),"2022-04-04 18:08:11 UTC",1817.12638500032
