"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062794555431, 32.2623118830131),"2022-02-10 20:21:08 UTC",3375.21440725579
"1.1",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062793853872, 32.270563115382),"2023-06-01 13:24:07 UTC",2501.01924047378
"1.2",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062793947414, 32.2705720230054),"2023-06-01 12:37:07 UTC",2500.26022298863
"1.3",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062321619796, 32.2507964292525),"2022-02-10 18:13:11 UTC",2251.50631733178
"1.4",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.061585005742, 32.2571249984798),"2022-02-15 20:41:08 UTC",3203.92385693581
"1.5",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.061410090242, 32.256626773063),"2022-02-16 07:53:07 UTC",3127.3389543142
"2",12388,"N SILVERBELL RD","Major local road","0",74776.0486567459,"id",2.040521108e-06,c(-111.040756802383, 32.2899516526257),"2023-03-13 14:52:07 UTC",704.355911105277
"2.1",12388,"N SILVERBELL RD","Major local road","0",74776.0486567459,"id",2.040521108e-06,c(-111.040609782075, 32.2897410352437),"2023-02-25 17:35:08 UTC",727.357788359753
"2.2",12388,"N SILVERBELL RD","Major local road","0",74776.0486567459,"id",2.040521108e-06,c(-111.043366908016, 32.2938167088803),"2022-02-17 19:31:09 UTC",607.922210805005
"2.3",12388,"N SILVERBELL RD","Major local road","0",74776.0486567459,"id",2.040521108e-06,c(-111.043618880891, 32.2941943396506),"2022-02-26 16:14:08 UTC",637.078916041364
"2.4",12388,"N SILVERBELL RD","Major local road","0",74776.0486567459,"id",2.040521108e-06,c(-111.04371421497, 32.2943319362462),"2023-02-25 16:24:08 UTC",649.499036571355
"2.5",12388,"N SILVERBELL RD","Major local road","0",74776.0486567459,"id",2.040521108e-06,c(-111.044911044816, 32.2960406209691),"2022-11-19 17:46:08 UTC",849.132275837651
"2.6",12388,"N SILVERBELL RD","Major local road","0",74776.0486567459,"id",2.040521108e-06,c(-111.045930504933, 32.2975418727592),"2023-03-13 16:31:08 UTC",1061.48136927048
"2.7",12388,"N SILVERBELL RD","Major local road","0",74776.0486567459,"id",2.040521108e-06,c(-111.045815828539, 32.2973724678811),"2022-11-19 16:08:08 UTC",1036.39070397364
"2.8",12388,"N SILVERBELL RD","Major local road","0",74776.0486567459,"id",2.040521108e-06,c(-111.047728344907, 32.3002175021714),"2022-02-26 14:38:07 UTC",842.496219391574
"2.9",12388,"N SILVERBELL RD","Major local road","0",74776.0486567459,"id",2.040521108e-06,c(-111.047124073919, 32.2993066354479),"2022-02-17 17:40:09 UTC",997.673910025248
"3",20948,"W EL CAMINO DEL CERRO","Major local road","0",17286.9452756773,"id",2.040521108e-06,c(-111.042757888114, 32.2942394581835),"2023-03-13 15:41:07 UTC",525.91868008317
"3.1",20948,"W EL CAMINO DEL CERRO","Major local road","0",17286.9452756773,"id",2.040521108e-06,c(-111.04299377049, 32.294239903203),"2022-02-17 19:28:09 UTC",556.362838501817
"3.2",20948,"W EL CAMINO DEL CERRO","Major local road","0",17286.9452756773,"id",2.040521108e-06,c(-111.044321291897, 32.2942325425378),"2022-03-16 16:09:11 UTC",727.698582401083
"3.3",20948,"W EL CAMINO DEL CERRO","Major local road","0",17286.9452756773,"id",2.040521108e-06,c(-111.043624195805, 32.294241090421),"2022-02-26 16:14:08 UTC",637.728318538925
"3.4",20948,"W EL CAMINO DEL CERRO","Major local road","0",17286.9452756773,"id",2.040521108e-06,c(-111.04338265406, 32.2942406359194),"2023-02-25 16:28:08 UTC",606.553935328397
