"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",3398,"E I10","Interstate highway","10",147455.311549455,"id",2.040521108e-06,c(-111.013130566415, 32.2746076837874),"2023-05-13 17:43:11 UTC",493.473532961527
"1.1",3398,"E I10","Interstate highway","10",147455.311549455,"id",2.040521108e-06,c(-111.014900182898, 32.2767142020569),"2023-04-30 13:46:17 UTC",753.429726964149
"1.2",3398,"E I10","Interstate highway","10",147455.311549455,"id",2.040521108e-06,c(-111.013807682599, 32.2754251597138),"2023-05-03 18:32:16 UTC",637.908190754979
"1.3",3398,"E I10","Interstate highway","10",147455.311549455,"id",2.040521108e-06,c(-111.013845925423, 32.2754713293652),"2023-05-03 17:36:16 UTC",646.11531333412
"1.4",3398,"E I10","Interstate highway","10",147455.311549455,"id",2.040521108e-06,c(-111.016910278348, 32.2790847643729),"2023-05-10 17:23:18 UTC",309.88754353232
"1.5",3398,"E I10","Interstate highway","10",147455.311549455,"id",2.040521108e-06,c(-111.017546379213, 32.2798193113883),"2023-05-10 18:13:14 UTC",172.296825855268
"1.6",3398,"E I10","Interstate highway","10",147455.311549455,"id",2.040521108e-06,c(-111.022873396922, 32.2862219987407),"2022-06-23 19:54:10 UTC",739.161685226846
"1.7",3398,"E I10","Interstate highway","10",147455.311549455,"id",2.040521108e-06,c(-111.022676597562, 32.2859832211036),"2022-06-23 19:34:10 UTC",783.459157109518
"1.8",3398,"E I10","Interstate highway","10",147455.311549455,"id",2.040521108e-06,c(-111.024584520569, 32.2882548808175),"2024-03-21 08:29:13 UTC",359.626417225994
"1.9",3398,"E I10","Interstate highway","10",147455.311549455,"id",2.040521108e-06,c(-111.024508314876, 32.2881653688586),"2022-02-25 07:51:33 UTC",376.384402343412
"1.10",3398,"E I10","Interstate highway","10",147455.311549455,"id",2.040521108e-06,c(-111.021432305907, 32.2844739350443),"2024-04-11 19:40:13 UTC",542.867817665381
"1.11",3398,"E I10","Interstate highway","10",147455.311549455,"id",2.040521108e-06,c(-111.020289183663, 32.2831032471096),"2022-02-25 10:12:39 UTC",288.092460461806
"1.12",3398,"E I10","Interstate highway","10",147455.311549455,"id",2.040521108e-06,c(-111.019857542637, 32.2825856642089),"2023-05-13 18:41:11 UTC",192.273460263789
"1.13",3398,"E I10","Interstate highway","10",147455.311549455,"id",2.040521108e-06,c(-111.019269988087, 32.2818811127726),"2023-05-28 11:46:10 UTC",64.7650487111029
"1.14",3398,"E I10","Interstate highway","10",147455.311549455,"id",2.040521108e-06,c(-111.019125257928, 32.2817075611014),"2023-05-28 11:44:10 UTC",37.5467443544359
"1.15",3398,"E I10","Interstate highway","10",147455.311549455,"id",2.040521108e-06,c(-111.017835758141, 32.280161234178),"2023-04-27 13:13:18 UTC",109.465984769492
"1.16",3398,"E I10","Interstate highway","10",147455.311549455,"id",2.040521108e-06,c(-111.018005603632, 32.2803649112261),"2023-04-30 14:47:10 UTC",73.1079257384437
