"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.06281010015, 32.2721101553821),"2021-11-30 17:04:16 UTC",2377.135595398
"1.1",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062772301008, 32.2656561909976),"2022-02-08 00:25:06 UTC",2986.51746008008
"1.2",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062770757155, 32.2658078677998),"2021-10-18 02:07:05 UTC",2969.69729227398
"1.3",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062766030017, 32.2662722851803),"2022-01-16 23:08:13 UTC",2918.7253663685
"1.4",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062768414166, 32.2660380551969),"2022-02-07 14:35:07 UTC",2944.33196498046
"1.5",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062762689527, 32.2666004686165),"2022-01-16 19:41:13 UTC",2883.20441983282
"1.6",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.06276317397, 32.2665528750535),"2021-10-25 11:58:08 UTC",2888.32939134717
"1.7",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062763321374, 32.2665383935473),"2022-04-09 12:06:32 UTC",2889.8905786333
"1.8",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062795578817, 32.2642441930046),"2022-02-20 10:01:10 UTC",3147.64447676668
"1.9",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062795491602, 32.264079520664),"2022-03-20 17:58:06 UTC",3166.61389079553
"1.10",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062793280226, 32.264472220312),"2021-10-17 14:33:10 UTC",3121.31195042508
"1.11",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062784059533, 32.2649290459523),"2021-10-20 02:05:11 UTC",3068.65623211614
