"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.021382639441, 32.2371976571972),"2022-05-17 13:17:08 UTC",82.4663382049082
"1.1",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.021443118964, 32.237040632283),"2022-05-17 11:06:06 UTC",57.4956809004412
"1.2",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.021578162034, 32.2362494686031),"2023-05-11 12:38:07 UTC",37.3121874031779
"1.3",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.02148933594, 32.2351868555655),"2022-04-26 11:02:07 UTC",161.944316751101
"1.4",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.021114743073, 32.2341943836988),"2023-05-11 10:55:07 UTC",311.147335297936
"1.5",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.021258969342, 32.2345608987536),"2022-05-01 12:17:07 UTC",254.306304159465
"1.6",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020344455305, 32.2308289091352),"2022-03-30 12:02:05 UTC",819.796761046059
"1.7",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020350077648, 32.2312735410593),"2022-05-01 14:49:08 UTC",755.82254944762
"1.8",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020394183266, 32.2319264790191),"2022-03-30 13:42:05 UTC",661.376709583507
"1.9",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020525358949, 32.232681814849),"2022-04-29 11:49:07 UTC",549.710704863697
"1.10",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020340464777, 32.2304898831117),"2022-04-29 13:46:08 UTC",868.9362265797
"1.11",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020328477244, 32.2294714346511),"2022-03-21 12:20:10 UTC",1017.99631662585
"1.12",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020319838233, 32.2287374589867),"2022-12-15 12:20:06 UTC",1126.3985078714
"1.13",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020317912212, 32.2285738214973),"2022-04-26 12:43:07 UTC",1150.65068882982
"1.14",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020300725713, 32.2271136055372),"2022-12-15 13:39:06 UTC",1353.29539047167
"1.15",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.02030813283, 32.22774294198),"2022-03-21 13:51:09 UTC",1274.17149746358
"2",11543,"N PLAYERS CLUB DR","Major local road","0",1567.78937479126,"id",2.040521108e-06,c(-111.033879338143, 32.2244024718712),"2023-04-20 22:00:11 UTC",421.215017997287
"2.1",11543,"N PLAYERS CLUB DR","Major local road","0",1567.78937479126,"id",2.040521108e-06,c(-111.033850578296, 32.2244596086874),"2022-11-24 10:24:15 UTC",415.912672503555
"2.2",11543,"N PLAYERS CLUB DR","Major local road","0",1567.78937479126,"id",2.040521108e-06,c(-111.033853453931, 32.2244538957047),"2022-11-24 10:24:15 UTC",416.436229425639
