"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.06275886097, 32.2385866651535),"2022-06-26 12:38:19 UTC",482.992589311928
"1.1",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062757792957, 32.2383302868166),"2022-05-04 09:47:15 UTC",452.611365924737
"1.2",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062759931273, 32.2388435916299),"2022-04-15 10:45:10 UTC",514.601183906295
"1.3",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062760067922, 32.2388763942215),"2023-01-26 22:09:23 UTC",518.709753995545
"1.4",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062761606462, 32.239245718558),"2022-07-11 13:16:16 UTC",565.941991755679
"1.5",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062753162049, 32.2372186126093),"2022-06-09 23:44:22 UTC",341.676339657607
"1.6",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062752477594, 32.2370543032278),"2022-06-12 21:27:20 UTC",329.489181117898
"1.7",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.06275416269, 32.2374588241476),"2023-01-30 04:34:16 UTC",361.864562623847
"1.8",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.06275347694, 32.2372942046415),"2022-07-13 14:57:15 UTC",347.742459033607
"1.9",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062755679997, 32.2378230629064),"2022-09-01 08:07:20 UTC",396.950236529185
"1.10",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062755822, 32.2378571513651),"2022-03-29 00:19:08 UTC",400.468300020335
"1.11",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062755938244, 32.2378850562785),"2022-03-20 01:02:08 UTC",403.374901760421
"1.12",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062757076505, 32.238158300296),"2022-06-30 15:36:15 UTC",433.002261479541
"1.13",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062756832049, 32.2380996178696),"2022-10-12 01:42:15 UTC",426.471953872776
"1.14",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062756457606, 32.2380097313562),"2022-10-27 04:44:26 UTC",416.641031432133
"1.15",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062756733926, 32.2380760629895),"2022-10-12 01:42:15 UTC",423.87521242876
"1.16",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062756398322, 32.237995500048),"2022-10-27 04:44:26 UTC",415.104434787778
"1.17",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062751754042, 32.2368806074801),"2022-03-31 04:38:08 UTC",318.233780086927
"1.18",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062751413919, 32.2367989574463),"2022-05-06 02:46:09 UTC",313.572045320931
"1.19",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062751482203, 32.2368153497826),"2022-05-06 02:46:09 UTC",314.474199540077
"1.20",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062750527425, 32.2365861448274),"2022-04-23 00:31:09 UTC",303.477605825413
"1.21",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.06275049694, 32.236578826611),"2022-04-23 00:31:09 UTC",303.185889153404
"1.22",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062750150449, 32.2364956473817),"2022-08-24 22:00:12 UTC",300.140157053807
"1.23",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062749599831, 32.2363634646267),"2022-09-16 11:19:19 UTC",296.347286646445
"1.24",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062749352405, 32.2363040667368),"2022-06-03 18:31:25 UTC",295.072880496886
"1.25",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062748602808, 32.2361241157957),"2022-04-13 15:42:15 UTC",292.881804926164
"1.26",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062753965271, 32.2359101480796),"2022-07-16 07:12:25 UTC",294.395915265294
"1.27",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062761283444, 32.2356960724006),"2022-10-01 16:14:14 UTC",299.708677165178
"1.28",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062763229675, 32.2356391398881),"2022-05-17 12:43:07 UTC",301.697704088771
"1.29",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062773163459, 32.2439929068111),"2022-05-13 18:43:22 UTC",1240.68502782527
