"","OBJECTID","STREET","ROADCAT_DS","SHIELD_NO","ShapeSTLen","id","area","geometry","Cross_Times","Passage_Distances"
"1",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062777539661, 32.2483336847986),"2023-12-20 22:16:12 UTC",1888.05382676718
"1.1",8156,"N CAMINO DE OESTE","Major local road","0",13433.6443874397,"id",2.040521108e-06,c(-111.062777539645, 32.2483377749931),"2023-12-20 22:16:12 UTC",1888.66776929307
"2",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020456369452, 32.2504075427702),"2023-06-10 15:40:11 UTC",43.8021302782418
"2.1",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.02045640325, 32.2504168616987),"2023-02-10 21:29:13 UTC",42.4761957466072
"2.2",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020457190042, 32.2506338049152),"2023-04-17 16:08:13 UTC",16.610440139356
"2.3",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020455203148, 32.2500859543535),"2023-05-21 20:22:14 UTC",91.2514572485656
"2.4",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020455433623, 32.2501495039377),"2023-06-14 15:28:09 UTC",81.7395825312154
"2.5",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020456018097, 32.2503106628822),"2023-07-18 17:31:12 UTC",57.8428950555342
"2.6",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.02045574643, 32.2502357552158),"2023-02-01 03:55:20 UTC",68.8971014917869
"2.7",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020455568448, 32.2501866798776),"2023-06-14 15:28:09 UTC",76.1928518508336
"2.8",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020454653113, 32.2499342907643),"2023-09-09 16:00:17 UTC",114.054631156232
"2.9",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.02045435954, 32.2498533423756),"2023-05-28 17:38:14 UTC",126.263875241442
"2.10",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020454473305, 32.2498847114693),"2023-09-09 15:59:17 UTC",121.530174623376
"2.11",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020454296457, 32.249835948113),"2023-05-28 17:38:14 UTC",128.889875155851
"2.12",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020453943668, 32.2497386717885),"2023-07-24 13:37:16 UTC",143.588392786088
"2.13",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.02045389131, 32.2497242346599),"2023-05-20 10:05:12 UTC",145.771452962068
"2.14",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.02045007304, 32.2481314964564),"2023-11-22 05:24:13 UTC",387.448298370304
"2.15",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020450062628, 32.2481331785224),"2023-11-22 05:24:13 UTC",387.192808869983
"2.16",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020450227435, 32.2481065549821),"2024-01-22 15:04:21 UTC",391.236709882082
"2.17",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020450179668, 32.2481142714021),"2024-01-22 15:04:21 UTC",390.06463838674
"2.18",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020449844145, 32.2481684731676),"2024-01-07 08:19:02 UTC",381.831983033737
"2.19",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020449768233, 32.2481807361546),"2024-01-07 08:19:02 UTC",379.969425113212
"2.20",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020449763022, 32.2481815780594),"2024-01-07 08:19:02 UTC",379.841553571879
"2.21",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020449881979, 32.248162361254),"2023-04-26 17:15:12 UTC",382.760295926533
"2.22",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020449890482, 32.2481609876729),"2023-04-26 17:15:12 UTC",382.9689241007
"2.23",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020449480799, 32.2482271693707),"2023-05-05 17:49:18 UTC",372.917132856564
"2.24",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020449377219, 32.248243902116),"2023-02-13 15:45:18 UTC",370.37583572799
"2.25",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.0204491205, 32.2482853732888),"2023-06-28 14:04:18 UTC",364.077558358483
"2.26",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020448977304, 32.2483085057391),"2023-06-28 14:04:18 UTC",360.56452366826
"2.27",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020453105217, 32.2476416639092),"2023-11-19 13:19:11 UTC",461.862569618522
"2.28",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020452388535, 32.2477574407406),"2023-10-07 16:14:11 UTC",444.27189621483
"2.29",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020451338768, 32.247927025401),"2023-06-25 12:01:13 UTC",418.508064521141
"2.30",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020451249958, 32.2479413720805),"2024-01-18 23:27:21 UTC",416.328604397077
"2.31",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020452006047, 32.2478192298246),"2023-06-14 18:00:16 UTC",434.88438557798
"2.32",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020453350312, 32.2476020698266),"2023-04-07 14:13:10 UTC",467.87858729828
"2.33",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020453157836, 32.247633163645),"2023-11-19 13:18:11 UTC",463.15410938718
"2.34",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020454115909, 32.247478390657),"2023-12-30 00:45:07 UTC",486.671439035641
"2.35",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020453796217, 32.2475300357965),"2023-01-29 05:58:11 UTC",478.823909611335
"2.36",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.02045381888, 32.2475263746365),"2023-01-29 05:58:11 UTC",479.38022030953
"2.37",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020453889172, 32.247515019177),"2023-01-29 05:58:11 UTC",481.105680458692
"2.38",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020453899227, 32.2475133949094),"2023-06-01 16:14:14 UTC",481.352488391173
"2.39",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020454546759, 32.247408788393),"2023-11-18 13:57:09 UTC",497.247855726817
"2.40",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020454689069, 32.2473857987451),"2023-09-04 16:15:15 UTC",500.741317939121
"2.41",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020454403879, 32.247431870211),"2023-03-29 12:20:25 UTC",493.740421386455
"2.42",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020454328761, 32.2474440052559),"2023-03-29 12:21:25 UTC",491.896435183444
"2.43",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020454324664, 32.2474446671183),"2023-03-29 12:21:25 UTC",491.795861866902
"2.44",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020454277845, 32.2474522306),"2023-03-29 12:22:25 UTC",490.646554824213
"2.45",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020454202933, 32.2474643322754),"2023-12-30 00:45:07 UTC",488.807655542827
"2.46",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020455175908, 32.2473071514384),"2023-03-07 17:34:21 UTC",512.692655065543
"2.47",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020454809308, 32.2473663745962),"2023-06-01 17:53:12 UTC",503.692999575872
"2.48",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020456391943, 32.2471107043935),"2023-01-25 01:53:18 UTC",542.546501832454
"2.49",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020456338862, 32.2471192794346),"2023-01-25 01:52:18 UTC",541.243319933028
"2.50",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020456636917, 32.2470711293545),"2023-11-06 16:51:13 UTC",548.560918958276
"2.51",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020456602818, 32.2470766379743),"2023-11-06 16:51:13 UTC",547.723741844317
"2.52",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020456686263, 32.2470631577114),"2023-11-06 16:51:13 UTC",549.772418666576
"2.53",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020457165441, 32.2469857475312),"2023-05-18 18:01:09 UTC",561.537074668056
"2.54",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020457014027, 32.2470102080154),"2023-02-16 22:04:12 UTC",557.81958582413
"2.55",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020456264297, 32.2471313252842),"2023-04-28 15:42:14 UTC",539.412672139947
"2.56",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.02045626143, 32.2471317884267),"2023-04-28 15:42:14 UTC",539.342286986814
"2.57",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020455777067, 32.2472100360095),"2023-01-29 07:37:18 UTC",527.450924219008
"2.58",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020455921004, 32.24718678332),"2023-05-31 19:25:20 UTC",530.984625198324
"2.59",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020455583597, 32.247241290569),"2023-05-02 12:19:07 UTC",522.701228305684
"2.60",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020455527733, 32.2472503152576),"2023-11-17 20:01:11 UTC",521.32977350363
"2.61",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020455511986, 32.2472528590248),"2023-11-17 20:01:11 UTC",520.943205660198
"2.62",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020455729139, 32.2472177785768),"2023-01-29 07:37:18 UTC",526.274296073578
"2.63",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020455279121, 32.2472904777901),"2023-06-12 21:45:11 UTC",515.226449371484
"2.64",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020455336751, 32.2472811678716),"2023-06-12 21:45:11 UTC",516.641228778271
"2.65",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020449160083, 32.2484196463501),"2023-05-17 11:43:07 UTC",343.681963167572
"2.66",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020449310643, 32.248461162235),"2023-05-17 11:43:07 UTC",337.375516658549
"2.67",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020448895229, 32.2483466143352),"2023-12-18 16:22:21 UTC",354.776399321498
"2.68",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020449935492, 32.2486334600439),"2023-03-29 17:34:25 UTC",311.205475550463
"2.69",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.02044996055, 32.2486403697639),"2023-03-29 17:34:25 UTC",310.156071762524
"2.70",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020449827771, 32.2486037569558),"2023-10-04 16:18:14 UTC",315.716685620789
"2.71",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020449735114, 32.2485782074249),"2023-12-15 15:49:21 UTC",319.597187993656
"2.72",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020449644509, 32.2485532236317),"2023-07-29 13:01:12 UTC",323.391869657735
"2.73",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020450332624, 32.2487429661577),"2023-08-14 14:50:10 UTC",294.575457145528
"2.74",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020451100278, 32.2489546401598),"2023-11-26 16:33:16 UTC",262.437440400771
"2.75",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020451050774, 32.2489409899017),"2023-11-26 16:34:16 UTC",264.509574686866
"2.76",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020450753296, 32.2488589630257),"2023-05-01 21:56:20 UTC",276.962502956607
"2.77",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020450724885, 32.2488511288108),"2023-05-01 21:57:20 UTC",278.15194894142
"2.78",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020451621658, 32.2490984055479),"2023-06-08 16:26:17 UTC",240.617231105843
"2.79",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020451679034, 32.2491142265802),"2023-06-08 16:26:17 UTC",238.216420821893
"2.80",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020451781586, 32.2491425042338),"2023-06-03 16:27:09 UTC",233.925592640453
"2.81",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020451483559, 32.2490603261785),"2023-02-13 22:38:19 UTC",246.396090162181
"2.82",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020451348003, 32.2490229479074),"2023-04-10 20:17:14 UTC",252.069058675723
"2.83",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020451380203, 32.2490318266947),"2023-04-10 20:17:14 UTC",250.721465255477
"2.84",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020452505373, 32.249342080348),"2023-05-07 14:27:09 UTC",203.652827499639
"2.85",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020453278862, 32.2495553603655),"2024-01-20 07:32:08 UTC",171.330306749817
"2.86",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020472254142, 32.2443167348853),"2023-12-27 22:30:17 UTC",967.270416238858
"2.87",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020472368008, 32.2442952790045),"2024-01-16 10:25:19 UTC",970.532521368958
"2.88",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020471527259, 32.2444537021553),"2023-04-04 19:37:21 UTC",946.44631617262
"2.89",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020471596299, 32.2444406928544),"2023-12-25 11:13:20 UTC",948.424204088961
"2.90",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020470252434, 32.2447034084335),"2023-03-03 15:13:07 UTC",908.48210042869
"2.91",9644,"N GREASEWOOD RD","Major local road","0",10792.7409897517,"id",2.040521108e-06,c(-111.020470622196, 32.2446291615815),"2023-11-17 03:12:09 UTC",919.770206736787
